Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--constraints--MaxNewCapacityConstraint,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--max_new_capacity,edges--co2_captured_edge--capacity_size,edges--co2_captured_edge--start_vertex,edges--co2_captured_edge--variable_om_cost,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,edges--co2_storage_edge--constraints--CapacityConstraint,edges--co2_storage_edge--end_vertex
CO2Injection,Region1Beijing_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region1Beijing,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region1Beijing
CO2Injection,Region2Tianjin_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region2Tianjin,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region2Tianjin
CO2Injection,Region3Hebei_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region3Hebei,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region3Hebei
CO2Injection,Region4Shanxi_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region4Shanxi,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region4Shanxi
CO2Injection,Region5Innermongolia_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region5Innermongolia,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region5Innermongolia
CO2Injection,Region6Liaoning_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region6Liaoning,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region6Liaoning
CO2Injection,Region7Jilin_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region7Jilin,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region7Jilin
CO2Injection,Region8Heilongjiang_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region8Heilongjiang,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region8Heilongjiang
CO2Injection,Region9Shanghai_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region9Shanghai,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region9Shanghai
CO2Injection,Region10Jiangsu_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region10Jiangsu,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region10Jiangsu
CO2Injection,Region11Zhejiang_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region11Zhejiang,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region11Zhejiang
CO2Injection,Region12Anhui_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region12Anhui,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region12Anhui
CO2Injection,Region13Fujian_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region13Fujian,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region13Fujian
CO2Injection,Region14Jiangxi_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region14Jiangxi,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region14Jiangxi
CO2Injection,Region15Shandong_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region15Shandong,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region15Shandong
CO2Injection,Region16Henan_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region16Henan,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region16Henan
CO2Injection,Region17Hubei_CO2Injection,CO2Captured,TRUE,TRUE,CO2Captured,TRUE,TRUE,TRUE,FALSE,0,,1,co2captured_Region17Hubei,18,TRUE,CO2Captured,FALSE,FALSE,co2storage_Region17Hubei
