Type,id,location,integer_decisions,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--startup_fuel_consumption,edges--elec_edge--commodity,edges--elec_edge--end_vertex,edges--elec_edge--has_capacity,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--existing_capacity,edges--elec_edge--min_capacity,edges--elec_edge--capacity_size,edges--elec_edge--investment_cost,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--wacc,edges--elec_edge--lifetime,edges--elec_edge--capital_recovery_period,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--uc,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--fuel_edge--constraints--BalanceConstraint,edges--co2_edge--commodity,edges--co2_edge--end_vertex,edges--co2_edge--has_capacity,edges--elec_edge--constraints--MaxNewCapacityConstraint,edges--elec_edge--constraints--MinCapacityConstraint,edges--elec_edge--constraints--MustRunConstraint,edges--elec_edge--availability--timeseries--path,edges--elec_edge--availability--timeseries--header
ThermalPower,Region1Beijing_Nuclear,Region1Beijing,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region1Beijing,TRUE,FALSE,TRUE,0,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region1Beijing_Nuclear_availability
ThermalPower,Region2Tianjin_Nuclear,Region2Tianjin,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region2Tianjin,TRUE,FALSE,TRUE,0,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region2Tianjin_Nuclear_availability
ThermalPower,Region3Hebei_Nuclear,Region3Hebei,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region3Hebei,TRUE,FALSE,TRUE,0,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region3Hebei_Nuclear_availability
ThermalPower,Region4Shanxi_Nuclear,Region4Shanxi,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region4Shanxi,TRUE,FALSE,TRUE,0,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region4Shanxi_Nuclear_availability
ThermalPower,Region5Innermongolia_Nuclear,Region5Innermongolia,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region5Innermongolia,TRUE,FALSE,TRUE,0,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region5Innermongolia_Nuclear_availability
ThermalPower,Region6Liaoning_Nuclear,Region6Liaoning,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region6Liaoning,TRUE,FALSE,TRUE,4475.16,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region6Liaoning_Nuclear_availability
ThermalPower,Region7Jilin_Nuclear,Region7Jilin,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region7Jilin,TRUE,FALSE,TRUE,0,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region7Jilin_Nuclear_availability
ThermalPower,Region8Heilongjiang_Nuclear,Region8Heilongjiang,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region8Heilongjiang,TRUE,FALSE,TRUE,0,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region8Heilongjiang_Nuclear_availability
ThermalPower,Region9Shanghai_Nuclear,Region9Shanghai,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region9Shanghai,TRUE,FALSE,TRUE,0,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region9Shanghai_Nuclear_availability
ThermalPower,Region10Jiangsu_Nuclear,Region10Jiangsu,FALSE,Electricity,TRUE,2.777778,0,0,Electricity,elec_Region10Jiangsu,TRUE,FALSE,TRUE,5490,0,200,2539584.48017857,38093.76725,1.944444,0.08,60,60,TRUE,FALSE,FALSE,FALSE,Uranium,uranium_source,FALSE,FALSE,CO2,co2_sink_national_period3,FALSE,FALSE,TRUE,TRUE,system/nuclear_availability_constant_assets_3.csv,Region10Jiangsu_Nuclear_availability
