Type,id,location,integer_decisions,transforms--timedata,edges--edge--commodity,edges--edge--end_vertex,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--existing_capacity,edges--edge--max_capacity,edges--edge--capacity_size,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--constraints--MaxNewCapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--TDR_path,edges--edge--constraints--MinCapacityConstraint,edges--edge--min_capacity
VRE,Region1Beijing_onshore_wind,Region1Beijing,FALSE,Electricity,Electricity,elec_Region1Beijing,TRUE,TRUE,TRUE,240,21000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region1Beijing_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region2Tianjin_onshore_wind,Region2Tianjin,FALSE,Electricity,Electricity,elec_Region2Tianjin,TRUE,TRUE,TRUE,2073,17000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region2Tianjin_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region3Hebei_onshore_wind,Region3Hebei,FALSE,Electricity,Electricity,elec_Region3Hebei,TRUE,TRUE,TRUE,37790,342000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region3Hebei_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region4Shanxi_onshore_wind,Region4Shanxi,FALSE,Electricity,Electricity,elec_Region4Shanxi,TRUE,TRUE,TRUE,26160,326000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region4Shanxi_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region5Innermongolia_onshore_wind,Region5Innermongolia,FALSE,Electricity,Electricity,elec_Region5Innermongolia,TRUE,TRUE,TRUE,85990,1908000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region5Innermongolia_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region6Liaoning_onshore_wind,Region6Liaoning,FALSE,Electricity,Electricity,elec_Region6Liaoning,TRUE,TRUE,TRUE,16497,199000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region6Liaoning_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region7Jilin_onshore_wind,Region7Jilin,FALSE,Electricity,Electricity,elec_Region7Jilin,TRUE,TRUE,TRUE,15730,266000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region7Jilin_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region8Heilongjiang_onshore_wind,Region8Heilongjiang,FALSE,Electricity,Electricity,elec_Region8Heilongjiang,TRUE,TRUE,TRUE,15060,619000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region8Heilongjiang_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region9Shanghai_onshore_wind,Region9Shanghai,FALSE,Electricity,Electricity,elec_Region9Shanghai,TRUE,TRUE,TRUE,401,2000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region9Shanghai_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region10Jiangsu_onshore_wind,Region10Jiangsu,FALSE,Electricity,Electricity,elec_Region10Jiangsu,TRUE,TRUE,TRUE,11405,75000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region10Jiangsu_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region11Zhejiang_onshore_wind,Region11Zhejiang,FALSE,Electricity,Electricity,elec_Region11Zhejiang,TRUE,TRUE,TRUE,2067,31000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region11Zhejiang_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region12Anhui_onshore_wind,Region12Anhui,FALSE,Electricity,Electricity,elec_Region12Anhui,TRUE,TRUE,TRUE,8990,135000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region12Anhui_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region13Fujian_onshore_wind,Region13Fujian,FALSE,Electricity,Electricity,elec_Region13Fujian,TRUE,TRUE,TRUE,4560,88000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region13Fujian_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region14Jiangxi_onshore_wind,Region14Jiangxi,FALSE,Electricity,Electricity,elec_Region14Jiangxi,TRUE,TRUE,TRUE,6570,130000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region14Jiangxi_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region15Shandong_onshore_wind,Region15Shandong,FALSE,Electricity,Electricity,elec_Region15Shandong,TRUE,TRUE,TRUE,21837,329000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region15Shandong_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region16Henan_onshore_wind,Region16Henan,FALSE,Electricity,Electricity,elec_Region16Henan,TRUE,TRUE,TRUE,23340,321000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region16Henan_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region17Hubei_onshore_wind,Region17Hubei,FALSE,Electricity,Electricity,elec_Region17Hubei,TRUE,TRUE,TRUE,9520,208000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region17Hubei_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region18Hunan_onshore_wind,Region18Hunan,FALSE,Electricity,Electricity,elec_Region18Hunan,TRUE,TRUE,TRUE,11210,166000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region18Hunan_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region19Guangdong_onshore_wind,Region19Guangdong,FALSE,Electricity,Electricity,elec_Region19Guangdong,TRUE,TRUE,TRUE,7144,124000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region19Guangdong_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region20Guangxi_onshore_wind,Region20Guangxi,FALSE,Electricity,Electricity,elec_Region20Guangxi,TRUE,TRUE,TRUE,18020,244000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region20Guangxi_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region21Hainan_onshore_wind,Region21Hainan,FALSE,Electricity,Electricity,elec_Region21Hainan,TRUE,TRUE,TRUE,413,43000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region21Hainan_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region22Chongqing_onshore_wind,Region22Chongqing,FALSE,Electricity,Electricity,elec_Region22Chongqing,TRUE,TRUE,TRUE,2410,103000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region22Chongqing_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region23Sichuan_onshore_wind,Region23Sichuan,FALSE,Electricity,Electricity,elec_Region23Sichuan,TRUE,TRUE,TRUE,8900,343000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region23Sichuan_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region24Guizhou_onshore_wind,Region24Guizhou,FALSE,Electricity,Electricity,elec_Region24Guizhou,TRUE,TRUE,TRUE,7480,277000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region24Guizhou_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region25Yunnan_onshore_wind,Region25Yunnan,FALSE,Electricity,Electricity,elec_Region25Yunnan,TRUE,TRUE,TRUE,16710,370000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region25Yunnan_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region26Tibet_onshore_wind,Region26Tibet,FALSE,Electricity,Electricity,elec_Region26Tibet,TRUE,TRUE,TRUE,530,1135000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region26Tibet_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region27Shaanxi_onshore_wind,Region27Shaanxi,FALSE,Electricity,Electricity,elec_Region27Shaanxi,TRUE,TRUE,TRUE,14950,285000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region27Shaanxi_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region28Gansu_onshore_wind,Region28Gansu,FALSE,Electricity,Electricity,elec_Region28Gansu,TRUE,TRUE,TRUE,32150,920000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region28Gansu_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region29Qinghai_onshore_wind,Region29Qinghai,FALSE,Electricity,Electricity,elec_Region29Qinghai,TRUE,TRUE,TRUE,12670,975000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region29Qinghai_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region30Ningxia_onshore_wind,Region30Ningxia,FALSE,Electricity,Electricity,elec_Region30Ningxia,TRUE,TRUE,TRUE,15090,100000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region30Ningxia_onshore_wind,system/vre_availability_3.csv,TRUE,0
VRE,Region31Xinjiang_onshore_wind,Region31Xinjiang,FALSE,Electricity,Electricity,elec_Region31Xinjiang,TRUE,TRUE,TRUE,47080,3823000,200,659091.0555559192,9886.365833060607,0,0.08,30,30,FALSE,TRUE,TRUE,system/vre_availability_3.csv,Region31Xinjiang_onshore_wind,system/vre_availability_3.csv,TRUE,0
