Type,id,location,integer_decisions,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--emission_rate,transforms--capture_rate,transforms--electricity_production,transforms--co2_content,edges--elec_edge--commodity,edges--elec_edge--end_vertex,edges--elec_edge--has_capacity,edges--biomass_edge--commodity,edges--biomass_edge--start_vertex,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--existing_capacity,edges--biomass_edge--min_capacity,edges--biomass_edge--min_flow_fraction,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--wacc,edges--biomass_edge--lifetime,edges--biomass_edge--capital_recovery_period,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--constraints--MinFlowConstraint,edges--biomass_edge--constraints--RampingLimitConstraint,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_edge--has_capacity,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex,edges--co2_captured_edge--has_capacity,edges--biomass_edge--constraints--MaxNewCapacityConstraint,edges--biomass_edge--constraints--MinCapacityConstraint
BECCSElectricity,Region1Beijing_BiomassPower,Region1Beijing,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region1Beijing,FALSE,Biomass,biomass_Region1Beijing,TRUE,TRUE,TRUE,320.8498957237839,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region1Beijing,FALSE,FALSE,TRUE
BECCSElectricity,Region2Tianjin_BiomassPower,Region2Tianjin,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region2Tianjin,FALSE,Biomass,biomass_Region2Tianjin,TRUE,TRUE,TRUE,255.966916810752,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region2Tianjin,FALSE,FALSE,TRUE
BECCSElectricity,Region3Hebei_BiomassPower,Region3Hebei,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region3Hebei,FALSE,Biomass,biomass_Region3Hebei,TRUE,TRUE,TRUE,1299.442077681325,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region3Hebei,FALSE,FALSE,TRUE
BECCSElectricity,Region4Shanxi_BiomassPower,Region4Shanxi,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region4Shanxi,FALSE,Biomass,biomass_Region4Shanxi,TRUE,TRUE,TRUE,312.293898504483,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region4Shanxi,FALSE,FALSE,TRUE
BECCSElectricity,Region5Innermongolia_BiomassPower,Region5Innermongolia,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region5Innermongolia,FALSE,Biomass,biomass_Region5Innermongolia,TRUE,TRUE,TRUE,231.0119249211244,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region5Innermongolia,FALSE,FALSE,TRUE
BECCSElectricity,Region6Liaoning_BiomassPower,Region6Liaoning,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region6Liaoning,FALSE,Biomass,biomass_Region6Liaoning,TRUE,TRUE,TRUE,769.3267499688062,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region6Liaoning,FALSE,FALSE,TRUE
BECCSElectricity,Region7Jilin_BiomassPower,Region7Jilin,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region7Jilin,FALSE,Biomass,biomass_Region7Jilin,TRUE,TRUE,TRUE,869.1467175273168,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region7Jilin,FALSE,FALSE,TRUE
BECCSElectricity,Region8Heilongjiang_BiomassPower,Region8Heilongjiang,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region8Heilongjiang,FALSE,Biomass,biomass_Region8Heilongjiang,TRUE,TRUE,TRUE,1714.407942817419,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region8Heilongjiang,FALSE,FALSE,TRUE
BECCSElectricity,Region9Shanghai_BiomassPower,Region9Shanghai,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region9Shanghai,FALSE,Biomass,biomass_Region9Shanghai,TRUE,TRUE,TRUE,447.0508547084722,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region9Shanghai,FALSE,FALSE,TRUE
BECCSElectricity,Region10Jiangsu_BiomassPower,Region10Jiangsu,FALSE,Biomass,TRUE,1.55,0,1.402525,1.55,Electricity,elec_Region10Jiangsu,FALSE,Biomass,biomass_Region10Jiangsu,TRUE,TRUE,TRUE,1532.949501791412,0,0.35,730481.2242414418,14609.629408576737,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period5,FALSE,CO2,co2_sink_national_period5,CO2Captured,co2captured_Region10Jiangsu,FALSE,FALSE,TRUE
