Type,id,location,integer_decisions,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--emission_rate,transforms--capture_rate,transforms--electricity_production,transforms--co2_content,edges--elec_edge--commodity,edges--elec_edge--end_vertex,edges--elec_edge--has_capacity,edges--biomass_edge--commodity,edges--biomass_edge--start_vertex,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--existing_capacity,edges--biomass_edge--min_capacity,edges--biomass_edge--min_flow_fraction,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--wacc,edges--biomass_edge--lifetime,edges--biomass_edge--capital_recovery_period,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--constraints--MinFlowConstraint,edges--biomass_edge--constraints--RampingLimitConstraint,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_edge--has_capacity,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex,edges--co2_captured_edge--has_capacity,edges--biomass_edge--constraints--MaxNewCapacityConstraint,edges--biomass_edge--constraints--MinCapacityConstraint
BECCSElectricity,Region1Beijing_BECCS_Electricity,Region1Beijing,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region1Beijing,FALSE,Biomass,biomass_Region1Beijing,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region1Beijing,FALSE,FALSE,TRUE
BECCSElectricity,Region2Tianjin_BECCS_Electricity,Region2Tianjin,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region2Tianjin,FALSE,Biomass,biomass_Region2Tianjin,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region2Tianjin,FALSE,FALSE,TRUE
BECCSElectricity,Region3Hebei_BECCS_Electricity,Region3Hebei,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region3Hebei,FALSE,Biomass,biomass_Region3Hebei,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region3Hebei,FALSE,FALSE,TRUE
BECCSElectricity,Region4Shanxi_BECCS_Electricity,Region4Shanxi,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region4Shanxi,FALSE,Biomass,biomass_Region4Shanxi,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region4Shanxi,FALSE,FALSE,TRUE
BECCSElectricity,Region5Innermongolia_BECCS_Electricity,Region5Innermongolia,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region5Innermongolia,FALSE,Biomass,biomass_Region5Innermongolia,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region5Innermongolia,FALSE,FALSE,TRUE
BECCSElectricity,Region6Liaoning_BECCS_Electricity,Region6Liaoning,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region6Liaoning,FALSE,Biomass,biomass_Region6Liaoning,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region6Liaoning,FALSE,FALSE,TRUE
BECCSElectricity,Region7Jilin_BECCS_Electricity,Region7Jilin,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region7Jilin,FALSE,Biomass,biomass_Region7Jilin,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region7Jilin,FALSE,FALSE,TRUE
BECCSElectricity,Region8Heilongjiang_BECCS_Electricity,Region8Heilongjiang,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region8Heilongjiang,FALSE,Biomass,biomass_Region8Heilongjiang,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region8Heilongjiang,FALSE,FALSE,TRUE
BECCSElectricity,Region9Shanghai_BECCS_Electricity,Region9Shanghai,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region9Shanghai,FALSE,Biomass,biomass_Region9Shanghai,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region9Shanghai,FALSE,FALSE,TRUE
BECCSElectricity,Region10Jiangsu_BECCS_Electricity,Region10Jiangsu,FALSE,Biomass,TRUE,0.15,1.4,1.05,1.55,Electricity,elec_Region10Jiangsu,FALSE,Biomass,biomass_Region10Jiangsu,TRUE,TRUE,TRUE,0,0,0.4,1137499.6806960779,28437.488920343996,0,0.08,25,25,TRUE,TRUE,FALSE,CO2,co2_sink_national_period6,FALSE,CO2,co2_sink_national_period6,CO2Captured,co2captured_Region10Jiangsu,FALSE,FALSE,TRUE
