commodity,zone,resource_id,component_id,resource_type,component_type,capacity,new_capacity,retired_capacity,existing_capacity
Cement,cement_Region1Beijing_cement_Region2Tianjin,cement_transport_Region1Beijing_to_Region2Tianjin,cement_transport_Region1Beijing_to_Region2Tianjin_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.18643579734482685,0.18643579734482685,0.0,0.0
Cement,cement_Region1Beijing_cement_Region3Hebei,cement_transport_Region1Beijing_to_Region3Hebei,cement_transport_Region1Beijing_to_Region3Hebei_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.06637167357988794,0.06637167357988794,0.0,0.0
Cement,cement_Region1Beijing_cement_Region4Shanxi,cement_transport_Region1Beijing_to_Region4Shanxi,cement_transport_Region1Beijing_to_Region4Shanxi_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.03795678821605736,0.03795678821605736,0.0,0.0
Cement,cement_Region1Beijing_cement_Region5Innermongolia,cement_transport_Region1Beijing_to_Region5Innermongolia,cement_transport_Region1Beijing_to_Region5Innermongolia_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.03209336872771394,0.03209336872771394,0.0,0.0
Cement,cement_Region1Beijing_cement_Region6Liaoning,cement_transport_Region1Beijing_to_Region6Liaoning,cement_transport_Region1Beijing_to_Region6Liaoning_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.02892074333641964,0.02892074333641964,0.0,0.0
Cement,cement_Region1Beijing_cement_Region7Jilin,cement_transport_Region1Beijing_to_Region7Jilin,cement_transport_Region1Beijing_to_Region7Jilin_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.020963713997152154,0.020963713997152154,0.0,0.0
Cement,cement_Region1Beijing_cement_Region8Heilongjiang,cement_transport_Region1Beijing_to_Region8Heilongjiang,cement_transport_Region1Beijing_to_Region8Heilongjiang_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.016566967759957203,0.016566967759957203,0.0,0.0
Cement,cement_Region1Beijing_cement_Region9Shanghai,cement_transport_Region1Beijing_to_Region9Shanghai,cement_transport_Region1Beijing_to_Region9Shanghai_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.018032409633004072,0.018032409633004072,0.0,0.0
Cement,cement_Region1Beijing_cement_Region10Jiangsu,cement_transport_Region1Beijing_to_Region10Jiangsu,cement_transport_Region1Beijing_to_Region10Jiangsu_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.023079351318935622,0.023079351318935622,0.0,0.0
Cement,cement_Region1Beijing_cement_Region11Zhejiang,cement_transport_Region1Beijing_to_Region11Zhejiang,cement_transport_Region1Beijing_to_Region11Zhejiang_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.01802343490416331,0.01802343490416331,0.0,0.0
Cement,cement_Region1Beijing_cement_Region12Anhui,cement_transport_Region1Beijing_to_Region12Anhui,cement_transport_Region1Beijing_to_Region12Anhui_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.023124882629726916,0.023124882629726916,0.0,0.0
Cement,cement_Region1Beijing_cement_Region13Fujian,cement_transport_Region1Beijing_to_Region13Fujian,cement_transport_Region1Beijing_to_Region13Fujian_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.012155841238513097,0.012155841238513097,0.0,0.0
Cement,cement_Region1Beijing_cement_Region14Jiangxi,cement_transport_Region1Beijing_to_Region14Jiangxi,cement_transport_Region1Beijing_to_Region14Jiangxi_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.016864607368863443,0.016864607368863443,0.0,0.0
Cement,cement_Region1Beijing_cement_Region15Shandong,cement_transport_Region1Beijing_to_Region15Shandong,cement_transport_Region1Beijing_to_Region15Shandong_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.062127187961760394,0.062127187961760394,0.0,0.0
Cement,cement_Region1Beijing_cement_Region16Henan,cement_transport_Region1Beijing_to_Region16Henan,cement_transport_Region1Beijing_to_Region16Henan_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.03380772095943107,0.03380772095943107,0.0,0.0
Cement,cement_Region1Beijing_cement_Region17Hubei,cement_transport_Region1Beijing_to_Region17Hubei,cement_transport_Region1Beijing_to_Region17Hubei_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.02072375484131051,0.02072375484131051,0.0,0.0
Cement,cement_Region1Beijing_cement_Region18Hunan,cement_transport_Region1Beijing_to_Region18Hunan,cement_transport_Region1Beijing_to_Region18Hunan_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.016108183815742985,0.016108183815742985,0.0,0.0
Cement,cement_Region1Beijing_cement_Region19Guangdong,cement_transport_Region1Beijing_to_Region19Guangdong,cement_transport_Region1Beijing_to_Region19Guangdong_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.010816945048207975,0.010816945048207975,0.0,0.0
Cement,cement_Region1Beijing_cement_Region20Guangxi,cement_transport_Region1Beijing_to_Region20Guangxi,cement_transport_Region1Beijing_to_Region20Guangxi_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.010084356696214089,0.010084356696214089,0.0,0.0
Cement,cement_Region1Beijing_cement_Region21Hainan,cement_transport_Region1Beijing_to_Region21Hainan,cement_transport_Region1Beijing_to_Region21Hainan_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.008365258090337977,0.008365258090337977,0.0,0.0
Cement,cement_Region1Beijing_cement_Region22Chongqing,cement_transport_Region1Beijing_to_Region22Chongqing,cement_transport_Region1Beijing_to_Region22Chongqing_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.012767912685703252,0.012767912685703252,0.0,0.0
Cement,cement_Region1Beijing_cement_Region23Sichuan,cement_transport_Region1Beijing_to_Region23Sichuan,cement_transport_Region1Beijing_to_Region23Sichuan_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.012936054673142473,0.012936054673142473,0.0,0.0
Cement,cement_Region1Beijing_cement_Region24Guizhou,cement_transport_Region1Beijing_to_Region24Guizhou,cement_transport_Region1Beijing_to_Region24Guizhou_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.010725383056383965,0.010725383056383965,0.0,0.0
Cement,cement_Region1Beijing_cement_Region25Yunnan,cement_transport_Region1Beijing_to_Region25Yunnan,cement_transport_Region1Beijing_to_Region25Yunnan_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.008675236210437786,0.008675236210437786,0.0,0.0
Cement,cement_Region1Beijing_cement_Region27Shaanxi,cement_transport_Region1Beijing_to_Region27Shaanxi,cement_transport_Region1Beijing_to_Region27Shaanxi_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.019153630002274866,0.019153630002274866,0.0,0.0
Cement,cement_Region1Beijing_cement_Region28Gansu,cement_transport_Region1Beijing_to_Region28Gansu,cement_transport_Region1Beijing_to_Region28Gansu_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.014770811810146238,0.014770811810146238,0.0,0.0
Cement,cement_Region1Beijing_cement_Region29Qinghai,cement_transport_Region1Beijing_to_Region29Qinghai,cement_transport_Region1Beijing_to_Region29Qinghai_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.0127892216952056,0.0127892216952056,0.0,0.0
Cement,cement_Region1Beijing_cement_Region30Ningxia,cement_transport_Region1Beijing_to_Region30Ningxia,cement_transport_Region1Beijing_to_Region30Ningxia_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.01775919999372346,0.01775919999372346,0.0,0.0
Cement,cement_Region1Beijing_cement_Region31Xinjiang,cement_transport_Region1Beijing_to_Region31Xinjiang,cement_transport_Region1Beijing_to_Region31Xinjiang_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.00733974618395784,0.00733974618395784,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region1Beijing,cement_transport_Region2Tianjin_to_Region1Beijing,cement_transport_Region2Tianjin_to_Region1Beijing_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.1327627538811011,0.1327627538811011,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region3Hebei,cement_transport_Region2Tianjin_to_Region3Hebei,cement_transport_Region2Tianjin_to_Region3Hebei_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.059146391957106616,0.059146391957106616,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region4Shanxi,cement_transport_Region2Tianjin_to_Region4Shanxi,cement_transport_Region2Tianjin_to_Region4Shanxi_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.03559953460283912,0.03559953460283912,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region5Innermongolia,cement_transport_Region2Tianjin_to_Region5Innermongolia,cement_transport_Region2Tianjin_to_Region5Innermongolia_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.026494947252664672,0.026494947252664672,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region6Liaoning,cement_transport_Region2Tianjin_to_Region6Liaoning,cement_transport_Region2Tianjin_to_Region6Liaoning_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.0290016945759955,0.0290016945759955,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region7Jilin,cement_transport_Region2Tianjin_to_Region7Jilin,cement_transport_Region2Tianjin_to_Region7Jilin_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.02066477531942461,0.02066477531942461,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region8Heilongjiang,cement_transport_Region2Tianjin_to_Region8Heilongjiang,cement_transport_Region2Tianjin_to_Region8Heilongjiang_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.016386563462698317,0.016386563462698317,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region9Shanghai,cement_transport_Region2Tianjin_to_Region9Shanghai,cement_transport_Region2Tianjin_to_Region9Shanghai_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.019599004803475793,0.019599004803475793,0.0,0.0
Cement,cement_Region2Tianjin_cement_Region10Jiangsu,cement_transport_Region2Tianjin_to_Region10Jiangsu,cement_transport_Region2Tianjin_to_Region10Jiangsu_transmission_edge,OneWayTransmissionLink{Cement},UnidirectionalEdge{Cement},0.02524848615704796,0.02524848615704796,0.0,0.0
