type,VariableOM,Investment,FixedOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
OneWayTransmissionLink{Cement},193508.13838141348,0.0,0.0,0.0,0.0,0.0,0.0,193508.13838141348
CementPlant{Coal},2.0515183182430465e9,7614.069443946037,1.3868533151650163e6,0.0,0.0,0.0,0.0,2.0529127856276555e9
CO2Injection,3.4028968184447093e6,0.0,0.0,0.0,0.0,0.0,0.0,3.4028968184447093e6
ThermalPower{Coal},9.71023275715201e10,4.0172743202455925e10,4.817991782079195e10,3.5987093990109814e6,0.0,0.0,0.0,1.8545858730416696e11
ThermalPower{NaturalGas},1.3010932259152372e8,4.981366120885875e6,2.6946962198737985e8,2.4002750012856483e7,0.0,0.0,0.0,4.285630607126459e8
ThermalPowerCCS{Coal},859930.5012570107,5.464683983770436e6,1.6291063890568293e6,1.0654633892898662e6,0.0,0.0,0.0,9.019184263374142e6
ThermalPowerCCS{NaturalGas},744366.4331728184,5.978002625012661e6,1.7821343274056579e6,966890.237445726,0.0,0.0,0.0,9.471393623036863e6
ThermalPower{Uranium},3.174041028514712e9,0.0,8.823887229117144e9,0.0,0.0,0.0,0.0,1.1997928257631855e10
BECCSElectricity,0.0,1.5101418450600386e6,7.773601937024205e8,0.0,0.0,0.0,0.0,7.788703355474805e8
HydroRes,0.0,0.0,5.753310151823489e10,0.0,0.0,0.0,0.0,5.753310151823489e10
VRE,0.0,4.389057698933526e11,1.1282930041020871e11,0.0,0.0,0.0,0.0,5.517350703035613e11
OneWayTransmissionLink{Electricity},0.0,2.745307528087014e10,5.975755415918028e9,0.0,0.0,0.0,0.0,3.342883069678817e10
Battery,1.1405488408829652e7,4.76325848405816e8,3.668850660438504e9,0.0,0.0,0.0,0.0,4.15658199725315e9
TransmissionLink{Electricity},0.0,1.841146449140045e10,4.583291406885745e9,0.0,0.0,0.0,0.0,2.2994755898286198e10
Node{Electricity},0.0,0.0,0.0,0.0,8.263660385065444e6,0.0,0.0,8.263660385065444e6
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,1.54721264470191e9,0.0,1.54721264470191e9
Node{Coal},0.0,0.0,0.0,0.0,0.0,5.008022014711306e11,0.0,5.008022014711306e11
Node{Uranium},0.0,0.0,0.0,0.0,0.0,1.2686745661315363e10,0.0,1.2686745661315363e10
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,3.8433952325775386e6,3.8433952325775386e6
Node{Biomass},0.0,0.0,0.0,0.0,0.0,1.3300153000238787e10,0.0,1.3300153000238787e10
Total,1.0247460243116945e11,5.254373205251291e11,2.426457323713164e11,2.963381303860306e7,8.263660385065444e6,5.2833631277738666e11,3.8433952325775386e6,1.398935708973658e12
