zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,1.1130091800365943e8,3.6258655042149365e8,9.426874209789152e7,539284.7824326631,0.0,0.0,0.0,5.686954953054773e8
Region2Tianjin,4.691429537147968e9,1.893183416811184e9,6.019363927093118e8,312934.44216841913,0.0,0.0,0.0,7.186862281110632e9
Region12Anhui,3.96084367071832e10,9.06353729249738e9,1.974295860358364e8,256591.24176852466,0.0,0.0,0.0,4.8869660176958176e10
Region9Shanghai,881443.2881059956,2.4426513685128455e9,1.5698218529587343e9,1.1267205145201977e7,0.0,0.0,0.0,4.0246218699048877e9
Region22Chongqing,7.550787194062297e8,1.3784078156158312e10,5.162112399033043e9,8.42293171513832e6,0.0,0.0,0.0,1.970969220631272e10
Region13Fujian,617113.1991130817,5.842155949681998e9,2.0835645786535485e9,188690.72163674797,0.0,0.0,0.0,7.926526332256296e9
Region28Gansu,3.021993439394285e10,8.77216017579184e9,3.4734909648695946e8,504585.2904005316,0.0,0.0,0.0,3.933994825151205e10
Region19Guangdong,3.9531058903357186e9,1.2399803884061985e10,5.663045243650924e9,2.1974065958828606e7,0.0,0.0,0.0,2.2037929084007454e10
Region20Guangxi,2.1924886367141582e10,3.828990093152388e10,1.2332143889084322e10,1.1990700073390778e6,0.0,0.0,0.0,7.254813025775713e10
Region24Guizhou,5.090363786457109e10,2.947539944553615e10,9.27917630598247e9,214971.2570741707,0.0,0.0,0.0,8.965842858734679e10
Region21Hainan,9.165153396107409e9,2.79578103257497e9,7.241630097102643e8,1.567161839304574e7,0.0,0.0,0.0,1.2700769056785688e10
Region3Hebei,4.722720392945116e10,1.4989258338520443e10,4.074988850476949e9,281599.390066664,0.0,0.0,0.0,6.629173271783862e10
Region8Heilongjiang,1.1506672510120005e10,3.565508260115024e9,2.0478211810033315e8,210342.5712589544,0.0,0.0,0.0,1.527717323090662e10
Region16Henan,4.9065489851261705e8,2.6822147003677647e10,9.462559143920149e9,299763.96893193066,0.0,0.0,0.0,3.6775660810079346e10
Region17Hubei,1.374010644112495e6,6.976471980369823e9,6.392946736100316e8,276668.6882899436,0.0,0.0,0.0,7.617417333312258e9
Region18Hunan,1.613561921446103e8,2.9530732183084755e9,4.1024216600442016e8,311946.2202637344,0.0,0.0,0.0,3.52498352267777e9
Region5Innermongolia,6.1583599606219986e10,2.6888164513948257e10,3.825451926898472e10,229494.48839068506,0.0,0.0,0.0,1.2672651288364134e11
