zone,VariableOM,Investment,FixedOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
cement_Region1Beijing_cement_Region2Tianjin,281.53797317168153,0.0,0.0,0.0,0.0,0.0,0.0,281.53797317168153
cement_Region1Beijing_cement_Region3Hebei,222.97745096154506,0.0,0.0,0.0,0.0,0.0,0.0,222.97745096154506
cement_Region1Beijing_cement_Region4Shanxi,216.36774427522488,0.0,0.0,0.0,0.0,0.0,0.0,216.36774427522488
cement_Region1Beijing_cement_Region5Innermongolia,179.28870402831905,0.0,0.0,0.0,0.0,0.0,0.0,179.28870402831905
cement_Region1Beijing_cement_Region6Liaoning,232.2007837040282,0.0,0.0,0.0,0.0,0.0,0.0,232.2007837040282
cement_Region1Beijing_cement_Region7Jilin,244.88061398859423,0.0,0.0,0.0,0.0,0.0,0.0,244.88061398859423
cement_Region1Beijing_cement_Region8Heilongjiang,244.47157302567845,0.0,0.0,0.0,0.0,0.0,0.0,244.47157302567845
cement_Region1Beijing_cement_Region9Shanghai,257.94294105828135,0.0,0.0,0.0,0.0,0.0,0.0,257.94294105828135
cement_Region1Beijing_cement_Region10Jiangsu,268.8471215939253,0.0,0.0,0.0,0.0,0.0,0.0,268.8471215939253
cement_Region1Beijing_cement_Region11Zhejiang,261.2089491782711,0.0,0.0,0.0,0.0,0.0,0.0,261.2089491782711
cement_Region1Beijing_cement_Region12Anhui,276.4484553750115,0.0,0.0,0.0,0.0,0.0,0.0,276.4484553750115
cement_Region1Beijing_cement_Region13Fujian,263.26215636483334,0.0,0.0,0.0,0.0,0.0,0.0,263.26215636483334
cement_Region1Beijing_cement_Region14Jiangxi,294.4561426247969,0.0,0.0,0.0,0.0,0.0,0.0,294.4561426247969
cement_Region1Beijing_cement_Region15Shandong,276.30390119959327,0.0,0.0,0.0,0.0,0.0,0.0,276.30390119959327
cement_Region1Beijing_cement_Region16Henan,278.6389984486954,0.0,0.0,0.0,0.0,0.0,0.0,278.6389984486954
cement_Region1Beijing_cement_Region17Hubei,283.1516936713115,0.0,0.0,0.0,0.0,0.0,0.0,283.1516936713115
cement_Region1Beijing_cement_Region18Hunan,282.96150668594225,0.0,0.0,0.0,0.0,0.0,0.0,282.96150668594225
cement_Region1Beijing_cement_Region19Guangdong,267.0983456498777,0.0,0.0,0.0,0.0,0.0,0.0,267.0983456498777
cement_Region1Beijing_cement_Region20Guangxi,271.74603512797,0.0,0.0,0.0,0.0,0.0,0.0,271.74603512797
cement_Region1Beijing_cement_Region21Hainan,255.01646659279302,0.0,0.0,0.0,0.0,0.0,0.0,255.01646659279302
cement_Region1Beijing_cement_Region22Chongqing,267.99325561284223,0.0,0.0,0.0,0.0,0.0,0.0,267.99325561284223
cement_Region1Beijing_cement_Region23Sichuan,272.5122601756699,0.0,0.0,0.0,0.0,0.0,0.0,272.5122601756699
cement_Region1Beijing_cement_Region24Guizhou,259.39753014423184,0.0,0.0,0.0,0.0,0.0,0.0,259.39753014423184
cement_Region1Beijing_cement_Region25Yunnan,257.6005781298374,0.0,0.0,0.0,0.0,0.0,0.0,257.6005781298374
cement_Region1Beijing_cement_Region27Shaanxi,242.39477061388502,0.0,0.0,0.0,0.0,0.0,0.0,242.39477061388502
cement_Region1Beijing_cement_Region28Gansu,251.03533834434694,0.0,0.0,0.0,0.0,0.0,0.0,251.03533834434694
cement_Region1Beijing_cement_Region29Qinghai,249.0217730402909,0.0,0.0,0.0,0.0,0.0,0.0,249.0217730402909
cement_Region1Beijing_cement_Region30Ningxia,229.43949341987872,0.0,0.0,0.0,0.0,0.0,0.0,229.43949341987872
cement_Region1Beijing_cement_Region31Xinjiang,241.36267941726018,0.0,0.0,0.0,0.0,0.0,0.0,241.36267941726018
cement_Region2Tianjin_cement_Region1Beijing,178.9434987179594,0.0,0.0,0.0,0.0,0.0,0.0,178.9434987179594
cement_Region2Tianjin_cement_Region3Hebei,205.50276986525247,0.0,0.0,0.0,0.0,0.0,0.0,205.50276986525247
cement_Region2Tianjin_cement_Region4Shanxi,206.7115472903826,0.0,0.0,0.0,0.0,0.0,0.0,206.7115472903826
cement_Region2Tianjin_cement_Region5Innermongolia,183.19310813809568,0.0,0.0,0.0,0.0,0.0,0.0,183.19310813809568
cement_Region2Tianjin_cement_Region6Liaoning,222.07475180103046,0.0,0.0,0.0,0.0,0.0,0.0,222.07475180103046
cement_Region2Tianjin_cement_Region7Jilin,237.69114812943712,0.0,0.0,0.0,0.0,0.0,0.0,237.69114812943712
cement_Region2Tianjin_cement_Region8Heilongjiang,238.69204517604265,0.0,0.0,0.0,0.0,0.0,0.0,238.69204517604265
cement_Region2Tianjin_cement_Region9Shanghai,250.1098520608156,0.0,0.0,0.0,0.0,0.0,0.0,250.1098520608156
cement_Region2Tianjin_cement_Region10Jiangsu,260.8445562777986,0.0,0.0,0.0,0.0,0.0,0.0,260.8445562777986
cement_Region2Tianjin_cement_Region11Zhejiang,253.95530724214538,0.0,0.0,0.0,0.0,0.0,0.0,253.95530724214538
cement_Region2Tianjin_cement_Region12Anhui,268.75863248908234,0.0,0.0,0.0,0.0,0.0,0.0,268.75863248908234
cement_Region2Tianjin_cement_Region13Fujian,258.12743943352825,0.0,0.0,0.0,0.0,0.0,0.0,258.12743943352825
cement_Region2Tianjin_cement_Region14Jiangxi,288.6726025987386,0.0,0.0,0.0,0.0,0.0,0.0,288.6726025987386
cement_Region2Tianjin_cement_Region15Shandong,258.9491077082814,0.0,0.0,0.0,0.0,0.0,0.0,258.9491077082814
cement_Region2Tianjin_cement_Region16Henan,266.35062218422104,0.0,0.0,0.0,0.0,0.0,0.0,266.35062218422104
cement_Region2Tianjin_cement_Region17Hubei,275.51444887938175,0.0,0.0,0.0,0.0,0.0,0.0,275.51444887938175
cement_Region2Tianjin_cement_Region18Hunan,276.94947770656165,0.0,0.0,0.0,0.0,0.0,0.0,276.94947770656165
cement_Region2Tianjin_cement_Region19Guangdong,263.1057070742909,0.0,0.0,0.0,0.0,0.0,0.0,263.1057070742909
cement_Region2Tianjin_cement_Region20Guangxi,267.9828404102411,0.0,0.0,0.0,0.0,0.0,0.0,267.9828404102411
cement_Region2Tianjin_cement_Region21Hainan,251.86881179962657,0.0,0.0,0.0,0.0,0.0,0.0,251.86881179962657
cement_Region2Tianjin_cement_Region22Chongqing,263.39707276400327,0.0,0.0,0.0,0.0,0.0,0.0,263.39707276400327
cement_Region2Tianjin_cement_Region23Sichuan,267.7538220081776,0.0,0.0,0.0,0.0,0.0,0.0,267.7538220081776
cement_Region2Tianjin_cement_Region24Guizhou,255.43356712319988,0.0,0.0,0.0,0.0,0.0,0.0,255.43356712319988
cement_Region2Tianjin_cement_Region25Yunnan,254.667211120931,0.0,0.0,0.0,0.0,0.0,0.0,254.667211120931
cement_Region2Tianjin_cement_Region27Shaanxi,236.44966483579327,0.0,0.0,0.0,0.0,0.0,0.0,236.44966483579327
cement_Region2Tianjin_cement_Region28Gansu,246.70602661718888,0.0,0.0,0.0,0.0,0.0,0.0,246.70602661718888
cement_Region2Tianjin_cement_Region29Qinghai,245.28144767060934,0.0,0.0,0.0,0.0,0.0,0.0,245.28144767060934
cement_Region2Tianjin_cement_Region30Ningxia,225.29760910456193,0.0,0.0,0.0,0.0,0.0,0.0,225.29760910456193
cement_Region2Tianjin_cement_Region31Xinjiang,240.26771215406598,0.0,0.0,0.0,0.0,0.0,0.0,240.26771215406598
cement_Region3Hebei_cement_Region1Beijing,238.6154989285647,0.0,0.0,0.0,0.0,0.0,0.0,238.6154989285647
cement_Region3Hebei_cement_Region2Tianjin,265.6172346092469,0.0,0.0,0.0,0.0,0.0,0.0,265.6172346092469
cement_Region3Hebei_cement_Region4Shanxi,203.43655627495195,0.0,0.0,0.0,0.0,0.0,0.0,203.43655627495195
cement_Region3Hebei_cement_Region5Innermongolia,191.63791953192987,0.0,0.0,0.0,0.0,0.0,0.0,191.63791953192987
cement_Region3Hebei_cement_Region6Liaoning,243.62866930859212,0.0,0.0,0.0,0.0,0.0,0.0,243.62866930859212
cement_Region3Hebei_cement_Region7Jilin,253.0632864158534,0.0,0.0,0.0,0.0,0.0,0.0,253.0632864158534
cement_Region3Hebei_cement_Region8Heilongjiang,251.73138196016524,0.0,0.0,0.0,0.0,0.0,0.0,251.73138196016524
cement_Region3Hebei_cement_Region9Shanghai,260.9444216725102,0.0,0.0,0.0,0.0,0.0,0.0,260.9444216725102
