Period_Index,Rep_Period,Rep_Period_Index
1,327,11
2,327,11
3,9,1
4,9,1
5,9,1
6,327,11
7,327,11
8,9,1
9,9,1
10,9,1
11,9,1
12,327,11
13,327,11
14,327,11
15,9,1
16,327,11
17,9,1
18,327,11
19,327,11
20,327,11
21,327,11
22,327,11
23,263,10
24,263,10
25,107,4
26,78,3
27,78,3
28,78,3
29,78,3
30,78,3
31,43,2
32,43,2
33,43,2
34,43,2
35,43,2
36,43,2
37,43,2
38,43,2
39,43,2
40,43,2
41,43,2
42,43,2
43,43,2
44,43,2
45,43,2
46,43,2
47,43,2
48,43,2
49,107,4
50,107,4
51,107,4
52,107,4
53,78,3
54,78,3
55,107,4
56,78,3
57,78,3
58,78,3
59,78,3
60,78,3
61,78,3
62,78,3
63,107,4
64,78,3
65,78,3
66,107,4
67,78,3
68,107,4
69,107,4
70,78,3
71,78,3
72,107,4
73,78,3
74,78,3
75,107,4
76,107,4
77,107,4
78,78,3
79,107,4
80,107,4
81,78,3
82,107,4
83,107,4
84,107,4
85,107,4
86,78,3
87,107,4
88,107,4
89,107,4
90,107,4
91,107,4
92,107,4
93,107,4
94,107,4
95,107,4
96,107,4
97,107,4
98,107,4
99,107,4
100,107,4
101,107,4
102,107,4
103,107,4
104,107,4
105,107,4
106,107,4
107,107,4
108,107,4
109,107,4
110,107,4
111,107,4
112,107,4
113,107,4
114,78,3
115,107,4
116,107,4
117,107,4
118,107,4
119,107,4
120,107,4
121,107,4
122,107,4
123,107,4
124,107,4
125,158,5
126,107,4
127,107,4
128,158,5
129,107,4
130,107,4
131,107,4
132,107,4
133,107,4
134,158,5
135,107,4
136,158,5
137,158,5
138,158,5
139,158,5
140,158,5
141,158,5
142,158,5
143,158,5
144,158,5
145,158,5
146,158,5
147,158,5
148,107,4
149,107,4
150,158,5
151,158,5
152,158,5
153,158,5
154,158,5
155,158,5
156,158,5
157,158,5
158,158,5
159,158,5
160,158,5
161,158,5
162,158,5
163,158,5
164,158,5
165,158,5
166,158,5
167,158,5
168,158,5
169,158,5
170,185,6
171,185,6
172,185,6
173,185,6
174,185,6
175,158,5
176,185,6
177,185,6
178,185,6
179,185,6
180,185,6
181,185,6
182,185,6
183,185,6
184,185,6
185,185,6
186,185,6
187,185,6
188,185,6
189,185,6
190,185,6
191,185,6
192,185,6
193,185,6
194,185,6
195,185,6
196,185,6
197,253,9
198,185,6
199,206,7
200,206,7
201,206,7
202,253,9
203,208,8
204,206,7
205,206,7
206,206,7
207,206,7
208,208,8
209,206,7
210,208,8
211,208,8
212,208,8
213,206,7
214,253,9
215,206,7
216,253,9
217,253,9
218,253,9
219,206,7
220,206,7
221,208,8
222,206,7
223,253,9
224,253,9
225,253,9
226,206,7
227,206,7
228,206,7
229,206,7
230,253,9
231,253,9
232,253,9
233,206,7
234,253,9
235,253,9
236,253,9
237,253,9
238,253,9
239,206,7
240,208,8
241,208,8
242,263,10
243,263,10
244,263,10
245,263,10
246,263,10
247,263,10
248,263,10
249,263,10
250,263,10
251,253,9
252,253,9
253,253,9
254,253,9
255,253,9
256,263,10
257,263,10
258,263,10
259,263,10
260,263,10
261,263,10
262,263,10
263,263,10
264,263,10
265,263,10
266,263,10
267,263,10
268,263,10
269,263,10
270,263,10
271,263,10
272,327,11
273,263,10
274,263,10
275,158,5
276,158,5
277,158,5
278,263,10
279,78,3
280,327,11
281,263,10
282,263,10
283,327,11
284,263,10
285,263,10
286,327,11
287,327,11
288,263,10
289,327,11
290,263,10
291,263,10
292,263,10
293,263,10
294,327,11
295,263,10
296,263,10
297,327,11
298,263,10
299,263,10
300,263,10
301,327,11
302,364,12
303,78,3
304,78,3
305,263,10
306,263,10
307,263,10
308,327,11
309,263,10
310,263,10
311,327,11
312,327,11
313,327,11
314,327,11
315,327,11
316,327,11
317,327,11
318,263,10
319,327,11
320,327,11
321,327,11
322,327,11
323,327,11
324,327,11
325,327,11
326,263,10
327,327,11
328,327,11
329,327,11
330,327,11
331,327,11
332,9,1
333,327,11
334,9,1
335,263,10
336,327,11
337,327,11
338,327,11
339,327,11
340,327,11
341,327,11
342,364,12
343,364,12
344,327,11
345,327,11
346,327,11
347,327,11
348,327,11
349,327,11
350,327,11
351,327,11
352,327,11
353,9,1
354,327,11
355,327,11
356,327,11
357,364,12
358,9,1
359,327,11
360,9,1
361,9,1
362,364,12
363,364,12
364,364,12
365,364,12
