Period_Index,Rep_Period,Rep_Period_Index
1,358,3
2,358,3
3,358,3
4,358,3
5,358,3
6,358,3
7,358,3
8,358,3
9,358,3
10,358,3
11,358,3
12,358,3
13,358,3
14,358,3
15,358,3
16,358,3
17,358,3
18,358,3
19,358,3
20,358,3
21,358,3
22,358,3
23,358,3
24,358,3
25,358,3
26,99,1
27,99,1
28,99,1
29,99,1
30,99,1
31,99,1
32,99,1
33,99,1
34,99,1
35,99,1
36,99,1
37,99,1
38,99,1
39,99,1
40,99,1
41,99,1
42,99,1
43,99,1
44,99,1
45,99,1
46,99,1
47,99,1
48,99,1
49,99,1
50,99,1
51,99,1
52,99,1
53,99,1
54,99,1
55,99,1
56,99,1
57,99,1
58,99,1
59,99,1
60,99,1
61,99,1
62,99,1
63,99,1
64,99,1
65,99,1
66,99,1
67,99,1
68,99,1
69,99,1
70,99,1
71,99,1
72,99,1
73,99,1
74,99,1
75,99,1
76,99,1
77,99,1
78,99,1
79,99,1
80,99,1
81,99,1
82,99,1
83,99,1
84,99,1
85,99,1
86,99,1
87,99,1
88,99,1
89,99,1
90,99,1
91,99,1
92,99,1
93,99,1
94,99,1
95,99,1
96,99,1
97,99,1
98,99,1
99,99,1
100,99,1
101,99,1
102,99,1
103,99,1
104,99,1
105,99,1
106,99,1
107,99,1
108,99,1
109,99,1
110,99,1
111,99,1
112,99,1
113,99,1
114,99,1
115,99,1
116,99,1
117,99,1
118,99,1
119,99,1
120,99,1
121,99,1
122,99,1
123,99,1
124,99,1
125,99,1
126,99,1
127,99,1
128,99,1
129,99,1
130,99,1
131,99,1
132,99,1
133,99,1
134,99,1
135,99,1
136,99,1
137,99,1
138,99,1
139,99,1
140,99,1
141,99,1
142,99,1
143,99,1
144,99,1
145,99,1
146,99,1
147,99,1
148,99,1
149,99,1
150,99,1
151,99,1
152,249,2
153,249,2
154,249,2
155,249,2
156,249,2
157,249,2
158,99,1
159,99,1
160,99,1
161,99,1
162,249,2
163,249,2
164,249,2
165,249,2
166,249,2
167,249,2
168,249,2
169,249,2
170,249,2
171,249,2
172,249,2
173,249,2
174,249,2
175,249,2
176,249,2
177,249,2
178,249,2
179,249,2
180,249,2
181,249,2
182,249,2
183,249,2
184,249,2
185,249,2
186,249,2
187,249,2
188,249,2
189,249,2
190,249,2
191,249,2
192,249,2
193,249,2
194,249,2
195,249,2
196,249,2
197,249,2
198,249,2
199,249,2
200,249,2
201,249,2
202,249,2
203,249,2
204,249,2
205,249,2
206,249,2
207,249,2
208,249,2
209,249,2
210,249,2
211,249,2
212,249,2
213,249,2
214,249,2
215,249,2
216,249,2
217,249,2
218,249,2
219,249,2
220,249,2
221,249,2
222,249,2
223,249,2
224,249,2
225,249,2
226,249,2
227,249,2
228,249,2
229,249,2
230,249,2
231,249,2
232,249,2
233,249,2
234,249,2
235,249,2
236,249,2
237,249,2
238,249,2
239,249,2
240,249,2
241,249,2
242,249,2
243,249,2
244,249,2
245,249,2
246,249,2
247,249,2
248,249,2
249,249,2
250,249,2
251,249,2
252,249,2
253,249,2
254,249,2
255,249,2
256,249,2
257,249,2
258,249,2
259,249,2
260,249,2
261,249,2
262,249,2
263,249,2
264,249,2
265,249,2
266,249,2
267,249,2
268,249,2
269,249,2
270,249,2
271,249,2
272,99,1
273,249,2
274,249,2
275,249,2
276,249,2
277,249,2
278,249,2
279,358,3
280,249,2
281,249,2
282,358,3
283,358,3
284,249,2
285,249,2
286,358,3
287,358,3
288,358,3
289,358,3
290,358,3
291,249,2
292,358,3
293,358,3
294,358,3
295,358,3
296,358,3
297,358,3
298,358,3
299,358,3
300,358,3
301,358,3
302,358,3
303,358,3
304,358,3
305,358,3
306,358,3
307,358,3
308,358,3
309,358,3
310,358,3
311,358,3
312,358,3
313,358,3
314,358,3
315,358,3
316,358,3
317,358,3
318,358,3
319,358,3
320,358,3
321,358,3
322,358,3
323,358,3
324,358,3
325,358,3
326,358,3
327,358,3
328,358,3
329,358,3
330,358,3
331,358,3
332,358,3
333,358,3
334,358,3
335,358,3
336,358,3
337,358,3
338,358,3
339,358,3
340,358,3
341,358,3
342,358,3
343,358,3
344,358,3
345,358,3
346,358,3
347,358,3
348,358,3
349,358,3
350,358,3
351,358,3
352,358,3
353,358,3
354,358,3
355,358,3
356,358,3
357,358,3
358,358,3
359,358,3
360,358,3
361,358,3
362,358,3
363,358,3
364,358,3
365,358,3
