Time_Index,Rep_Period_Index,Rep_Period,Weight
1,1,99,131.0
2,1,99,131.0
3,1,99,131.0
4,1,99,131.0
5,1,99,131.0
6,1,99,131.0
7,1,99,131.0
8,1,99,131.0
9,1,99,131.0
10,1,99,131.0
11,1,99,131.0
12,1,99,131.0
13,1,99,131.0
14,1,99,131.0
15,1,99,131.0
16,1,99,131.0
17,1,99,131.0
18,1,99,131.0
19,1,99,131.0
20,1,99,131.0
21,1,99,131.0
22,1,99,131.0
23,1,99,131.0
24,1,99,131.0
25,2,249,127.0
26,2,249,127.0
27,2,249,127.0
28,2,249,127.0
29,2,249,127.0
30,2,249,127.0
31,2,249,127.0
32,2,249,127.0
33,2,249,127.0
34,2,249,127.0
35,2,249,127.0
36,2,249,127.0
37,2,249,127.0
38,2,249,127.0
39,2,249,127.0
40,2,249,127.0
41,2,249,127.0
42,2,249,127.0
43,2,249,127.0
44,2,249,127.0
45,2,249,127.0
46,2,249,127.0
47,2,249,127.0
48,2,249,127.0
49,3,358,107.0
50,3,358,107.0
51,3,358,107.0
52,3,358,107.0
53,3,358,107.0
54,3,358,107.0
55,3,358,107.0
56,3,358,107.0
57,3,358,107.0
58,3,358,107.0
59,3,358,107.0
60,3,358,107.0
61,3,358,107.0
62,3,358,107.0
63,3,358,107.0
64,3,358,107.0
65,3,358,107.0
66,3,358,107.0
67,3,358,107.0
68,3,358,107.0
69,3,358,107.0
70,3,358,107.0
71,3,358,107.0
72,3,358,107.0
