Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_Hydropower,Region2Tianjin_Hydropower,Region3Hebei_Hydropower,Region4Shanxi_Hydropower,Region5Innermongolia_Hydropower,Region6Liaoning_Hydropower,Region7Jilin_Hydropower,Region8Heilongjiang_Hydropower,Region9Shanghai_Hydropower,Region10Jiangsu_Hydropower,Region11Zhejiang_Hydropower,Region12Anhui_Hydropower,Region13Fujian_Hydropower,Region14Jiangxi_Hydropower,Region15Shandong_Hydropower,Region16Henan_Hydropower,Region17Hubei_Hydropower,Region18Hunan_Hydropower,Region19Guangdong_Hydropower,Region20Guangxi_Hydropower,Region21Hainan_Hydropower,Region22Chongqing_Hydropower,Region23Sichuan_Hydropower,Region24Guizhou_Hydropower,Region25Yunnan_Hydropower,Region26Tibet_Hydropower,Region27Shaanxi_Hydropower,Region28Gansu_Hydropower,Region29Qinghai_Hydropower,Region30Ningxia_Hydropower,Region31Xinjiang_Hydropower
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169744634,0.11396432,0.35015455,0.427505929,0.34331207,0.248180699,0.570925272,0.280892736,0.3381961,0.430769742,0.023932357,0.156802797,0.239137097,0.306105145,0.383186478,0.215849267,0.077746749,0.362010626,0.211313449,0.245893653,0.246566908,0.720799839,0.166082094,0.530580776,0.502741605,0.507485221,0.570335623,0.381372539,0.182705011,0.565146254,0.153640998,0,0.794400232,0.85,0,0,0.85,0,0,0.162943614,0.386069724,0.056685309,0,0.135842695,0,0.426326453,0,0,0,0.101937605,0.101937605,0.162943614,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209993506,0.240676725,0.345149504,0.404733433,0.394627537,0.24464727,0.575463424,0.29492943,0.326915298,0.397107512,0.025929215,0.135507145,0.222397339,0.297821796,0.361866131,0.290614795,0.034020465,0.353680241,0.1803202,0.196347001,0.218500027,0.744077552,0.171353626,0.545388522,0.467056171,0.463261336,0.535626501,0.45879521,0.201320509,0.571873493,0.168826617,0,0.807067843,0.85,0,0,0.85,0,0,0.169710801,0.47213041,0,0,0.156248867,0,0.369781257,0,0,0,0.085057309,0.085057309,0.169710801,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218972488,0.380265594,0.332673683,0.391278531,0.412017146,0.255395515,0.563678496,0.305428936,0.349370777,0.359589817,0.030604454,0.133729528,0.193830651,0.273300347,0.346921936,0.324548084,0.031140518,0.305117296,0.153347868,0.150605226,0.187098756,0.749063471,0.138129658,0.510680535,0.433047206,0.442419979,0.486682456,0.481664249,0.154445172,0.533729088,0.196104128,0,0.789726571,0.85,0,0,0.849208101,0,0,0.176280615,0.354410771,0,0,0.162685542,0,0.437069186,0,0,0,0.085057309,0.085057309,0.176280615,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201379879,0.420482574,0.336901309,0.379814927,0.478025534,0.338774076,0.511711934,0.313570438,0.360444611,0.343730797,0.030604454,0.151874588,0.184312637,0.251267466,0.345361908,0.364768969,0.03117319,0.246522871,0.15234667,0.140969899,0.149899398,0.732866308,0.106163086,0.476089769,0.400082668,0.419826672,0.468076749,0.452740274,0.113394415,0.51916921,0.201544449,0,0.666011342,0.847593386,0,0,0.849208101,0,0,0.183498802,0.209135871,0,0,0.149696983,0,0.485010961,0,0,0,0.101937605,0.101937605,0.183498802,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192697181,0.433924423,0.327913401,0.3578857,0.557610229,0.384434482,0.416580326,0.326460637,0.384251887,0.365777717,0.028283243,0.162450833,0.189669721,0.259135677,0.343433887,0.401878361,0,0.221878237,0.13549885,0.14141645,0.125638196,0.70522824,0.101560362,0.442556962,0.339016524,0.377001387,0.444840973,0.443896092,0.088832633,0.469643205,0.206051503,0,0.588869115,0.841853924,0,0,0.85,0,0,0.191449106,0.068095624,0,0,0.156248867,0,0.582718081,0,0,0,0.146417536,0.146417536,0.191449106,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1932081,0.509799503,0.308789977,0.324848983,0.584487295,0.37513372,0.387042849,0.343810744,0.408116107,0.433803951,0.038355001,0.154515724,0.192766276,0.259115539,0.342077003,0.468235454,0.001049353,0.216143502,0.107047021,0.192902323,0.120780489,0.672532823,0.115051884,0.421307702,0.292778259,0.319431837,0.403245384,0.483488237,0.096719602,0.418423791,0.274545435,0,0.626142976,0.827967941,0,0,0.849947979,0,0,0.199043932,0.000378918,0.005578949,0,0.142251395,0,0.492447682,0,0,0,0.197998744,0.197998744,0.199043932,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0.007288051,0.023543434,0.044168797,0.052013321,0.009267031,0.000927536,0.000398022,0,0,0,0.006455888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029848422,0,0,0.006950274,0.002086956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205872371,0.59273436,0.294460436,0.352871495,0.554610522,0.344000096,0.370708183,0.35885188,0.373470165,0.477693848,0.060543799,0.125578667,0.175095905,0.208158938,0.335675933,0.497139291,0.017196136,0.178093259,0.091766997,0.187308362,0.12067531,0.608560769,0.127012925,0.404976071,0.265955834,0.295099074,0.378701738,0.457909213,0.165748862,0.371117511,0.408246423,0,0.578042332,0.823521207,0,0,0.848647117,0,0,0.192994031,0.004436942,0.055327855,0,0.124400498,0,0.370925735,0,0,0,0.232397286,0.232397286,0.192994031,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.099246697,0.10068564,0.086641317,0.080238997,0.072059681,0.15699038,0.162326692,0.155672559,0.125509895,0.1029218,0.085746342,0.082406036,0.076133469,0.059983328,0.109918993,0.060772293,0.054630327,0.031300413,0.051377324,0.01679732,0.029983887,0.030398351,0,0.003023502,0,0,0.046282226,0.004281554,0,0.027507276,0,0.074435022,0.070479948,0.061318125,0,0,0.145249979,0,0,0.094132422,0.084777176,0.085882239,0.064880265,0.051335983,0.047760662,0.063160843,0.04763721,0.042362643,0.022097613,0.024914786,0.002398907,0.031450206,0.025837662,0,0.002235625,0,0,0,0,0,0,0,0.218650992,0.644507681,0.275976793,0.317193093,0.516904211,0.313023602,0.337572094,0.363893948,0.368339253,0.425153582,0.087640515,0.103863559,0.189943188,0.167468675,0.339238218,0.449014492,0.025488684,0.152821757,0.078274442,0.189710757,0.136565299,0.508770693,0.118471669,0.392817767,0.257622418,0.280089894,0.338252901,0.420154978,0.196455906,0.31736871,0.48918507,0,0.50935282,0.832920133,0,0,0.845274774,0,0,0.22765986,0.011403621,0.133420514,0,0.150855034,0,0.365332837,0,0,0,0.210378574,0.210378574,0.22765986,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.234159808,0.258378606,0.238984132,0.232955184,0.237004009,0.339876674,0.358221393,0.380900118,0.267326649,0.274402594,0.216022052,0.252743656,0.174712481,0.104330331,0.246107443,0.211728666,0.159469347,0.13674606,0.0822463,0.108925129,0.140696835,0.10926696,0.10490371,0.061457091,0.105724125,0.039395933,0.169903044,0.122212543,0.089708567,0.188454453,0,0.175619856,0.180865024,0.169424045,0,0,0.29278245,0,0,0.200494987,0.226033342,0.241155709,0.198207707,0.037779603,0.097348982,0.156490972,0.189693827,0.127028758,0.104504661,0.059658756,0.061967845,0.11163574,0.09287317,0,0.033426802,0.056592711,0.016351001,0,0,0,0,0,0.225168921,0.674403562,0.266015527,0.29335492,0.499052324,0.304132461,0.327207228,0.367222554,0.375002839,0.39228953,0.102813598,0.094642265,0.199393341,0.147405846,0.342418888,0.417902325,0.029924492,0.138132591,0.071254405,0.193463814,0.146832764,0.449353314,0.110328665,0.388051206,0.252010851,0.272481607,0.314995117,0.403677513,0.207448687,0.283265259,0.526801109,0,0.478632635,0.837976099,0,0,0.843248624,0,0,0.253257988,0.014925848,0.171484978,0,0.163100448,0,0.372922631,0,0,0,0.193047452,0.193047452,0.253257988,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.384890049,0.410005636,0.397962389,0.349606915,0.393613162,0.50196481,0.527054147,0.540032625,0.385860253,0.36639889,0.318141424,0.382260638,0.284608067,0.186235158,0.369330536,0.339143054,0.254051317,0.218684267,0.146953939,0.206563964,0.270069761,0.213200129,0.294102303,0.156938507,0.255879666,0.177756629,0.263785598,0.212726094,0.269844667,0.327555601,0.016537105,0.288667537,0.287003945,0.293599373,0,0,0.420053032,0,0,0.28939519,0.318578793,0.341740662,0.287034954,0.122128107,0.171934994,0.24758787,0.307851944,0.212223057,0.245061582,0.127346879,0.13950955,0.210877406,0.181216332,0,0.093266992,0.14404327,0.07123947,0,0,0,0,0,0.229180658,0.736803517,0.243952276,0.245664663,0.459018859,0.283993162,0.316060517,0.373732013,0.39286692,0.336464554,0.137954592,0.078762167,0.228985141,0.110493558,0.349276687,0.360997169,0.042481615,0.111207146,0.055940404,0.204835622,0.173123754,0.34705917,0.087275493,0.376170511,0.23808757,0.262147075,0.273528812,0.360009707,0.222733874,0.21222374,0.595633511,0,0.418895826,0.846315538,0,0,0.837540495,0,0,0.308373246,0.005807377,0.252885461,0,0.188496057,0,0.40093376,0,0,0,0.151889152,0.151889152,0.308373246,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
