Type,id,constraints--MaxNonServedDemandPerSegmentConstraint,constraints--MaxNonServedDemandConstraint,constraints--BalanceConstraint,max_nsd--timeseries--path,max_nsd--timeseries--header,price_nsd--timeseries--path,price_nsd--timeseries--header,time_interval,demand--timeseries--path,demand--timeseries--TDR_path,demand--timeseries--header
Heat,heat_Region1Beijing,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region1Beijing
Heat,heat_Region2Tianjin,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region2Tianjin
Heat,heat_Region3Hebei,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region3Hebei
Heat,heat_Region4Shanxi,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region4Shanxi
Heat,heat_Region5Innermongolia,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region5Innermongolia
Heat,heat_Region6Liaoning,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region6Liaoning
Heat,heat_Region7Jilin,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region7Jilin
Heat,heat_Region8Heilongjiang,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region8Heilongjiang
Heat,heat_Region9Shanghai,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region9Shanghai
Heat,heat_Region10Jiangsu,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region10Jiangsu
Heat,heat_Region11Zhejiang,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region11Zhejiang
Heat,heat_Region12Anhui,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region12Anhui
Heat,heat_Region13Fujian,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region13Fujian
Heat,heat_Region14Jiangxi,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region14Jiangxi
Heat,heat_Region15Shandong,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region15Shandong
Heat,heat_Region16Henan,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region16Henan
Heat,heat_Region17Hubei,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region17Hubei
Heat,heat_Region18Hunan,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region18Hunan
Heat,heat_Region19Guangdong,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region19Guangdong
Heat,heat_Region20Guangxi,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region20Guangxi
Heat,heat_Region21Hainan,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region21Hainan
Heat,heat_Region22Chongqing,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region22Chongqing
Heat,heat_Region23Sichuan,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region23Sichuan
Heat,heat_Region24Guizhou,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region24Guizhou
Heat,heat_Region25Yunnan,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region25Yunnan
Heat,heat_Region26Tibet,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region26Tibet
Heat,heat_Region27Shaanxi,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region27Shaanxi
Heat,heat_Region28Gansu,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region28Gansu
Heat,heat_Region29Qinghai,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region29Qinghai
Heat,heat_Region30Ningxia,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region30Ningxia
Heat,heat_Region31Xinjiang,true,true,true,system/nsd_params.csv,max_nsd,system/nsd_params.csv,price_nsd,Heat,system/demand_1.csv,system/demand_1.csv,Demand_Heat_Region31Xinjiang
