Type,id,price_unmet_policy--CO2CapConstraint,time_interval,constraints--CO2CapConstraint,constraints--BalanceConstraint,rhs_policy--CO2CapConstraint
CO2,co2_sink_Region10Jiangsu,15000,CO2,false,false,
CO2,co2_sink_Region11Zhejiang,15000,CO2,false,false,
CO2,co2_sink_Region12Anhui,15000,CO2,false,false,
CO2,co2_sink_Region13Fujian,15000,CO2,false,false,
CO2,co2_sink_Region14Jiangxi,15000,CO2,false,false,
CO2,co2_sink_Region15Shandong,15000,CO2,false,false,
CO2,co2_sink_Region16Henan,15000,CO2,false,false,
CO2,co2_sink_Region17Hubei,15000,CO2,false,false,
CO2,co2_sink_Region18Hunan,15000,CO2,false,false,
CO2,co2_sink_Region19Guangdong,15000,CO2,false,false,
CO2,co2_sink_Region1Beijing,15000,CO2,false,false,
CO2,co2_sink_Region20Guangxi,15000,CO2,false,false,
CO2,co2_sink_Region21Hainan,15000,CO2,false,false,
CO2,co2_sink_Region22Chongqing,15000,CO2,false,false,
CO2,co2_sink_Region23Sichuan,15000,CO2,false,false,
CO2,co2_sink_Region24Guizhou,15000,CO2,false,false,
CO2,co2_sink_Region25Yunnan,15000,CO2,false,false,
CO2,co2_sink_Region26Tibet,15000,CO2,false,false,
CO2,co2_sink_Region27Shaanxi,15000,CO2,false,false,
CO2,co2_sink_Region28Gansu,15000,CO2,false,false,
CO2,co2_sink_Region29Qinghai,15000,CO2,false,false,
CO2,co2_sink_Region2Tianjin,15000,CO2,false,false,
CO2,co2_sink_Region30Ningxia,15000,CO2,false,false,
CO2,co2_sink_Region31Xinjiang,15000,CO2,false,false,
CO2,co2_sink_Region3Hebei,15000,CO2,false,false,
CO2,co2_sink_Region4Shanxi,15000,CO2,false,false,
CO2,co2_sink_Region5Innermongolia,15000,CO2,false,false,
CO2,co2_sink_Region6Liaoning,15000,CO2,false,false,
CO2,co2_sink_Region7Jilin,15000,CO2,false,false,
CO2,co2_sink_Region8Heilongjiang,15000,CO2,false,false,
CO2,co2_sink_Region9Shanghai,15000,CO2,false,false,
CO2,co2_sink_national_period4,15000,CO2,true,false,2262000000
