Type,id,constraints--BalanceConstraint,time_interval,supply--seg1--price--timeseries--path,supply--seg1--price--timeseries--TDR_path,supply--seg1--price--timeseries--header,supply--seg1--min
Coal,coal_Region1Beijing,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region1Beijing,0
Coal,coal_Region2Tianjin,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region2Tianjin,0
Coal,coal_Region3Hebei,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region3Hebei,0
Coal,coal_Region4Shanxi,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region4Shanxi,0
Coal,coal_Region5Innermongolia,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region5Innermongolia,0
Coal,coal_Region6Liaoning,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region6Liaoning,0
Coal,coal_Region7Jilin,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region7Jilin,0
Coal,coal_Region8Heilongjiang,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region8Heilongjiang,0
Coal,coal_Region9Shanghai,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region9Shanghai,0
Coal,coal_Region10Jiangsu,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region10Jiangsu,0
Coal,coal_Region11Zhejiang,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region11Zhejiang,0
Coal,coal_Region12Anhui,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region12Anhui,0
Coal,coal_Region13Fujian,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region13Fujian,0
Coal,coal_Region14Jiangxi,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region14Jiangxi,0
Coal,coal_Region15Shandong,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region15Shandong,0
Coal,coal_Region16Henan,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region16Henan,0
Coal,coal_Region17Hubei,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region17Hubei,0
Coal,coal_Region18Hunan,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region18Hunan,0
Coal,coal_Region19Guangdong,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region19Guangdong,0
Coal,coal_Region20Guangxi,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region20Guangxi,0
Coal,coal_Region21Hainan,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region21Hainan,0
Coal,coal_Region22Chongqing,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region22Chongqing,0
Coal,coal_Region23Sichuan,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region23Sichuan,0
Coal,coal_Region24Guizhou,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region24Guizhou,0
Coal,coal_Region25Yunnan,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region25Yunnan,0
Coal,coal_Region26Tibet,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region26Tibet,0
Coal,coal_Region27Shaanxi,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region27Shaanxi,0
Coal,coal_Region28Gansu,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region28Gansu,0
Coal,coal_Region29Qinghai,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region29Qinghai,0
Coal,coal_Region30Ningxia,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region30Ningxia,0
Coal,coal_Region31Xinjiang,true,Coal,system/fuel_prices_6.csv,system/fuel_prices_6.csv,coal_Region31Xinjiang,0
