Period_Index,Rep_Period,Rep_Period_Index
1,196,1
2,196,1
3,196,1
4,196,1
5,196,1
6,196,1
7,196,1
8,196,1
9,196,1
10,196,1
11,196,1
12,196,1
13,196,1
14,196,1
15,196,1
16,196,1
17,196,1
18,196,1
19,196,1
20,196,1
21,196,1
22,196,1
23,196,1
24,196,1
25,196,1
26,196,1
27,196,1
28,196,1
29,196,1
30,196,1
31,196,1
32,196,1
33,196,1
34,196,1
35,196,1
36,196,1
37,196,1
38,196,1
39,196,1
40,196,1
41,196,1
42,196,1
43,196,1
44,196,1
45,196,1
46,196,1
47,196,1
48,196,1
49,196,1
50,196,1
51,196,1
52,196,1
53,196,1
54,196,1
55,196,1
56,196,1
57,196,1
58,196,1
59,196,1
60,196,1
61,196,1
62,196,1
63,196,1
64,196,1
65,196,1
66,196,1
67,196,1
68,196,1
69,196,1
70,196,1
71,196,1
72,196,1
73,196,1
74,196,1
75,196,1
76,196,1
77,196,1
78,196,1
79,196,1
80,196,1
81,196,1
82,196,1
83,196,1
84,196,1
85,196,1
86,196,1
87,196,1
88,196,1
89,196,1
90,196,1
91,196,1
92,196,1
93,196,1
94,196,1
95,196,1
96,196,1
97,196,1
98,196,1
99,196,1
100,196,1
101,196,1
102,196,1
103,196,1
104,196,1
105,196,1
106,196,1
107,196,1
108,196,1
109,196,1
110,196,1
111,196,1
112,196,1
113,196,1
114,196,1
115,196,1
116,196,1
117,196,1
118,196,1
119,196,1
120,196,1
121,196,1
122,196,1
123,196,1
124,196,1
125,196,1
126,196,1
127,196,1
128,196,1
129,196,1
130,196,1
131,196,1
132,196,1
133,196,1
134,196,1
135,196,1
136,196,1
137,196,1
138,196,1
139,196,1
140,196,1
141,196,1
142,196,1
143,196,1
144,196,1
145,196,1
146,196,1
147,196,1
148,196,1
149,196,1
150,196,1
151,196,1
152,196,1
153,196,1
154,196,1
155,196,1
156,196,1
157,196,1
158,196,1
159,196,1
160,196,1
161,196,1
162,196,1
163,196,1
164,196,1
165,196,1
166,196,1
167,196,1
168,196,1
169,196,1
170,196,1
171,196,1
172,196,1
173,196,1
174,196,1
175,196,1
176,196,1
177,196,1
178,196,1
179,196,1
180,196,1
181,196,1
182,196,1
183,196,1
184,196,1
185,196,1
186,196,1
187,196,1
188,196,1
189,196,1
190,196,1
191,196,1
192,196,1
193,196,1
194,196,1
195,196,1
196,196,1
197,196,1
198,196,1
199,196,1
200,196,1
201,196,1
202,196,1
203,196,1
204,196,1
205,196,1
206,196,1
207,196,1
208,196,1
209,196,1
210,196,1
211,196,1
212,196,1
213,196,1
214,196,1
215,196,1
216,196,1
217,196,1
218,196,1
219,196,1
220,196,1
221,196,1
222,196,1
223,196,1
224,196,1
225,196,1
226,196,1
227,196,1
228,196,1
229,196,1
230,196,1
231,196,1
232,196,1
233,196,1
234,196,1
235,196,1
236,196,1
237,196,1
238,196,1
239,196,1
240,196,1
241,196,1
242,196,1
243,196,1
244,196,1
245,196,1
246,196,1
247,196,1
248,196,1
249,196,1
250,196,1
251,196,1
252,196,1
253,196,1
254,196,1
255,196,1
256,196,1
257,196,1
258,196,1
259,196,1
260,196,1
261,196,1
262,196,1
263,196,1
264,196,1
265,196,1
266,196,1
267,196,1
268,196,1
269,196,1
270,196,1
271,196,1
272,196,1
273,196,1
274,196,1
275,196,1
276,196,1
277,196,1
278,196,1
279,196,1
280,196,1
281,196,1
282,196,1
283,196,1
284,196,1
285,196,1
286,196,1
287,196,1
288,196,1
289,196,1
290,196,1
291,196,1
292,196,1
293,196,1
294,196,1
295,196,1
296,196,1
297,196,1
298,196,1
299,196,1
300,196,1
301,196,1
302,196,1
303,196,1
304,196,1
305,196,1
306,196,1
307,196,1
308,196,1
309,196,1
310,196,1
311,196,1
312,196,1
313,196,1
314,196,1
315,196,1
316,196,1
317,196,1
318,196,1
319,196,1
320,196,1
321,196,1
322,196,1
323,196,1
324,196,1
325,196,1
326,196,1
327,196,1
328,196,1
329,196,1
330,196,1
331,196,1
332,196,1
333,196,1
334,196,1
335,196,1
336,196,1
337,196,1
338,196,1
339,196,1
340,196,1
341,196,1
342,196,1
343,196,1
344,196,1
345,196,1
346,196,1
347,196,1
348,196,1
349,196,1
350,196,1
351,196,1
352,196,1
353,196,1
354,196,1
355,196,1
356,196,1
357,196,1
358,196,1
359,196,1
360,196,1
361,196,1
362,196,1
363,196,1
364,196,1
365,196,1
