zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,2.474168999951857e10,1.8597882931800284e9,5.2348008294111595e9,2.274976709067052e8,423095.69074135844,0.0,0.0,3.2064199888707203e10
Region2Tianjin,1.5289690332354626e10,8.447977737114023e6,2.1948055374304776e9,1.0077574726287894e9,464334.3298550328,0.0,0.0,1.850116565448086e10
Region3Hebei,1.3161312657197714e11,8.425328595647144e7,2.4283483654489307e10,7.733573423726583e9,452517.1689412643,0.0,0.0,1.6371488945331845e11
Region4Shanxi,1.3292931546734805e11,1.0767202310953995e10,6.318683437891826e10,3.2783647839207e10,412494.82400368975,0.0,0.0,2.3966741249125134e11
Region5Innermongolia,1.0698991275116049e11,3.257444601752278e11,3.124848307659755e10,2.6001334733556293e10,831626.7487453335,0.0,0.0,4.8998502236329083e11
Region6Liaoning,4.18647777480176e10,6.516179952194711e6,9.311521888068623e9,1.5981639195661707e9,424280.6943954052,0.0,0.0,5.278140401629899e10
Region7Jilin,1.1333266679122301e10,7.737919914436299e10,6.929245691712241e9,3.0744885193769705e8,575223.0902526793,0.0,0.0,9.594973559022548e10
Region8Heilongjiang,1.4251451808421148e10,2.3403135589372852e10,3.895767109018556e9,8.731473317268685e8,393063.40500897483,0.0,0.0,4.242389490194443e10
Region9Shanghai,2.9588403778110245e10,1.271292872732241e10,4.259630842977824e9,2.625318867917554e9,446140.2483849711,0.0,0.0,4.9186728356576416e10
Region10Jiangsu,1.1970316514494748e11,3.687274682171252e10,1.9475089516350586e10,7.652809569806686e9,466741.4192634263,0.0,0.0,1.837042777942365e11
Region11Zhejiang,8.303060841822997e10,6.140385752767221e6,9.627430206477032e9,8.52469119909091e9,480081.8135988238,0.0,0.0,1.0118935029136427e11
Region12Anhui,3.1014574756906326e10,2.0106455671422813e10,6.267245788487404e9,8.800296096765846e8,437926.1658562238,0.0,0.0,5.826874375265898e10
Region13Fujian,5.3163587396238144e10,5.797326212691873e6,7.9631407803593e9,4.429478264913779e9,465919.6899662979,0.0,0.0,6.556246968741388e10
Region14Jiangxi,2.218667483795309e10,6.576583577369034e10,6.366417915552037e9,6.765502296058693e8,307578.9558114522,0.0,0.0,9.499578633575714e10
Region15Shandong,8.011706966521802e10,2.761184884567002e11,5.8358716610335945e10,1.5806440248538525e10,462223.60040002083,0.0,0.0,4.3040117720439307e11
Region16Henan,4.280119878384828e10,6.17928907935536e8,2.0925552812967464e10,6.941075046789409e9,3.103437412979704e6,0.0,0.0,7.128885898895367e10
Region17Hubei,2.575214014934145e10,8.057815507647854e6,9.30005934765704e9,6.613945196337669e8,440807.32330528315,0.0,0.0,3.57220926394632e10
Region18Hunan,2.136889699860442e10,1.86115853563783e7,4.792727730209505e9,6.833870458986281e8,409993.45348922943,0.0,0.0,2.686403335352242e10
Region19Guangdong,8.520426431507458e10,1.1370344270549838e11,1.808760732351016e10,7.29414414313143e9,8.090609698666239e6,0.0,0.0,2.2429754909691324e11
Region20Guangxi,4.891328281281374e10,7.146403742503442e6,2.30533306425508e10,7.060003353804387e9,1.4359162112041204e6,0.0,0.0,7.903519912912262e10
Region22Chongqing,1.9762686318203327e10,2.6783564431106987e9,1.4801851425965473e10,5.17816657020476e9,579508.7967859843,0.0,0.0,4.242164026628104e10
Region23Sichuan,2.9946007723273335e10,2.812469994954846e8,1.5711410649637983e10,7.525562637754822e8,407225.63951543026,0.0,0.0,4.66916288618218e10
