type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,4.489215015483684e11,981620.8197303722,8.614976311146584e10,0.0,0.0,0.0,0.0,5.3507224628065393e11
AluminaPlant{NaturalGas},6.950920070834863e10,313969.5486302967,1.3530526776900888e11,5.798797190100383e10,0.0,0.0,0.0,2.6280275434790997e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,3.008304333054288e9,0.0,0.0,0.0,3.008304333054288e9
AluminumRefining,2.0053173662367126e11,6.026106055291724e8,4.294999490400349e9,1.1018514406944212e10,0.0,0.0,0.0,2.16447861126545e11
OneWayTransmissionLink{AluminumScrap},3.327598629662295e10,0.0,0.0,4.656718814333396e8,0.0,0.0,0.0,3.374165817805629e10
AluminumSmelting,5.200196762744462e10,3.43683705838826e10,3.588163785976488e10,9.552954053041658e9,0.0,0.0,0.0,1.3180493012413374e11
ThermalAmmonia{Coal},4.222278159252377e10,1.8297694506804283e10,7.790900963872696e9,0.0,0.0,0.0,0.0,6.831137706320075e10
ThermalAmmoniaCCS{Coal},7.428702339911087e6,1.936045192512441e7,2.420276124472225e6,0.0,0.0,0.0,0.0,2.9209430389507726e7
ThermalAmmonia{CokingOvenGas},395120.9602482292,0.0,1.2064432185974666e6,0.0,0.0,0.0,0.0,1.6015641788456957e6
ThermalAmmonia{NaturalGas},6.368152138724814e9,1.559209707197078e9,5.432835236106379e8,0.0,0.0,0.0,0.0,8.47064536953253e9
ThermalAmmoniaCCS{NaturalGas},1.1252213445044808e7,1.5026299568011574e7,1.8785002354426598e6,0.0,0.0,0.0,0.0,2.8157013248499043e7
SyntheticAmmonia,0.0,5.478385957647835e7,6.847154223534087e6,0.0,0.0,0.0,0.0,6.163101380001243e7
OneWayTransmissionLink{Cement},0.0,0.0,0.0,292587.7770269705,0.0,0.0,0.0,292587.7770269705
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,5.155394454605504e10,0.0,0.0,0.0,5.155394454605504e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,5.7892174303413585e7,0.0,0.0,0.0,5.7892174303413585e7
DRIMaking,-74826.47054298775,1.1900807017090123e6,178512.7463425105,0.0,0.0,0.0,0.0,1.293766977508535e6
ThermalMethanol{Coal},5.491785456243704e10,2.4499678731859535e10,7.856411947030301e9,0.0,0.0,0.0,0.0,8.727394524132687e10
ThermalMethanolCCS{Coal},1.3918664655770842e7,2.3088162289509747e7,3.1311716882264144e6,0.0,0.0,0.0,0.0,4.0137998633507006e7
ThermalMethanol{CokingOvenGas},1.293213976283764e6,0.0,2.9238427988417577e6,0.0,0.0,0.0,0.0,4.217056775125522e6
ThermalMethanol{NaturalGas},4.1587084149196167e9,0.0,3.3747092223881245e8,0.0,0.0,0.0,0.0,4.496179337158429e9
ThermalMethanolCCS{NaturalGas},1.5457746512840282e7,1.9213953701239403e7,2.4717300474285954e6,0.0,0.0,0.0,0.0,3.714343026150828e7
SyntheticMethanol,0.0,2.0415238773664482e7,2.551904951376803e6,0.0,0.0,0.0,0.0,2.2967143725041285e7
OneWayTransmissionLink{SteelScrap},1.8153273322576346e9,0.0,0.0,1.1572983288335727e8,0.0,0.0,0.0,1.931057165140992e9
CementPlant{Coal},1.422169690622019e11,1.75180729626041e9,4.8039555582853265e7,7.10630512980761e10,0.0,0.0,0.0,2.1507986721212128e11
ThermalPower{Coal},7.003799725576301e11,5.1292866150074524e10,4.607479301923245e10,1.145398135597727e11,4.873102224089619e6,0.0,0.0,9.122923183889338e11
ThermalPower{NaturalGas},2.891815904614822e10,1.7755461676661715e7,8.497842216995178e9,2.1209439526738842e9,3.1310151108337514e7,0.0,0.0,3.958601082860228e10
ThermalPowerCCS{Coal},2.3192623331358265e7,7.386040390530741e7,3.1455604296819316e6,4.803536286666176e6,2.599288212367993e6,0.0,0.0,1.0760141216538177e8
ThermalPowerCCS{NaturalGas},1.781940468947146e7,5.5072617714348726e7,2.3454275063659963e6,2.1943569862206965e6,2.224771122678759e6,0.0,0.0,7.965657801908565e7
ThermalPower{Uranium},1.4449705399069378e10,0.0,1.0050061248105251e10,3.615108161775924e9,0.0,0.0,0.0,2.8114874808950554e10
BECCSElectricity,4.351877423390983e10,1.0411513112007331e9,1.9341018674799733e9,0.0,0.0,0.0,0.0,4.649402741259053e10
HydroRes,0.0,0.0,6.5527798674024376e10,0.0,0.0,0.0,0.0,6.5527798674024376e10
VRE{Generic},0.0,3.104632638838604e12,1.2472192562477502e11,0.0,0.0,0.0,0.0,3.229354564463379e12
Electrolyzer,0.0,1.1588432399016391e7,1.0422645254170209e8,0.0,0.0,0.0,0.0,1.1581488494071849e8
ThermalHydrogen{NaturalGas},2.7372059566852192e10,2.510159482982908e9,1.9835058139845152e9,1.651403413744993e9,1.161960807281586e6,0.0,0.0,3.3518290238371887e10
ThermalHydrogenCCS{NaturalGas},1.8508938650413394e7,5.2169326455069564e7,3.8517047185393632e6,3.00776232451073e6,29321.881974862823,0.0,0.0,7.75670540305079e7
ThermalHydrogen{Coal},1.1508974657499134e10,689689.9881289724,5.065831544438465e9,2.297440334215409e9,129349.60676644994,0.0,0.0,1.8873065575747902e10
ThermalHydrogenCCS{Coal},8.896530238507017e6,6.566415708336104e7,5.652912136673152e6,2.289120633675865e6,18210.714909592683,0.0,0.0,8.252093080712667e7
OneWayTransmissionLink{Electricity},0.0,2.0638041113316974e11,6.530863586012319e9,0.0,0.0,0.0,0.0,2.1291127471918207e11
Battery,0.0,1.5873941353099976e9,1.0516121352738457e10,5.822309455458201e7,0.0,0.0,0.0,1.2161738582603037e10
GasStorage{Hydrogen},0.0,4.466247345016921e7,1.9685091549867936e6,0.0,0.0,0.0,0.0,4.6630982605156004e7
TransmissionLink{Electricity},0.0,1.1561594711335435e11,4.585128247717408e9,0.0,0.0,0.0,0.0,1.2020107536107176e11
CO2Injection,0.0,3.3384695774312284e7,2.4583189818963297e6,0.0,0.0,0.0,0.0,3.584301475620861e7
OneWayTransmissionLink{CO2Captured},0.0,-2.1581942515795588e8,-9.37035628768937e6,0.0,0.0,0.0,0.0,-2.2518978144564524e8
Node{Electricity},0.0,0.0,0.0,0.0,0.0,1.1853794592834176e7,0.0,1.1853794592834176e7
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,3.226705395818351e6,0.0,3.226705395818351e6
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,5382.321508839342,5382.321508839342
Total,1.8822059197009587e12,3.564433341066423e12,5.638336364036951e11,3.2911955430754083e11,4.2346155678406365e7,1.5080499988652527e7,5382.321508839342,6.339649883516606e12
