zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,2.8179750645507507e10,2.9144771151781483e9,5.962219317054441e9,2.5911033719642526e8,481888.3053062355,0.0,0.0,3.731603930324183e10
Region2Tianjin,1.741431814161296e10,1.508737612264242e7,2.499791758823808e9,1.1477936345649273e9,528857.3913794189,0.0,0.0,2.1077519768515717e10
Region3Hebei,1.4990184941069507e11,1.2054583861211878e8,2.765787277267969e10,8.808216847094086e9,515398.13908524223,0.0,0.0,1.8648900026722006e11
Region4Shanxi,1.514009335425656e11,2.1563453794044422e10,7.196716299135359e10,3.733920445114947e10,469814.36123452603,0.0,0.0,2.822712245934743e11
Region5Innermongolia,1.2185703818013126e11,5.938070557117533e11,3.5590715960228035e10,2.9614433341305576e10,947188.1027623261,0.0,0.0,7.808701903815209e11
Region6Liaoning,4.7682231803554344e10,1.1490678248396229e7,1.0605434185824202e10,1.82024189717428e9,483237.97493210575,0.0,0.0,6.011988180277615e10
Region7Jilin,1.290811698889282e10,1.424844136926534e11,7.892121183221826e9,3.501713902332638e8,655155.0540474061,0.0,0.0,1.636354784100554e11
Region8Heilongjiang,1.6231807863795452e10,4.309161547600703e10,4.437115884454487e9,9.944783111150506e8,447682.78728100465,0.0,0.0,6.475546521815929e10
Region9Shanghai,3.3699955034678825e10,1.954801588804735e10,4.851541467028473e9,2.9901284457246957e9,508135.0931427035,0.0,0.0,6.109014897057249e10
Region10Jiangsu,1.363369012112051e11,5.9738386595479454e10,2.2181312852128345e10,8.716230193608526e9,531598.965593278,0.0,0.0,2.2697336245138702e11
Region11Zhejiang,9.456839210320816e10,1.1057077838772792e7,1.0965240554740948e10,9.709266922550903e9,546793.1170797591,0.0,0.0,1.1525450345145587e11
Region12Anhui,3.532430416204705e10,3.090394711783304e10,7.138130966684916e9,1.0023169380035069e9,498779.5965114619,0.0,0.0,7.436919796416502e10
Region13Fujian,6.055110367463934e10,1.0339104174035536e7,9.069684469814451e9,5.044990580570458e9,530663.0502741693,0.0,0.0,7.467664849224857e10
Region14Jiangxi,2.526969518244871e10,1.2110409761710588e11,7.251083873770905e9,7.705624300452075e8,350319.57310680667,0.0,0.0,1.5439578942294382e11
Region15Shandong,9.124999325666623e10,5.0879219996125946e11,6.64681386802237e10,1.8002874694719574e10,526453.3587638814,0.0,0.0,6.845137330462278e11
Region16Henan,4.874877621864605e10,1.0424109586947483e9,2.38333299140154e10,7.905594324158363e9,3.534685482010673e6,0.0,0.0,8.153364610099657e10
Region17Hubei,2.9330611126835915e10,1.417178281827271e7,1.0592378831457996e10,7.53300709933211e8,502061.11440642056,0.0,0.0,4.06909645121598e10
Region18Hunan,2.4338280408570446e10,3.1899918716104373e7,5.45871653681462e9,7.783492780067991e8,466965.4047820409,0.0,0.0,3.060771310751275e10
Region19Guangdong,9.704409530551205e10,1.748219743261647e11,2.060102863467651e10,8.307725265728909e9,9.214866239249442e6,0.0,0.0,3.007840383983214e11
Region20Guangxi,5.571018442738145e10,1.2948259077438233e7,2.6256779915525543e10,8.041048694350526e9,1.6354485397061135e6,0.0,0.0,9.002259674487466e10
Region22Chongqing,2.2508873587179733e10,5.263634223510669e9,1.6858690020110716e10,5.897715263270707e9,660036.2946356889,0.0,0.0,5.0529573130366455e10
Region23Sichuan,3.4107250979488655e10,4.501959636871524e8,1.789463995404454e10,8.571301257238493e8,463812.9803673654,0.0,0.0,5.330968083592456e10
Region24Guizhou,6.125792081988721e10,2.941264177741979e11,3.267645883679289e10,1.189653456225033e10,428480.6416034835,0.0,0.0,3.999577604737699e11
Region25Yunnan,2.8577923981244297e10,6.806858574649419e10,2.3905831422758526e10,4.0979454716562643e9,467957.05789241387,0.0,0.0,1.2465075457921117e11
Region27Shaanxi,5.480949189520202e10,1.5066690621981168e11,1.0641791734422924e10,7.111044841220339e9,461167.53528925544,0.0,0.0,2.2322969585819223e11
Region28Gansu,1.1835381164695208e10,7.249082457953174e10,6.555992073912159e9,7.094372290267034e8,515140.9648949594,0.0,0.0,9.159215018813069e10
Region29Qinghai,5.8426531331514225e9,3.0576836506341347e10,5.231010433319398e9,6.5729712834793e8,449473.2136595101,0.0,0.0,4.230824667437376e10
Region30Ningxia,3.541618558486879e10,1.337260360557098e11,7.892884743644824e9,5.4968851214442835e9,475538.27060367237,0.0,0.0,1.825324670439383e11
Region31Xinjiang,5.262372370480553e10,6.073974826942635e11,2.862553691271045e10,1.2562801633096851e10,1.1263380609390764e6,0.0,0.0,7.012106712829373e11
Region21Hainan,1.0844358009015196e10,5.339669685755639e10,2.920815156047491e9,1.1109705692815473e9,1.3466501964779992e7,0.0,0.0,6.828630709386541e10
