type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,2.6234042476325037e11,3.4280467790469985e9,5.33870277613192e10,0.0,0.0,0.0,0.0,3.191554993036166e11
AluminaPlant{NaturalGas},2.124067576358229e10,16167.23521849502,4.189064943571432e10,1.7953135472448986e10,0.0,0.0,0.0,8.108447683898082e10
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,8.936153105330083e8,0.0,0.0,0.0,8.936153105330083e8
AluminumRefining,3.181253719775132e11,1.4799438830267197e8,6.81362627947019e9,1.747987153238938e10,0.0,0.0,0.0,3.425668641776755e11
OneWayTransmissionLink{AluminumScrap},2.933668721952791e10,0.0,0.0,3.8068532848169744e8,0.0,0.0,0.0,2.9717372548009605e10
AluminumSmelting,1.6099862420490341e10,14122.095192657704,1.1108994544303719e10,2.957604355764151e9,0.0,0.0,0.0,3.0166475442653404e10
ThermalAmmonia{Coal},3.2815015556882767e10,85166.47952675966,6.20367406424374e9,0.0,0.0,0.0,0.0,3.901877478760603e10
ThermalAmmoniaCCS{Coal},3.19426343722279e6,354227.84815939574,2.0531314058973205e6,0.0,0.0,0.0,0.0,5.601622691279506e6
ThermalAmmonia{CokingOvenGas},286643.8505395476,0.0,963084.2454469065,0.0,0.0,0.0,0.0,1.2497280959864543e6
ThermalAmmonia{NaturalGas},2.5066231759368143e9,149605.25483181217,2.3147181136165124e8,0.0,0.0,0.0,0.0,2.7382445925532975e9
ThermalAmmoniaCCS{NaturalGas},3.670435090170981e6,808216.1579816196,1.704953629214229e6,0.0,0.0,0.0,0.0,6.18360487736683e6
SyntheticAmmonia,0.0,8.204749884141525e8,3.801045116788319e8,0.0,0.0,0.0,0.0,1.2005795000929844e9
OneWayTransmissionLink{Cement},0.0,0.0,0.0,249786.9216769766,0.0,0.0,0.0,249786.9216769766
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.8445359310466278e10,0.0,0.0,0.0,1.8445359310466278e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,5.19779087480489e7,0.0,0.0,0.0,5.19779087480489e7
DRIMaking,5.376117010571928e9,4.853018944975157e9,1.2038588370629396e9,0.0,0.0,0.0,0.0,1.1432994792610023e10
ThermalMethanol{Coal},4.475082399020463e10,787709.37921183,6.406765166096755e9,0.0,0.0,0.0,0.0,5.1158376865680595e10
ThermalMethanolCCS{Coal},6.972029018837878e6,327742.2983099338,2.7226330710565634e6,0.0,0.0,0.0,0.0,1.0022404388204373e7
ThermalMethanol{CokingOvenGas},968692.7421013695,0.0,1.2107670796341666e6,0.0,0.0,0.0,0.0,2.179459821735536e6
ThermalMethanol{NaturalGas},3.263111547062167e9,0.0,2.6572517009253174e8,0.0,0.0,0.0,0.0,3.528836717154699e9
ThermalMethanolCCS{NaturalGas},9.319405644350465e6,454530.877680992,2.224153565970423e6,0.0,0.0,0.0,0.0,1.199809008800188e7
SyntheticMethanol,0.0,8.801132370553349e7,4.230759909795293e7,0.0,0.0,0.0,0.0,1.3031892280348642e8
OneWayTransmissionLink{SteelScrap},1.2026652946067407e9,0.0,0.0,8.4378896385767e7,0.0,0.0,0.0,1.2870441909925077e9
CementPlant{Coal},8.562946509471017e10,8940.350228367315,2.8946010902446695e7,4.2818711219914795e10,0.0,0.0,0.0,1.2847713126587766e11
ThermalPower{Coal},8.346808436715828e10,16614.530537530194,2.5820774986705574e10,1.486758075415112e10,4.025521300916447e6,0.0,0.0,1.2416048224384642e11
ThermalPower{NaturalGas},1.0816030092418282e11,3.0046681227036686e9,7.360487157235829e9,8.138556739294915e9,1.9389297341310241e9,0.0,0.0,1.2860294267754826e11
ThermalPowerCCS{Coal},1.4276554919437035e10,9.861277067252666e9,1.790521181500554e9,3.6246350251055264e9,2.6448948159827357e6,0.0,0.0,2.9555633088111763e10
ThermalPowerCCS{NaturalGas},1.8968039768567596e7,4.433840421931905e6,2.725469869403127e6,2.324587014726391e6,2.059194381136893e6,0.0,0.0,3.051113145576591e7
ThermalPower{Uranium},1.18159310921493e10,0.0,7.337693603168977e9,2.9561757662520995e9,0.0,0.0,0.0,2.2109800461570374e10
BECCSElectricity,2.677459558048226e11,8.89586464998055e10,1.5848587750737093e10,0.0,0.0,0.0,0.0,3.7255319005536523e11
HydroRes,0.0,0.0,5.358420831566675e10,0.0,0.0,0.0,0.0,5.358420831566675e10
VRE{Generic},0.0,5.055763942661417e11,2.3925766655285022e11,0.0,0.0,0.0,0.0,7.44834060818992e11
Electrolyzer,0.0,8.47436376485918e9,1.5063856572029161e9,0.0,0.0,0.0,0.0,9.980749422062096e9
ThermalHydrogen{NaturalGas},1.4175516725740416e10,4.907081658861819e8,1.6190998121859372e9,8.53403211933127e8,7.222672678746584e6,0.0,0.0,1.714595058842441e10
ThermalHydrogenCCS{NaturalGas},2.2171928890782595e7,7.331741272102197e6,4.999540925219006e6,3.633673846531942e6,35150.248864083216,0.0,0.0,3.817203518349982e7
ThermalHydrogen{Coal},8.863741474976401e8,19728.018969750894,8.490274201734629e8,2.3828464566804263e8,746041.0439026257,0.0,0.0,1.974451982402018e9
