time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,0.20515664036580006,0.20124766124274274,0.20952596241841093,0.20932436011378286,0.33039298608628087,0.30389188105317544,0.31281674112548785,0.29222353779090326,0.1606837584574583,0.17717259860550172,0.18393488843138073,0.18044778592951616,0.28555596698787156,0.2952699245071244,0.2071174933888642,0.19975247038184207,0.20307525902429902,0.3040926950887979,0.19406358092055598,0.21998244288568003,0.19522482558187448,0.26413847616879593,0.2702194759649501,0.21257447221501025,0.20526313613089542,0.21651035356740067,0.2628186175144265,0.3220448630258943,0.31350022209153394,0.22208531519396502,0.33308786822772163,0.0,0.20211396136263216,0.19427496766795394,0.0,0.0,0.24080832895440052,0.0,0.0,0.13692531245998452,0.18576398369418712,0.18564991330549674,0.0,0.2889540429578119,0.0,0.2012125442246715,0.0,0.0,0.0,0.1914702657317413,0.1962320511385493,0.1370685418088085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.20519484895942242,0.20149260706547878,0.20950293261989827,0.20977225678109335,0.3305699894440295,0.306154403041603,0.31353781218967924,0.29158890870562004,0.1609673357523267,0.17721894039901542,0.19685744118547177,0.18015484857869524,0.28622218511742403,0.2977682801770243,0.20698075414316008,0.19992037353722125,0.20351011479635694,0.3055467593355843,0.1947011184739722,0.3067096257183266,0.19652864940411519,0.26513750204060216,0.2708957217265606,0.21209780294384473,0.20573184085748153,0.21568866644017248,0.263832870714964,0.3218150551163035,0.31325257743475277,0.22256781612384202,0.33268932284613584,0.0,0.20213556202645921,0.19640590387710877,0.0,0.0,0.23850214528257918,0.0,0.0,0.14302844252875313,0.18601789480499065,0.19899107228127377,0.0,0.2894385937253219,0.0,0.2029755140335876,0.0,0.0,0.0,0.1920086745106353,0.2721017378753132,0.15223152387231192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.2052238095160419,0.2018055006680619,0.20958486918942754,0.20988212694206254,0.3310293207050563,0.31234617693343125,0.31365955045004057,0.2911149258011392,0.16197601393264094,0.17750317277442917,0.20337732708775036,0.17909417550976414,0.2871623074138796,0.3001646255711421,0.20709709249899788,0.20044864750623503,0.20383058179218594,0.30665399472695754,0.1950537608763625,0.307005697024465,0.19761961218023316,0.2655048430924012,0.2710113677864001,0.21195009323093927,0.20599019760680903,0.21459447763527706,0.2642653211921697,0.32167197008448056,0.31290170132258766,0.2231738305908948,0.33174476644148854,0.0,0.2021575537512199,0.19791317935138886,0.0,0.0,0.24487670514822257,0.0,0.0,0.14979367734516136,0.1862877507221583,0.20576534085137155,0.0,0.2899644506584309,0.0,0.20327153476362714,0.0,0.0,0.0,0.19224731188760558,0.27069202372070544,0.16305145119127618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.20527676640469394,0.20266260917889412,0.20982908552014123,0.2101711461417466,0.33173955921483866,0.314401598629388,0.3134350107636408,0.29117216318397254,0.17118852042030674,0.17827106727175135,0.20414678374969242,0.17964969822914512,0.2916780841211164,0.3011589555939054,0.20708089658683093,0.20075053540136167,0.20361792191136985,0.3069969833546793,0.19535087750455205,0.30705487937154885,0.19843389820550783,0.26603035145456033,0.2709605042525709,0.21194841200156134,0.20597770683394856,0.0,0.26455251051515916,0.3216749363730287,0.3126645315352228,0.223009836922472,0.3316574623397628,0.0,0.20220433873088806,0.19872204808367433,0.0,0.0,0.24871231817845396,0.0,0.0,0.16142903454929858,0.1864598706902143,0.20657583114314093,0.0,0.29380237232601303,0.0,0.20378820821265187,0.0,0.0,0.0,0.19282471940185175,0.27222559061037055,0.16828504921191514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.20535762947559988,0.20361625474674128,0.21026715833727394,0.2104044953323836,0.3328004344211877,0.3155253892899168,0.3133003197390849,0.2910052047759848,0.17101494786342375,0.17894455878497695,0.24685390671486118,0.18008123566826129,0.2917015250467614,0.3013479486497772,0.2071590480454688,0.2010125188220968,0.20286332930941064,0.3073685313665919,0.19597780212166072,0.3073593862126245,0.1989836474294293,0.26677309568867713,0.27105112287983957,0.21178593296156123,0.20562935095824741,0.0,0.26593891526260904,0.3216919944861729,0.31264057552471414,0.24604203988332074,0.33135350727775403,0.0,0.20225125455090864,0.19986532819205038,0.0,0.0,0.25397307920529966,0.0,0.0,0.1620114211290935,0.18623767279279946,0.2502017025705072,0.0,0.29368549367347896,0.0,0.2047429786928845,0.0,0.0,0.0,0.1946914228279084,0.2798699983203243,0.1689762504920975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2054507078064205,0.2040790645523316,0.21066002382497118,0.2108820929880295,0.31814241532401866,0.3162305113448838,0.3130923351228887,0.29080876311127213,0.169681992959414,0.17909501304025355,0.2608537928807664,0.15604143548972327,0.2888587463552028,0.29954793983222316,0.2072227135272442,0.2013090676102891,0.20172938947293773,0.30618796958492567,0.19624913539928457,0.31754120050209167,0.19919105134746928,0.28932111293755725,0.28435480000155167,0.21187399617872416,0.2052679423698578,0.16753130787924841,0.29477228190444293,0.32171301492667226,0.3127359620269665,0.22307676731259107,0.3270014301790525,0.0,0.2023082101446222,0.20088025901832118,0.0,0.0,0.25529538169655197,0.0,0.0,0.16153376642524808,0.18557449902800727,0.26482604005195753,0.0,0.2908091670832391,0.0,0.20490126135896958,0.0,0.0,0.0,0.19693515202146017,0.29667860789137773,0.16829688574242652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.20538876493247926,0.20371129631868712,0.210763457118901,0.21126873084220676,0.31945851981163287,0.32500341555419254,0.3133595198647754,0.2901560811814363,0.15951418394566375,0.17834906578251264,0.24780862422524308,0.17932629726891136,0.2854635470370681,0.29326220131054015,0.20723914163056634,0.2021500428561751,0.19823589706458034,0.30062416412590665,0.19585849749148565,0.31951523232010004,0.19897670415147672,0.27554125264828144,0.27137534445387246,0.21184656583272954,0.20506996015967616,0.2122698120182731,0.2841836583229451,0.3231231277709412,0.31240201037086024,0.22211708254715745,0.32588574100600454,0.0,0.20174358336939868,0.19962984444824028,0.0,0.0,0.26109949341232563,0.0,0.0,0.14998734207161135,0.18434061603045393,0.2520771371337105,0.0,0.28701573569378525,0.0,0.2031966916290484,0.0,0.0,0.0,0.1974116773535428,0.29857005922716284,0.16368553315708684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.20541005895324815,0.20348914500001314,0.21086644443357727,0.21193465715718673,91.08475453183473,90.52818267630869,0.4425107084173874,0.290868414118961,0.15882631277575054,0.16886623146028512,0.2460601127687312,0.1801375312435738,0.28591342668704556,0.2913853924297882,0.20806759961544685,0.20374400439493456,0.19533850721731305,0.3002541815462223,0.19475489925468992,0.3257028648704363,0.19879189596494484,0.26583867949270257,0.2713120795476698,0.21155310948017814,0.20495484512395024,0.21536738196381577,0.26683181779674214,5219.53695208532,0.312162883937539,0.22178859398991335,0.3259970287103897,0.0,0.19972754326129383,0.19620242221227158,0.0,0.0,44.69726164193516,0.0,0.0,0.14707920224021898,0.17502049887951898,0.25063782156564685,0.0,0.2866842997306662,0.0,0.20231313681384755,0.0,0.0,0.0,0.19729339548035796,0.2996900839995209,0.15926682534818468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2058448659845169,0.2037861332793156,0.21136172892965988,0.21330154623910857,4158.9861651499405,9708.011243861292,258.7288079246761,0.29278914127672806,0.15890601850720998,0.17798089645104653,0.24630198136676995,0.18119220530721236,0.2895294809945881,0.29109879222488644,0.20913310353876113,0.20497024452836854,0.19339224707870528,0.29899736708927094,0.19414826291352938,806.7559934797259,0.19890848165360353,0.2651482663686977,0.271269094184845,0.206521357469569,0.2049395855721059,0.2159460166764049,0.2666006245704011,38368.53681258361,0.31223352368847657,0.22196494283832635,0.3260572726162536,0.0,0.19797906648520713,0.19405333572276862,0.0,0.0,71.26457276446052,0.0,0.0,0.145735342567066,0.1844396882617616,0.2509466813052086,0.0,0.289942116388886,0.0,0.2023800731431047,0.0,0.0,0.0,0.1973073110654866,21.88707044985541,0.15688845484012953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16961432277465271,0.19557842545103732,0.16802081888966924,0.15319423271219906,1744.9393394498852,579.0731418455738,82.77267116046296,0.2427934189347114,0.16395090402765433,0.17778198728279904,0.24452332320246128,0.18100416172117662,0.2835306973385521,0.28553066815328876,0.2053743147776288,0.17589141598229469,0.20448787978466498,0.2531144046817313,0.1904823184055715,742.5834679605714,0.19353957557322055,0.0,0.0,0.15108704547724117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15203088235479084,0.1533706666777268,0.15401521783294306,0.0,0.0,263.41824155954225,0.0,0.0,0.1458203266835323,0.17569568233000155,0.24686427128051136,0.179657455227078,0.2783266171022536,0.27366407137785487,0.20062422890010367,0.15584773019160225,0.19415168219483192,0.27980877412958627,0.1891191579614926,4.876540032604951,0.1546249107886727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,198.27662339907448,187.0514370182006,215.2632165615671,206.30778922095772,10373.762737991172,42574.310527276466,596.3783364692574,0.32163929949291514,0.15898972618078044,0.1796585247895166,0.24901007299327205,0.18460246090512555,0.2917687574495176,0.2902025142574871,453.38219496957777,0.27519594839553463,0.23945402027109042,0.29602444155329977,0.1927663064336116,10429.64898958894,0.19885034135569413,0.2736110616616827,0.27124435838743466,0.2061571150591135,0.20488238660476554,0.21656274489512128,206.65225581346647,127029.04213645871,0.31281085204071246,0.2694676505576865,0.32611729540121814,0.0,11.768351246967612,21.096280705586768,0.0,0.0,76.27684437023419,0.0,0.0,0.14251586045782583,0.18639706807022094,0.2534671087062179,0.0,0.2916280317819542,0.0,217.68881253939526,0.0,0.0,0.0,0.19718847577721021,21.939152472471903,0.15095817236468662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.45365085210474,189.46147023051373,214.968594137531,205.99118411054462,8740.237352718665,3809.5910065206153,270.73891535710493,0.3090172560777926,0.16643211487066267,0.18274201469381524,0.2504508537395367,0.1853739221928663,0.2882073053838141,0.28832303601156184,452.2481009462638,0.2700164658875348,0.2679756943919642,0.2817275150982512,0.19233875136848155,7644.372337933177,0.19720562067426783,0.2528028224265816,0.2658976713941774,0.2022460711668117,0.2027499090280216,0.2150931434865555,189.67253190483692,527.0356331175163,0.30772622974550856,0.26779866022685894,0.0,75.47357309111712,127.13178076412923,199.0064252568713,0.0,0.0,1095.7199490186747,0.0,0.0,0.1551943441847614,0.18144818603538226,0.251582298485431,0.1851098269898266,0.2873209628557749,0.2847287374738716,433.3941217795809,0.2750747763915484,0.2645564572958392,0.2932984047898657,0.19127535325935696,225.46015598764168,0.1761505345007075,0.22692327582524152,0.0,0.16632652441152945,0.19070713413113505,0.14090897407645603,0.0,0.0,0.0,0.0,0.0
