zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,2.8146329215446747e10,1.0930771992836647e10,5.833581717863506e9,6.674596572497448e8,2.749048389667517e8,0.0,0.0,4.5853047422363396e10
Region2Tianjin,1.862523608838662e10,1.5629321983304455e10,3.32238873048616e9,1.4294206073578162e9,3.0338382365598786e8,0.0,0.0,3.930975123319104e10
Region3Hebei,1.32164976959499e11,4.291749165937372e9,2.4651406936364254e10,7.990217747015291e9,2.9344539921967757e8,0.0,0.0,1.6939179620803558e11
Region4Shanxi,1.3180635527785728e11,1.4119972151712397e10,6.343445645378417e10,3.2586825002293056e10,2.6657254455132273e8,0.0,0.0,2.4221418143019824e11
Region5Innermongolia,9.794148303397096e10,3.164530793973229e11,3.060598273126859e10,2.336702372476318e10,2.5628444645018926e8,0.0,0.0,4.686238533337758e11
Region6Liaoning,4.657557301652649e10,5.212309841552787e9,9.991515144393143e9,2.303668701058248e9,2.7168686251031715e8,0.0,0.0,6.4354753566040985e10
Region7Jilin,1.376238945370253e10,7.873491083847983e10,7.432406515091913e9,6.81961562446717e8,2.6453943520885557e8,0.0,0.0,1.0087620780492986e11
Region8Heilongjiang,1.8310629117370724e10,3.245437372964587e10,4.678509531964074e9,1.3241041644929483e9,2.6879891648473513e8,0.0,0.0,5.703641545995835e10
Region9Shanghai,3.1880142850872765e10,1.680779445592e10,4.740179547623124e9,2.811189314668812e9,2.98035899439892e8,0.0,0.0,5.65373420685246e10
Region10Jiangsu,1.2432990032940163e11,3.918995505744023e10,2.0302121751241837e10,8.038585109839237e9,3.081538742625802e8,0.0,0.0,1.921687161221855e11
Region11Zhejiang,7.961842652387402e10,4.835302139238455e9,1.0188565988278362e10,8.044245547724719e9,3.0157410908691025e8,0.0,0.0,1.0298811430820247e11
Region12Anhui,3.976418152362593e10,2.729802552706136e10,7.351562247583682e9,1.7469405045554829e9,2.8747523476123345e8,0.0,0.0,7.644818503758768e10
Region13Fujian,5.6558775984208984e10,4.510910742284654e9,9.048896790137775e9,4.1138732601502957e9,2.986790756856588e8,0.0,0.0,7.453113585246736e10
Region14Jiangxi,2.534921944903257e10,1.8478968060112404e10,4.935910238763092e9,1.0191181797496791e9,2.221649686632203e8,0.0,0.0,5.000538089632097e10
Region15Shandong,8.1980102450675e10,2.41266399368466e11,5.845416008321169e10,1.6746065116620672e10,3.0143953511601025e8,0.0,0.0,3.9874816655408936e11
Region16Henan,4.8910039587102356e10,7.547194442103006e9,2.2758490592563908e10,7.66442435771369e9,2.972871467378737e8,0.0,0.0,8.717743612622083e10
