type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,4.6333830961903625e11,4.996829020161486e9,9.347716968768681e10,0.0,0.0,0.0,0.0,5.618123083268845e11
AluminaPlant{NaturalGas},5.3593142517222855e10,9.503175529060844e6,1.049969295708788e11,4.499868410180521e10,0.0,0.0,0.0,2.035982593654359e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,1.635473761572605e9,0.0,0.0,0.0,1.635473761572605e9
AluminumRefining,4.729583097824174e11,3.2393209425765023e9,1.0129846445743637e10,2.5987397496094902e10,0.0,0.0,0.0,5.1231487466683246e11
OneWayTransmissionLink{AluminumScrap},1.6058660013365222e12,0.0,0.0,2.955841594383005e10,0.0,0.0,0.0,1.6354244172803523e12
AluminumSmelting,4.035354293705132e10,8.28077706518514e6,2.784424410867455e10,7.413095295102752e9,0.0,0.0,0.0,7.561916311789381e10
ThermalAmmonia{Coal},2.442895481840046e7,5.438265198561988e6,6.540599753292237e6,0.0,0.0,0.0,0.0,3.640781977025469e7
ThermalAmmoniaCCS{Coal},2.3092478253406914e10,2.7945608210730743e10,5.787625129879664e9,0.0,0.0,0.0,0.0,5.682571159401732e10
ThermalAmmonia{CokingOvenGas},1.3721080319088894e8,0.0,1.71373075487572e6,0.0,0.0,0.0,0.0,1.3892453394576466e8
ThermalAmmonia{NaturalGas},3.680491393022351e7,5.141102525138332e6,4.241777096907188e6,0.0,0.0,0.0,0.0,4.6187793552269034e7
ThermalAmmoniaCCS{NaturalGas},6.319907932761113e10,2.707452041372943e10,5.603025511119215e9,0.0,0.0,0.0,0.0,9.587662525245978e10
SyntheticAmmonia,0.0,4.4721177681975715e7,1.71954380938492e7,0.0,0.0,0.0,0.0,6.191661577582492e7
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.7033713499545744e8,0.0,0.0,0.0,1.7033713499545744e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,4.445608681209093e10,0.0,0.0,0.0,4.445608681209093e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,2.9119000530965973e10,0.0,0.0,0.0,2.9119000530965973e10
DRIMaking,-241255.43264109915,1.1342658764911422e6,294833.03245505784,0.0,0.0,0.0,0.0,1.1878434763051008e6
