type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,7.29716160168933e11,6.507171183637204e9,1.4721813394632388e11,0.0,0.0,0.0,0.0,8.83441465298894e11
AluminaPlant{NaturalGas},8.440437873831158e10,1.820840029294475e7,1.653607195549748e11,7.086887980927489e10,0.0,0.0,0.0,3.206521865028542e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.575724062905697e9,0.0,0.0,0.0,2.575724062905697e9
AluminumRefining,7.448667951030885e11,6.206646632947237e9,1.595359696798371e10,4.0927813478721664e10,0.0,0.0,0.0,8.079548521827412e11
OneWayTransmissionLink{AluminumScrap},2.529094503764687e12,0.0,0.0,4.655184631925297e10,0.0,0.0,0.0,2.57564635008394e12
AluminumSmelting,6.355320030724139e10,1.900563340520391e7,4.3852179869379906e10,1.167495827866359e10,0.0,0.0,0.0,1.1909934408869008e11
ThermalAmmonia{Coal},3.847340644394479e7,1.2481639574466283e7,1.0300856281662812e7,0.0,0.0,0.0,0.0,6.1255902300073884e7
ThermalAmmoniaCCS{Coal},3.636857607072418e10,3.639245123744607e10,9.11498898018057e9,0.0,0.0,0.0,0.0,8.187601628835083e10
ThermalAmmonia{CokingOvenGas},2.160946728546466e8,0.0,2.6989717881077584e6,0.0,0.0,0.0,0.0,2.1879364464275435e8
ThermalAmmonia{NaturalGas},5.796442882219927e7,1.1799606380196966e7,6.680417377947081e6,0.0,0.0,0.0,0.0,7.644445258034332e7
ThermalAmmoniaCCS{NaturalGas},9.953286515650858e10,3.5258068334169975e10,8.824261185448292e9,0.0,0.0,0.0,0.0,1.4361519467612686e11
SyntheticAmmonia,0.0,1.0264185375139238e8,2.708126826072985e7,0.0,0.0,0.0,0.0,1.2972312201212223e8
OneWayTransmissionLink{Cement},0.0,0.0,0.0,2.6826566571899018e8,0.0,0.0,0.0,2.6826566571899018e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,7.001433788483575e10,0.0,0.0,0.0,7.001433788483575e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,4.58598065695982e10,0.0,0.0,0.0,4.58598065695982e10
DRIMaking,-379955.6053793752,1.4771092219296347e6,464335.5057581189,0.0,0.0,0.0,0.0,1.5614891223083783e6
ThermalMethanol{Coal},7.117407859321806e10,2.0823133135905012e8,1.1895895923619482e10,0.0,0.0,0.0,0.0,8.32782058481966e10
ThermalMethanolCCS{Coal},9.423379407529753e9,5.790292036726208e7,2.822752657335669e9,0.0,0.0,0.0,0.0,1.2304034985232683e10
ThermalMethanol{CokingOvenGas},1.1269634750125468e9,0.0,1.3495688509296353e9,0.0,0.0,0.0,0.0,2.476532325942182e9
ThermalMethanol{NaturalGas},4.081402318909277e9,0.0,1.2556804290427175e9,0.0,0.0,0.0,0.0,5.337082747951994e9
ThermalMethanolCCS{NaturalGas},7.844923695665863e9,5.889926544897637e7,2.1758018172727566e9,0.0,0.0,0.0,0.0,1.0079624778387596e10
SyntheticMethanol,0.0,3.6731546088659873e9,4.5090365616015005e9,0.0,0.0,0.0,0.0,8.182191170467487e9
OneWayTransmissionLink{SteelScrap},3.4460836073488086e11,0.0,0.0,4.433489996588826e10,0.0,0.0,0.0,3.889432607007691e11
CementPlant{Coal},2.4834645058560635e11,2.9367489741259503e8,8.39199423174924e7,1.2413951572791277e11,0.0,0.0,0.0,3.728635611532492e11
ThermalPower{Coal},6.426729954965143e11,2.2293403522175908e7,8.36112837148583e10,1.1112732109318948e11,4.664234829369848e9,0.0,0.0,8.420981285374541e11
ThermalPower{NaturalGas},1.4593509049166553e11,5.9648237955740936e7,1.8401321787532738e10,1.0836667522022612e10,5.169976080614724e9,0.0,0.0,1.8040270411979135e11
ThermalPowerCCS{Coal},2.4219092315621937e10,8.02447021645643e7,4.277819840942707e9,5.318551266766774e9,2.744096698290475e9,0.0,0.0,3.663980482378646e10
ThermalPowerCCS{NaturalGas},1.8526039710890125e10,9.110893351077871e7,3.0887702228288693e9,2.260975116665713e9,2.3305821332691345e9,0.0,0.0,2.6297476117164623e10
ThermalPower{Uranium},2.88560180750243e10,0.0,1.899477512100663e10,7.219360089243967e9,0.0,0.0,0.0,5.5070153285274895e10
BECCSElectricity,1.457971231507339e11,2.305520552525429e10,6.9982468672617855e9,0.0,0.0,0.0,0.0,1.7585057554324997e11
HydroRes,0.0,0.0,1.3095952663710709e11,0.0,0.0,0.0,0.0,1.3095952663710709e11
VRE{Generic},0.0,4.960444467644657e12,4.847959945090597e11,0.0,0.0,0.0,0.0,5.445240462153717e12
Electrolyzer,0.0,4.949846488257239e9,1.6396824542639797e9,0.0,0.0,0.0,0.0,6.589528942521219e9
ThermalHydrogen{NaturalGas},4.579275797530051e10,3.7578326781541886e9,6.597853580072176e9,2.857412824350658e9,1.2455228438821684e8,0.0,0.0,5.913040934226574e10
ThermalHydrogenCCS{NaturalGas},1.5028357619687227e10,3.462721638206536e8,3.6609651561607895e9,2.448973521156747e9,3.499970892904774e7,0.0,0.0,2.1519568169754463e10
ThermalHydrogen{Coal},3.2012579673839035e10,3.0552084013926655e7,1.8395331447296066e10,6.341033848403869e9,7.507534954466318e7,0.0,0.0,5.6854572403097565e10
ThermalHydrogenCCS{Coal},8.92184787803966e9,1.0512564138119574e9,5.975369900885196e9,2.3207324093730617e9,2.0318211039880432e7,0.0,0.0,1.8289524813149754e10
OneWayTransmissionLink{Electricity},0.0,4.919368808986962e10,1.6357518023108187e10,0.0,0.0,0.0,0.0,6.5551206112977806e10
Battery,0.0,8.324776076566767e9,2.503429642428788e10,5.432278106579272e8,0.0,0.0,0.0,3.3902300311512573e10
GasStorage{Hydrogen},0.0,7.489316710739102e8,2.215419703015953e9,0.0,0.0,0.0,0.0,2.9643513740898633e9
TransmissionLink{Electricity},0.0,4.945244680916605e10,1.3158502637622229e10,0.0,0.0,0.0,0.0,6.2610949446788284e10
CO2Injection,0.0,1.3751344665341846e10,5.730553036331404e9,0.0,0.0,0.0,0.0,1.948189770167325e10
OneWayTransmissionLink{CO2Captured},0.0,1.164838174758379e6,-2.3064181959992918e8,0.0,0.0,0.0,0.0,-2.294769814251708e8
Node{Electricity},0.0,0.0,0.0,0.0,0.0,1.1152947477684423e10,0.0,1.1152947477684423e10
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,2.5781251085326204e9,0.0,2.5781251085326204e9
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,3.4462398048333135e6,3.4462398048333135e6
Total,6.08221609306015e12,5.204182895079595e12,1.2641263517796665e12,6.084903032646036e11,1.516383529544599e10,1.3731072586217045e10,3.4462398048333135e6,1.3187913997305482e13
