zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,5.017099043347347e10,1.0646579951003525e10,1.1477531899640287e10,1.8870871809786673e9,8.234739501551173e8,0.0,0.0,7.500566341525107e10
Region2Tianjin,2.181725594896389e10,3.090779290880315e10,6.635509680553548e9,1.8097040667601233e9,7.746407396238391e8,0.0,0.0,6.194490334470456e10
Region3Hebei,2.127410733467448e11,8.466242846422134e10,8.149318968700404e10,4.585989918177068e9,7.32450684057212e8,0.0,0.0,3.8421513210020447e11
Region4Shanxi,1.2941165286650201e11,4.114031806532891e10,7.440400434606375e10,2.3813796031790356e10,6.865286058732655e8,0.0,0.0,2.694562999155583e11
Region5Innermongolia,8.781611948000023e10,3.3201468303873376e11,1.0849282979143626e11,1.405564031944524e10,7.778092328507385e8,0.0,0.0,5.431570818624663e11
Region6Liaoning,6.026976654527945e10,1.5483802722041397e11,3.3505051651272636e10,2.2527474085985675e9,6.353924790674458e8,0.0,0.0,2.5150098530463208e11
Region7Jilin,5.0607200276189224e10,2.1193608256273613e10,2.1279180293282658e10,2.009941863565589e9,5.934913590299052e8,0.0,0.0,9.568342204834097e10
Region8Heilongjiang,3.914808881701622e10,5.055322046856576e10,2.1355578808617294e10,1.4478229285118341e9,6.139151312926135e8,0.0,0.0,1.1311862615400372e11
Region9Shanghai,7.931571286182243e10,2.3602065608407776e10,1.4196275675537834e10,9.195867443931967e9,9.071584814490587e8,0.0,0.0,1.2721708007114906e11
Region10Jiangsu,2.442126526822921e11,7.336768361993324e10,4.722061877491612e10,8.671573604359463e9,1.1760789055699418e9,0.0,0.0,3.7464860758707086e11
Region11Zhejiang,1.3112929232742317e11,1.3896410453992228e10,5.189872111580507e10,7.9913772867154665e9,8.442254596908023e8,0.0,0.0,2.057600266436267e11
Region12Anhui,1.4033981738593655e11,3.939408107138521e10,3.0849817945050686e10,4.469425250399154e9,6.642451750553019e8,0.0,0.0,2.157173868278269e11
Region13Fujian,1.2432294960205022e11,5.586687904576424e10,4.5778087816078705e10,5.482573347741826e9,7.055167749828974e8,0.0,0.0,2.321560065866179e11
