Type,id,location,integer_decisions,transforms--timedata,edges--edge--commodity,edges--edge--end_vertex,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--existing_capacity,edges--edge--max_capacity,edges--edge--capacity_size,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--constraints--MaxNewCapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--TDR_path,edges--edge--constraints--MinCapacityConstraint,edges--edge--min_capacity
VRE,Region1Beijing_distributed_solar_pv,Region1Beijing,FALSE,Electricity,Electricity,elec_Region1Beijing,TRUE,TRUE,TRUE,1222,14000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region1Beijing_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region2Tianjin_distributed_solar_pv,Region2Tianjin,FALSE,Electricity,Electricity,elec_Region2Tianjin,TRUE,TRUE,TRUE,3729,12000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region2Tianjin_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region3Hebei_distributed_solar_pv,Region3Hebei,FALSE,Electricity,Electricity,elec_Region3Hebei,TRUE,TRUE,TRUE,29083,77000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region3Hebei_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region4Shanxi_distributed_solar_pv,Region4Shanxi,FALSE,Electricity,Electricity,elec_Region4Shanxi,TRUE,TRUE,TRUE,9759,32000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region4Shanxi_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region5Innermongolia_distributed_solar_pv,Region5Innermongolia,FALSE,Electricity,Electricity,elec_Region5Innermongolia,TRUE,TRUE,TRUE,3081,25000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region5Innermongolia_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region6Liaoning_distributed_solar_pv,Region6Liaoning,FALSE,Electricity,Electricity,elec_Region6Liaoning,TRUE,TRUE,TRUE,6718,33000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region6Liaoning_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region7Jilin_distributed_solar_pv,Region7Jilin,FALSE,Electricity,Electricity,elec_Region7Jilin,TRUE,TRUE,TRUE,2010,17000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region7Jilin_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region8Heilongjiang_distributed_solar_pv,Region8Heilongjiang,FALSE,Electricity,Electricity,elec_Region8Heilongjiang,TRUE,TRUE,TRUE,2459,18000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region8Heilongjiang_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region9Shanghai_distributed_solar_pv,Region9Shanghai,FALSE,Electricity,Electricity,elec_Region9Shanghai,TRUE,TRUE,TRUE,3716,19000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region9Shanghai_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region10Jiangsu_distributed_solar_pv,Region10Jiangsu,FALSE,Electricity,Electricity,elec_Region10Jiangsu,TRUE,TRUE,TRUE,45697,92000,200,494942.24999957654,2474.71124978826,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region10Jiangsu_distributed_solar_pv,system/vre_availability_2.csv,TRUE,0
