Type,id,location,integer_decisions,storage--commodity,storage--long_duration,storage--existing_capacity,storage--can_expand,storage--can_retire,storage--charge_discharge_ratio,storage--min_outflow_fraction,storage--constraints--MinStorageOutflowConstraint,storage--constraints--BalanceConstraint,storage--constraints--StorageChargeDischargeRatioConstraint,edges--discharge_edge--commodity,edges--discharge_edge--has_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--min_capacity,edges--discharge_edge--existing_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--investment_cost,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--efficiency,edges--discharge_edge--constraints--CapacityConstraint,edges--inflow_edge--commodity,edges--inflow_edge--has_capacity,edges--inflow_edge--existing_capacity,edges--inflow_edge--can_expand,edges--inflow_edge--can_retire,edges--inflow_edge--min_capacity,edges--inflow_edge--investment_cost,edges--inflow_edge--fixed_om_cost,edges--inflow_edge--variable_om_cost,hydro_source,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--header,edges--inflow_edge--efficiency,edges--inflow_edge--constraints--MustRunConstraint,edges--spill_edge--commodity,edges--spill_edge--end_vertex,edges--inflow_edge--availability--timeseries--TDR_path,edges--discharge_edge--end_vertex,edges--inflow_edge--start_vertex,edges--discharge_edge--constraints--MaxNewCapacityConstraint,edges--inflow_edge--constraints--MaxNewCapacityConstraint
HydroRes,Region1Beijing_Hydropower,Region1Beijing,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,892,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region1Beijing_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region1Beijing,hydro_source,FALSE,FALSE
HydroRes,Region2Tianjin_Hydropower,Region2Tianjin,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,0,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region2Tianjin_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region2Tianjin,hydro_source,FALSE,FALSE
HydroRes,Region3Hebei_Hydropower,Region3Hebei,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,5570,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region3Hebei_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region3Hebei,hydro_source,FALSE,FALSE
HydroRes,Region4Shanxi_Hydropower,Region4Shanxi,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,1200,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region4Shanxi_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region4Shanxi,hydro_source,FALSE,FALSE
HydroRes,Region5Innermongolia_Hydropower,Region5Innermongolia,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,1960,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region5Innermongolia_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region5Innermongolia,hydro_source,FALSE,FALSE
HydroRes,Region6Liaoning_Hydropower,Region6Liaoning,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,3995,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region6Liaoning_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region6Liaoning,hydro_source,FALSE,FALSE
HydroRes,Region7Jilin_Hydropower,Region7Jilin,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,5845,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region7Jilin_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region7Jilin,hydro_source,FALSE,FALSE
HydroRes,Region8Heilongjiang_Hydropower,Region8Heilongjiang,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,1296,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region8Heilongjiang_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region8Heilongjiang,hydro_source,FALSE,FALSE
HydroRes,Region9Shanghai_Hydropower,Region9Shanghai,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,6343,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region9Shanghai_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region9Shanghai,hydro_source,FALSE,FALSE
HydroRes,Region10Jiangsu_Hydropower,Region10Jiangsu,FALSE,Electricity,FALSE,0,TRUE,TRUE,1,0.5,FALSE,TRUE,TRUE,Electricity,TRUE,200,0.5,3275,FALSE,TRUE,1849861.11,36997.22,0,1,TRUE,Electricity,TRUE,0,FALSE,FALSE,0,0,0,0,hydro_source,system/vre_availability_3.csv,Region10Jiangsu_Hydropower,1,TRUE,Electricity,hydro_source,system/vre_availability_3.csv,elec_Region10Jiangsu,hydro_source,FALSE,FALSE
