Type,id,location,integer_decisions,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--startup_fuel_consumption,edges--elec_edge--commodity,edges--elec_edge--end_vertex,edges--elec_edge--has_capacity,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--existing_capacity,edges--elec_edge--min_capacity,edges--elec_edge--capacity_size,edges--elec_edge--investment_cost,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--startup_cost,edges--elec_edge--wacc,edges--elec_edge--lifetime,edges--elec_edge--capital_recovery_period,edges--elec_edge--min_flow_fraction,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--uc,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--fuel_edge--constraints--BalanceConstraint,edges--co2_edge--commodity,edges--co2_edge--end_vertex,edges--co2_edge--has_capacity,edges--elec_edge--constraints--MaxNewCapacityConstraint,edges--elec_edge--constraints--MinCapacityConstraint
ThermalPower,Region1Beijing_Coal,Region1Beijing,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region1Beijing,TRUE,TRUE,TRUE,0,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region1Beijing,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region2Tianjin_Coal,Region2Tianjin,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region2Tianjin,TRUE,TRUE,TRUE,12244,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region2Tianjin,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region3Hebei_Coal,Region3Hebei,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region3Hebei,TRUE,TRUE,TRUE,49669,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region3Hebei,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region4Shanxi_Coal,Region4Shanxi,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region4Shanxi,TRUE,TRUE,TRUE,75122,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region4Shanxi,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region5Innermongolia_Coal,Region5Innermongolia,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region5Innermongolia,TRUE,TRUE,TRUE,121402,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region5Innermongolia,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region6Liaoning_Coal,Region6Liaoning,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region6Liaoning,TRUE,TRUE,TRUE,33565,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region6Liaoning,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region7Jilin_Coal,Region7Jilin,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region7Jilin,TRUE,TRUE,TRUE,16211,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region7Jilin,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region8Heilongjiang_Coal,Region8Heilongjiang,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region8Heilongjiang,TRUE,TRUE,TRUE,19591,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region8Heilongjiang,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region9Shanghai_Coal,Region9Shanghai,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region9Shanghai,TRUE,TRUE,TRUE,15500,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region9Shanghai,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region10Jiangsu_Coal,Region10Jiangsu,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region10Jiangsu,TRUE,TRUE,TRUE,88624,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region10Jiangsu,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region11Zhejiang_Coal,Region11Zhejiang,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region11Zhejiang,TRUE,TRUE,TRUE,54864.8,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region11Zhejiang,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region12Anhui_Coal,Region12Anhui,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region12Anhui,TRUE,TRUE,TRUE,58725,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region12Anhui,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region13Fujian_Coal,Region13Fujian,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region13Fujian,TRUE,TRUE,TRUE,33701,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region13Fujian,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region14Jiangxi_Coal,Region14Jiangxi,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region14Jiangxi,TRUE,TRUE,TRUE,32359,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region14Jiangxi,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region15Shandong_Coal,Region15Shandong,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region15Shandong,TRUE,TRUE,TRUE,105690,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region15Shandong,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region16Henan_Coal,Region16Henan,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region16Henan,TRUE,TRUE,TRUE,66710,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region16Henan,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region17Hubei_Coal,Region17Hubei,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region17Hubei,TRUE,TRUE,TRUE,37773,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region17Hubei,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region18Hunan_Coal,Region18Hunan,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region18Hunan,TRUE,TRUE,TRUE,27565,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region18Hunan,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region19Guangdong_Coal,Region19Guangdong,FALSE,Electricity,TRUE,2.5,0.328,0,Electricity,elec_Region19Guangdong,TRUE,TRUE,TRUE,76709.2,0,200,513888.77994152,10277.779883039999,4.305556,152.777778,0.08,40,40,0.4,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region19Guangdong,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
