Type,id,location,integer_decisions,transforms--constraints--BalanceConstraint,transforms--timedata,transforms--fuel_consumption,transforms--electricity_consumption,transforms--emission_rate,edges--elec_edge--commodity,edges--elec_edge--start_vertex,edges--elec_edge--has_capacity,edges--h2_edge--commodity,edges--h2_edge--end_vertex,edges--h2_edge--has_capacity,edges--h2_edge--uc,edges--h2_edge--can_expand,edges--h2_edge--can_retire,edges--h2_edge--existing_capacity,edges--h2_edge--capacity_size,edges--h2_edge--integer_decisions,edges--h2_edge--investment_cost,edges--h2_edge--fixed_om_cost,edges--h2_edge--variable_om_cost,edges--h2_edge--startup_cost,edges--h2_edge--startup_fuel_consumption,edges--h2_edge--wacc,edges--h2_edge--lifetime,edges--h2_edge--capital_recovery_period,edges--h2_edge--min_flow_fraction,edges--h2_edge--ramp_up_fraction,edges--h2_edge--ramp_down_fraction,edges--h2_edge--min_up_time,edges--h2_edge--min_down_time,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--constraints--MinFlowConstraint,edges--h2_edge--constraints--MinUpTimeConstraint,edges--h2_edge--constraints--MinDownTimeConstraint,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--co2_edge--commodity,edges--co2_edge--end_vertex,edges--co2_edge--has_capacity
ThermalHydrogen,Region1Beijing_SMR,Region1Beijing,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region1Beijing,FALSE,Hydrogen,h2_Region1Beijing,TRUE,TRUE,TRUE,TRUE,465.43409,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region1Beijing,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region2Tianjin_SMR,Region2Tianjin,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region2Tianjin,FALSE,Hydrogen,h2_Region2Tianjin,TRUE,TRUE,TRUE,TRUE,1076.603989,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region2Tianjin,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region3Hebei_SMR,Region3Hebei,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region3Hebei,FALSE,Hydrogen,h2_Region3Hebei,TRUE,TRUE,TRUE,TRUE,1467.946806,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region3Hebei,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region4Shanxi_SMR,Region4Shanxi,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region4Shanxi,FALSE,Hydrogen,h2_Region4Shanxi,TRUE,TRUE,TRUE,TRUE,1640.384274,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region4Shanxi,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region5Innermongolia_SMR,Region5Innermongolia,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region5Innermongolia,FALSE,Hydrogen,h2_Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,1826.362788,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region5Innermongolia,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region6Liaoning_SMR,Region6Liaoning,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region6Liaoning,FALSE,Hydrogen,h2_Region6Liaoning,TRUE,TRUE,TRUE,TRUE,3195.904833,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region6Liaoning,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region7Jilin_SMR,Region7Jilin,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region7Jilin,FALSE,Hydrogen,h2_Region7Jilin,TRUE,TRUE,TRUE,TRUE,376.20508,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region7Jilin,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region8Heilongjiang_SMR,Region8Heilongjiang,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region8Heilongjiang,FALSE,Hydrogen,h2_Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,664.451578,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region8Heilongjiang,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region9Shanghai_SMR,Region9Shanghai,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region9Shanghai,FALSE,Hydrogen,h2_Region9Shanghai,TRUE,TRUE,TRUE,TRUE,977.195723,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region9Shanghai,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region10Jiangsu_SMR,Region10Jiangsu,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region10Jiangsu,FALSE,Hydrogen,h2_Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,4391.617943,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region10Jiangsu,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region11Zhejiang_SMR,Region11Zhejiang,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region11Zhejiang,FALSE,Hydrogen,h2_Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,2536.05835,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region11Zhejiang,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region12Anhui_SMR,Region12Anhui,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region12Anhui,FALSE,Hydrogen,h2_Region12Anhui,TRUE,TRUE,TRUE,TRUE,507.297823,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region12Anhui,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region13Fujian_SMR,Region13Fujian,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region13Fujian,FALSE,Hydrogen,h2_Region13Fujian,TRUE,TRUE,TRUE,TRUE,1868.432751,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region13Fujian,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region14Jiangxi_SMR,Region14Jiangxi,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region14Jiangxi,FALSE,Hydrogen,h2_Region14Jiangxi,TRUE,TRUE,TRUE,TRUE,295.118813,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region14Jiangxi,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region15Shandong_SMR,Region15Shandong,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region15Shandong,FALSE,Hydrogen,h2_Region15Shandong,TRUE,TRUE,TRUE,TRUE,3732.884427,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region15Shandong,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region16Henan_SMR,Region16Henan,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region16Henan,FALSE,Hydrogen,h2_Region16Henan,TRUE,TRUE,TRUE,TRUE,730.137227,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region16Henan,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region17Hubei_SMR,Region17Hubei,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region17Hubei,FALSE,Hydrogen,h2_Region17Hubei,TRUE,TRUE,TRUE,TRUE,571.48391,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region17Hubei,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region18Hunan_SMR,Region18Hunan,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region18Hunan,FALSE,Hydrogen,h2_Region18Hunan,TRUE,TRUE,TRUE,TRUE,274.971258,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region18Hunan,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region19Guangdong_SMR,Region19Guangdong,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region19Guangdong,FALSE,Hydrogen,h2_Region19Guangdong,TRUE,TRUE,TRUE,TRUE,4389.051635,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region19Guangdong,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region20Guangxi_SMR,Region20Guangxi,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region20Guangxi,FALSE,Hydrogen,h2_Region20Guangxi,TRUE,TRUE,TRUE,TRUE,275.508763,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region20Guangxi,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region21Hainan_SMR,Region21Hainan,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region21Hainan,FALSE,Hydrogen,h2_Region21Hainan,TRUE,TRUE,TRUE,TRUE,451.809211,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region21Hainan,FALSE,CO2,co2_sink_national,FALSE
ThermalHydrogen,Region22Chongqing_SMR,Region22Chongqing,FALSE,TRUE,Hydrogen,1.387222001,0,0.202178888,Electricity,elec_Region22Chongqing,FALSE,Hydrogen,h2_Region22Chongqing,TRUE,TRUE,TRUE,TRUE,324.423798,1,FALSE,549390.8377,20397.78048,2.030072794,1,0,0.08,25,25,0.7,0.15,0.15,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region22Chongqing,FALSE,CO2,co2_sink_national,FALSE
