2026-09-16 22:53:09 | INFO | 1 | MacroEnergy | run_tools.jl:125 | Running case at /Users/al3792/Documents_Local/NZC_June_2026/NZC_Workshop_Example_Systems_June_2026/NZC_Workshop_All Sector_12day_MultiPeriods_WIP/case
2026-09-16 22:53:09 | INFO | 1 | MacroEnergy | user_additions.jl:78 |  ++ Loading user additions from ../NZC_Workshop_Example_Systems_June_2026/NZC_Workshop_All Sector_12day_MultiPeriods_WIP/case/user_additions
2026-09-16 22:53:09 | INFO | 1 | MacroEnergy | user_additions.jl:114 |  ++ Successfully loaded user additions.
2026-09-16 22:53:09 | INFO | 1 | MacroEnergy | user_additions.jl:122 |  ++ Added user assets: 0
2026-09-16 22:53:10 | INFO | 1 | MacroEnergy | load_stages_data.jl:37 | Loading case from /Users/al3792/Documents_Local/NZC_June_2026/NZC_Workshop_Example_Systems_June_2026/NZC_Workshop_All Sector_12day_MultiPeriods_WIP/case/system_data.json
2026-09-16 22:53:10 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-09-16 22:53:10 | WARN | 1 | MacroEnergy | load_csv_inputs.jl:62 | The first column of the CSV file must be 'Type' (got 'Period_Index')
2026-09-16 22:53:51 | WARN | 1 | MacroEnergy | load_csv_inputs.jl:62 | The first column of the CSV file must be 'Type' (got 'Period_Index')
2026-09-16 22:53:51 | WARN | 1 | MacroEnergy | load_csv_inputs.jl:62 | The first column of the CSV file must be 'Type' (got 'Period_Index')
2026-09-16 22:54:29 | WARN | 1 | MacroEnergy | load_csv_inputs.jl:62 | The first column of the CSV file must be 'Type' (got 'Period_Index')
2026-09-16 22:54:29 | WARN | 1 | MacroEnergy | load_csv_inputs.jl:62 | The first column of the CSV file must be 'Type' (got 'Period_Index')
2026-09-16 22:55:09 | WARN | 1 | MacroEnergy | load_csv_inputs.jl:62 | The first column of the CSV file must be 'Type' (got 'Period_Index')
2026-09-16 22:55:09 | WARN | 1 | MacroEnergy | load_csv_inputs.jl:62 | The first column of the CSV file must be 'Type' (got 'Period_Index')
2026-09-16 22:55:49 | WARN | 1 | MacroEnergy | load_csv_inputs.jl:62 | The first column of the CSV file must be 'Type' (got 'Period_Index')
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 159.82 seconds
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | load_stages_data.jl:20 | Done loading case data. It took 159.82 seconds
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | case.jl:16 | *** Generating case ***
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | case_settings.jl:140 | Configuring case
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | case_settings.jl:169 |  -- Setting solution algorithm
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | case_settings.jl:186 |  -- Solution algorithm set to MacroEnergy.Monolithic()
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | case_settings.jl:191 |  -- Setting expansion horizon
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | case_settings.jl:200 |  -- Expansion horizon set to MacroEnergy.PerfectForesight()
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | case.jl:31 | Generating systems
2026-09-16 22:55:49 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | load_stages_data.jl:37 | Loading case from /Users/al3792/Documents_Local/NZC_June_2026/NZC_Workshop_Example_Systems_June_2026/NZC_Workshop_All Sector_12day_MultiPeriods_WIP/case/system_data.json
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 0.01 seconds
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | load_stages_data.jl:20 | Done loading case data. It took 0.01 seconds
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | case.jl:16 | *** Generating case ***
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | case_settings.jl:122 | Configuring case from settings/case_settings.json
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | case_settings.jl:140 | Configuring case
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | case_settings.jl:169 |  -- Setting solution algorithm
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | case_settings.jl:186 |  -- Solution algorithm set to MacroEnergy.Monolithic()
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | case_settings.jl:191 |  -- Setting expansion horizon
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | case_settings.jl:200 |  -- Expansion horizon set to MacroEnergy.PerfectForesight()
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | case.jl:31 | Generating systems
2026-09-17 11:37:41 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
2026-09-17 11:37:42 | INFO | 1 | MacroEnergy | load_commodities.jl:299 |  ++ Added user commodities: 0 top-level, 0 subcommodities
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | node.jl:295 |  ++ Creating new location: Region21Hainan
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | node.jl:295 |  ++ Creating new location: Region26Tibet
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region1Beijing.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region2Tianjin.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region3Hebei.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region4Shanxi.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region5Innermongolia.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region6Liaoning.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region7Jilin.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region8Heilongjiang.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region9Shanghai.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region10Jiangsu.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region11Zhejiang.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region12Anhui.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region13Fujian.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region14Jiangxi.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region15Shandong.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region16Henan.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region17Hubei.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region18Hunan.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region19Guangdong.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region20Guangxi.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region21Hainan.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region22Chongqing.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region23Sichuan.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region24Guizhou.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region25Yunnan.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region26Tibet.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region27Shaanxi.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region28Gansu.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region29Qinghai.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region30Ningxia.
2026-09-17 11:37:58 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region31Xinjiang.
2026-09-17 11:38:50 | INFO | 1 | MacroEnergy | generate_system.jl:51 | Done generating system. It took 69.24 seconds
2026-09-17 11:38:50 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
2026-09-17 11:38:51 | INFO | 1 | MacroEnergy | load_commodities.jl:299 |  ++ Added user commodities: 0 top-level, 0 subcommodities
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | node.jl:295 |  ++ Creating new location: Region21Hainan
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | node.jl:295 |  ++ Creating new location: Region26Tibet
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region1Beijing.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region2Tianjin.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region3Hebei.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region4Shanxi.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region5Innermongolia.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region6Liaoning.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region7Jilin.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region8Heilongjiang.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region9Shanghai.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region10Jiangsu.
2026-09-17 11:39:08 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region11Zhejiang.
