type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,4.518301212553133e11,4.2421915437927146e9,9.225980025329779e10,0.0,0.0,0.0,0.0,5.483321130524038e11
AluminaPlant{NaturalGas},5.246758120228651e10,23.619703118352348,1.0285899690303796e11,4.4082427244159195e10,0.0,0.0,0.0,1.994090053731034e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.263828547419543e9,0.0,0.0,0.0,2.263828547419543e9
AluminumRefining,4.783906949980452e11,3.282959785853757e9,1.0246197563654537e10,2.6285887978301178e10,0.0,0.0,0.0,5.1820574032585474e11
OneWayTransmissionLink{AluminumScrap},3.912742128354482e10,0.0,0.0,4.4261101789922804e8,0.0,0.0,0.0,3.957003230144405e10
AluminumSmelting,3.9531869788504585e10,21.015978885183507,2.727719143106787e10,7.262150894480846e9,3636.9532085151263,0.0,0.0,7.407121577202248e10
ThermalAmmonia{Coal},5.4090847640785446e10,1.0104781650697569e6,1.1169701743141201e10,0.0,0.0,0.0,0.0,6.526155986209172e10
ThermalAmmoniaCCS{Coal},17158.145915762238,64.92276706654731,7303.431474280407,0.0,0.0,0.0,0.0,24526.500157109193
ThermalAmmonia{CokingOvenGas},495.9240722966508,0.0,1.5702793401003835e8,0.0,0.0,0.0,0.0,1.5702842993411064e8
ThermalAmmonia{NaturalGas},6.468527515622757e9,109.88501987861,1.6369684918775296e9,0.0,0.0,0.0,0.0,8.105496117385307e9
ThermalAmmoniaCCS{NaturalGas},9668.703492872504,96.16298206416674,7835.412083879274,0.0,0.0,0.0,0.0,17600.278558815946
SyntheticAmmonia,0.0,16.464859181892002,5572.950902975189,0.0,0.0,0.0,0.0,5589.415762157081
OneWayTransmissionLink{Cement},0.0,0.0,0.0,357.5683461873854,0.0,0.0,0.0,357.5683461873854
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,4.130894412707647e10,0.0,0.0,0.0,4.130894412707647e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,95911.07400076697,0.0,0.0,0.0,95911.07400076697
DRIMaking,6.681195211064384e9,6.005654369614816e9,1.4897849347643948e9,0.0,0.0,0.0,0.0,1.4176634515443594e10
ThermalMethanol{Coal},6.840551615492024e10,1.3531519045870984e6,9.799684343995329e9,0.0,0.0,0.0,0.0,7.820655365082016e10
ThermalMethanolCCS{Coal},39540.93289035192,52.75867686883155,7394.875041919932,0.0,0.0,0.0,0.0,46988.56660914069
ThermalMethanol{CokingOvenGas},1622.856248750007,0.0,5512.7215411693805,0.0,0.0,0.0,0.0,7135.577789919387
ThermalMethanol{NaturalGas},6.859011544749664e9,0.0,5.627896595746785e8,0.0,0.0,0.0,0.0,7.421801204324343e9
ThermalMethanolCCS{NaturalGas},64178.49956234423,60.102066313349845,7971.6213912744315,0.0,0.0,0.0,0.0,72210.22301993202
SyntheticMethanol,0.0,563.2532044882707,2481.2633510480864,0.0,0.0,0.0,0.0,3044.5165555363574
OneWayTransmissionLink{SteelScrap},8.737451341598204e8,0.0,0.0,3.7081357151818514e7,0.0,0.0,0.0,9.10826491311639e8
CementPlant{Coal},1.5769081299671835e11,2.2025751423872524e8,5.328554807869044e7,7.882324452463582e10,0.0,0.0,0.0,2.3678760058367163e11
ThermalPower{Coal},4.1278172734785925e11,17.463482264969425,5.236546789257464e10,7.273105180936911e10,6134.808479059519,0.0,0.0,5.3787825320207495e11
ThermalPower{NaturalGas},7.368471501869812e10,39.63535595712222,1.0790680945585693e10,5.403430148076725e9,1.2639371085720017e9,0.0,0.0,9.11427632605679e10
ThermalPowerCCS{Coal},38766.5814366892,94.39733641028549,6303.133229651403,8376.204975417899,4174.612634180688,0.0,0.0,57714.92961234948
ThermalPowerCCS{NaturalGas},24831.463030092105,103.83445680917093,4206.066823624354,3054.2108086495296,2745.720565819561,0.0,0.0,34941.29568499472
ThermalPower{Uranium},1.8349868286653233e10,0.0,1.2078992350879847e10,4.590872739513839e9,0.0,0.0,0.0,3.501973337704692e10
BECCSElectricity,7.1920265701665e10,9.849932976671362e9,3.0935997859231696e9,0.0,0.0,0.0,0.0,8.486379846425952e10
HydroRes,0.0,0.0,8.321467147524675e10,0.0,0.0,0.0,0.0,8.321467147524675e10
VRE{Generic},0.0,2.101762302979055e12,3.0959771409820215e11,0.0,0.0,0.0,0.0,2.411360017077257e12
Electrolyzer,0.0,1.9961887887961645e9,4.2899572669137603e8,0.0,0.0,0.0,0.0,2.4251845154875407e9
ThermalHydrogen{NaturalGas},3.693931209823005e10,1.224929750620226e9,3.021325664688134e9,2.214097111147078e9,3.433371767360132e6,0.0,0.0,4.340309799645284e10
ThermalHydrogenCCS{NaturalGas},41061.046520963486,4245.261008811615,8390.274532871339,6664.600979056804,57.05949224652435,0.0,0.0,60418.24253394977
ThermalHydrogen{Coal},9.002745994118631e9,12.44875345847407,4.429136498071565e9,1.9452169878701336e9,748248.8065377044,0.0,0.0,1.5377847741315622e10
ThermalHydrogenCCS{Coal},21920.3306974184,7215.806917874882,12934.774095377412,5579.028944113633,29.407572312668297,0.0,0.0,47679.348227097
OneWayTransmissionLink{Electricity},0.0,2.622817105375125e10,1.0279121691778423e10,0.0,0.0,0.0,0.0,3.650729274552968e10
Battery,0.0,5.426515545121761e9,1.4000079994285864e10,2.369187533025668e8,0.0,0.0,0.0,1.966351429271019e10
GasStorage{Hydrogen},0.0,1.8920609357757185e7,2.0663760650061818e6,0.0,0.0,0.0,0.0,2.0986985422763366e7
TransmissionLink{Electricity},0.0,2.8048493448693188e10,7.815732471250409e9,0.0,0.0,0.0,0.0,3.5864225919943596e10
CO2Injection,0.0,265.7335077621949,4498.001770060259,0.0,0.0,0.0,0.0,4763.735277822454
OneWayTransmissionLink{CO2Captured},0.0,973625.3771316451,2.1201542881459906e6,0.0,0.0,0.0,0.0,3.0937796652776357e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,14781.618328038352,0.0,14781.618328038352
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,3663.4593372787676,0.0,3663.4593372787676
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,4.481024979541144,4.481024979541144
Total,1.985096238417424e12,2.188309868623779e12,7.686312143365575e11,2.876278831830916e11,1.2681355077078516e9,18445.07766531712,4.481024979541144,5.23093335851812e12
