time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,8.09498565956801e-5,7.713680227894315e-5,8.044094812476033e-5,8.329125478212518e-5,2.78810148302e-5,7.968559501136951e-5,9.044392967894055e-5,9.170900483468358e-5,7.65013733472486e-5,7.557256775925225e-5,7.874571217314497e-5,7.69983667936458e-5,8.962668474055135e-5,9.288278590702248e-5,7.933445544949791e-5,8.00512149901067e-5,8.673199136666199e-5,9.113533572246979e-5,8.948833851718518e-5,9.633718178747586e-5,9.222900487770858e-5,8.914603577547808e-5,9.09562452022783e-5,9.913857468291098e-5,9.550262802804355e-5,8.486212943470406e-5,9.454220162297133e-5,9.604292472431553e-5,9.426324254491192e-5,9.36849602339862e-5,0.00014404983517124492,0.0,7.65000967989371e-5,7.948988621497843e-5,0.0,0.0,7.857482703377272e-5,0.0,0.0,7.649831980371946e-5,7.813709679282965e-5,7.905025967147594e-5,0.0,9.186277338812943e-5,0.0,7.846295346780607e-5,0.0,0.0,0.0,8.94665630468694e-5,9.847056663125908e-5,8.850561161797936e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.101453374820267e-5,7.860830120165474e-5,8.044046495570001e-5,8.312059307513664e-5,2.4362350359297125e-5,8.345734059389542e-5,9.202138429031947e-5,9.151966473552875e-5,7.670372570434125e-5,7.564671378190724e-5,7.923240019636069e-5,7.702780102647466e-5,9.251175114854959e-5,9.61936876819891e-5,7.920412770090479e-5,8.059442402341688e-5,8.68833196498997e-5,9.419817281752785e-5,8.991951006009913e-5,9.555900248869875e-5,9.374236142889458e-5,8.938597750862698e-5,9.264661571251054e-5,9.748336537995783e-5,9.31616099819621e-5,8.510451732224311e-5,9.819505919494986e-5,0.00010083358858992142,9.796670408235286e-5,9.769261311021182e-5,0.00013074495086584648,0.0,7.789066056029803e-5,7.97661344892342e-5,0.0,0.0,8.314079273652464e-5,0.0,0.0,7.70880488054626e-5,7.790978173716212e-5,7.97130468299656e-5,0.0,9.500355702130037e-5,0.0,7.860931638958846e-5,0.0,0.0,0.0,9.096009412346007e-5,9.843265064493623e-5,9.106142288850018e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8.297608644625143e-5,8.070476420485306e-5,8.247346983125681e-5,8.512500748736329e-5,5.4556693385166e-5,8.792139993829551e-5,9.273510315210842e-5,9.074697260302855e-5,7.815732683269516e-5,7.709489846519091e-5,8.080908031615763e-5,7.82321110115447e-5,0.0001251112760058959,0.00013002932064409833,8.133004314458958e-5,8.28055424229035e-5,8.815681162843703e-5,0.0001056748324401724,9.115886712152133e-5,9.579727588970854e-5,9.373798093292862e-5,9.072887274808039e-5,9.199702688533762e-5,9.960778868389752e-5,9.347540697035583e-5,8.530917181004405e-5,0.00011038306979571644,0.00011346284622959502,0.0001097339312750023,0.00010988770071662657,0.00013229475825937698,0.0,7.988158516603061e-5,8.189539142666735e-5,0.0,0.0,8.586640226626585e-5,0.0,0.0,7.891565295681247e-5,7.945563496036812e-5,8.142131946442532e-5,0.0,0.00012785254455138784,0.0,8.064864964740792e-5,0.0,0.0,0.0,9.094035036127934e-5,9.839348155682437e-5,9.203046166241999e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9.065037787081565e-5,8.868659318039818e-5,9.027763070434958e-5,9.284823931920982e-5,2.206650151492795e-5,9.738876372011873e-5,0.00010082274570777372,9.91256765559001e-5,8.013806562789938e-5,7.912845489954634e-5,8.922074812289793e-5,8.02233355301496e-5,0.0001257424884215652,0.00013030361856181116,8.889028890735062e-5,8.992196098844829e-5,8.815276486551227e-5,0.00010682693307728641,8.912828519669347e-5,9.594398875378829e-5,9.517177446127789e-5,9.089507813087039e-5,9.104402209914042e-5,0.00010100531255829992,9.514083387784922e-5,0.0,0.00010397410221685277,0.00010828762242454104,0.00010351894319526878,0.00010358113655684065,0.00013616408978123218,0.0,8.71061441171106e-5,8.964220109264343e-5,0.0,0.0,9.596363809150077e-5,0.0,0.0,8.106211857317192e-5,8.146038155132374e-5,8.988384081476397e-5,0.0,0.0001282214725506492,0.0,8.826388508964556e-5,0.0,0.0,0.0,9.10351256599995e-5,9.855357188323643e-5,9.420542456273912e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9.21330745029536e-5,9.07086299406501e-5,9.192638117383467e-5,9.43632763039659e-5,5.603044428426074e-5,9.974866799211668e-5,0.00010138447947838358,0.00010059344468515974,8.00406111389762e-5,8.093548942156303e-5,0.00010728090060752038,8.192739420209705e-5,0.000125820845298108,0.00013030675916070322,9.049406912708946e-5,9.012320667523e-5,8.804298856635029e-5,0.00011142160971644444,9.066076245289878e-5,9.823779123507848e-5,9.452952554056537e-5,9.099675524204542e-5,9.074200590930559e-5,9.809755852074886e-5,9.457728111783581e-5,0.0,0.00011627427909388643,0.0001237700502088046,0.00011516502107511428,0.00011495246354797928,0.0001315126212375617,0.0,8.856719657668322e-5,9.121612146167912e-5,0.0,0.0,9.778292661688504e-5,0.0,0.0,8.107262744472266e-5,8.30874675727955e-5,0.00010839734443379712,0.0,0.00012806462024173015,0.0,8.985568578090408e-5,0.0,0.0,0.0,9.155346347711202e-5,9.909213763426017e-5,9.424857576800436e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.00010226228752685529,0.00010110737846957818,0.00010231296698748338,9.91822943774423e-5,3.00660190077906e-5,0.00011066825678085479,0.00011145426270786629,0.00011187710668991713,8.00081860763413e-5,7.936796464491636e-5,0.00010903928249206274,8.022152364617341e-5,0.00012172113983410782,0.00012563390328068635,0.00010052710308627866,9.856590477141935e-5,8.815479590751352e-5,0.00011234274310822912,9.14545736918626e-5,9.90976474213312e-5,9.449247428960916e-5,9.124281907801901e-5,9.105772846851323e-5,0.00010036978892458137,9.666504041661028e-5,7.386783962108623e-5,0.00011813585842901375,0.00012074150390617433,0.00011719094805684449,0.00011725626336556161,0.0001274838155040925,0.0,9.837086423214458e-5,0.00010156142257744527,0.0,0.0,0.00010874885567058179,0.0,0.0,8.105073934228102e-5,8.123717520902574e-5,0.00011046178371998394,0.0,0.0001235146669387177,0.0,9.993836203037176e-5,0.0,0.0,0.0,9.233162323596389e-5,0.00010198602033023585,9.419852854642904e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9.214285512371134e-5,9.075504614486363e-5,9.206334539157979e-5,8.875002599495474e-5,3.087001232415787e-5,0.0001002573171149379,0.00010135947547951218,0.00010117595472536323,7.728899409364942e-5,7.671247281848537e-5,0.00010892448187860282,7.756893349863958e-5,0.00011045361603123638,0.00011367646379767393,9.050273774846573e-5,9.045986804068207e-5,8.793278877261557e-5,0.00011275555422685102,9.143922596877019e-5,0.0001065076276063337,9.474551632138173e-5,9.094157216171794e-5,9.292574887354021e-5,0.0001081330651686585,9.391559530058657e-5,8.527601930152784e-5,0.00011829817481157079,0.0001212918903092941,0.00011701996083246513,0.00011672420896502445,0.00011607721717155073,0.0,8.835095262338388e-5,9.117969562710826e-5,0.0,0.0,9.79289664082561e-5,0.0,0.0,7.81519792769636e-5,7.824748315954366e-5,0.00011048084047615703,0.0,0.00011189663950972317,0.0,8.960347763764531e-5,0.0,0.0,0.0,9.239566445273795e-5,0.00011015280573095643,9.381026559816125e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.00010897043267732442,0.00010731922284179518,0.0001090666472691737,0.0001070615542886344,0.0,0.00012728361298286472,0.00012969136164997508,0.00011912462838381543,7.658283451839054e-5,7.579503602528348e-5,0.00010710495246257778,7.693787562601528e-5,0.00010921354487436474,0.00011160584989511335,0.00010741426592630887,0.00010755932589034956,8.811027968347318e-5,0.00011027761104287492,8.990641831019275e-5,4962.247501434788,9.473714968066815e-5,9.081801644050813e-5,9.18554867723742e-5,9.968520942038595e-5,9.414253554496099e-5,8.521688804608019e-5,0.00012120595727083128,0.0001315406734647695,0.00011710859748603752,0.00011518732279114374,0.00011780332442867802,0.0,0.00010323507489140571,0.00010732621505415985,0.0,0.0,0.00012542969332618448,0.0,0.0,7.725817280368474e-5,7.736645990519264e-5,0.00010880265222112939,0.0,0.00011032157942736376,0.0,0.00010601932143305959,0.0,0.0,0.0,9.231544595422747e-5,22.38796381766371,9.344802809905031e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00011220623363783488,0.00011057350057797066,0.00011251995601924136,0.00011033030311580205,9.164921266346937e-6,0.00013229244899548576,0.000128790219378061,0.00012191865117472389,7.807514368352031e-5,7.728490558633894e-5,0.00010516031423435379,7.853367200993944e-5,0.00010854575194230165,0.00010735055866462062,0.00011105382213827397,0.00010998174637677494,8.813820639996806e-5,0.00010570888342442686,8.980105903333424e-5,17227.837938952875,9.484130103487587e-5,9.06560656543931e-5,9.251674981669566e-5,9.936890421613498e-5,9.582782922734623e-5,8.501474535460574e-5,0.00013943014209871762,0.00014870417430756788,0.00011680796818680506,0.0001164430436517705,0.00012831526419176953,0.0,0.00010507000921394782,0.00011013199419096509,0.0,0.0,0.0001286562224533938,0.0,0.0,7.87436666982444e-5,7.896736775592217e-5,0.00010678873252345511,0.0,0.00010954131113294352,0.0,0.0001093729404821886,0.0,0.0,0.0,9.23492020632466e-5,22.15057571094984,9.32451339576753e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010565556821801048,0.0001067025367645913,9.814721396370074e-5,9.411828036376413e-5,0.000129311584884384,0.00012771149943135995,0.0001287542544803344,0.0001189702988901864,7.831920689760352e-5,7.661599576991307e-5,0.00010398419891810562,7.773668508903597e-5,0.00010690247875810854,0.00010565030006404186,0.00010919258053299075,0.00010300247158673281,8.784373484171937e-5,0.00010407591111150083,8.996592626431266e-5,214.4249772899448,9.497341363351453e-5,0.0,0.0,9.695737972215124e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08109606565996e-5,0.00010647771448574206,0.00010214393369317731,0.0,0.0,0.0001276185163101573,0.0,0.0,7.856121592153542e-5,7.694978876315872e-5,0.00010411316697656048,7.793757750285124e-5,0.00010692387253374847,0.0001054610987427651,0.00010897510183127679,0.00010661395695443776,8.78373747070782e-5,0.00010347228518448048,8.930435835274864e-5,4.867779923705146,9.462551489591853e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.00044710606772468964,0.0004440387861848194,0.00045334725484735827,0.0004592651592361108,0.0003725329520420928,0.0004590368902768205,0.0004726226379148102,0.0004630423244833537,7.99965225173338e-5,8.071244739227268e-5,9.044180693251747e-5,8.227827841267299e-5,9.390076627369126e-5,9.211046148038804e-5,0.00044798173348681303,0.00010444864173564383,8.792788869227408e-5,9.234518127954061e-5,8.982799215573323e-5,26728.91619043196,9.504596931719789e-5,9.002459261386875e-5,9.087385066663956e-5,9.697016878362774e-5,9.5344553585619e-5,8.483471558573541e-5,0.0004700113436229003,24120.123486769102,0.00011681540712515925,0.00010483049095455499,0.000132146709574954,0.0,0.00038543947090269315,0.00041448890139572647,0.0,0.0,0.00045782937233007637,0.0,0.0,8.053941091823447e-5,8.236375581560651e-5,9.219111518632417e-5,0.0,9.44240596822965e-5,0.0,0.0004446183266004766,0.0,0.0,0.0,9.215467500212071e-5,22.007255791995288,9.266737073174158e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044434848123220405,0.0004417044378035584,0.00045331832332351496,0.0004595112885752428,0.0004312468089295862,0.00046972587575133673,0.00047967441341167927,0.00043987833309167,8.054154543302161e-5,8.041302379524495e-5,8.992312960920401e-5,8.231171122474734e-5,9.264910891260136e-5,9.141779599985966e-5,0.0004463629359463539,0.00010848506293292814,8.825202035822599e-5,9.130975664461971e-5,9.0270823704941e-5,822.2864154832961,9.413914581202221e-5,8.991957430037889e-5,8.648035376701557e-5,9.622008323439957e-5,9.64210959963907e-5,8.444094168336136e-5,0.00046683757037868645,903.1394826128633,0.00011427720436607558,0.00010405859129924977,0.0,0.00044230697066049984,0.0004452359495532576,0.00045070826271143005,0.0,0.0,0.00045961079608858313,0.0,0.0,8.065747680863211e-5,8.1344904145908e-5,9.006602308403444e-5,8.217161528989436e-5,9.239487375189981e-5,9.109383203309562e-5,0.00044654466258009506,0.00010790185278608533,8.793027750364502e-5,9.120025179498725e-5,8.9609771158905e-5,224.2318438240544,9.49162582419838e-5,9.012991011858595e-5,0.0,9.379373842877126e-5,9.69506148973398e-5,8.160908136864865e-5,0.0,0.0,0.0,0.0,0.0
