zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,5.6726968557866905e10,3.647063863540545e10,1.3564584191868843e10,6.931015872661244e8,1.69733856777668e7,0.0,0.0,1.074722663580851e11
Region2Tianjin,1.7000191827515804e10,2.621954372921829e10,3.9051248760135746e9,1.685415505485568e9,6.052711327846552e6,0.0,0.0,4.881632864956108e10
Region3Hebei,2.5447459976452258e11,5.3497628407310297e11,8.462900649989792e10,9.121451075570276e9,101891.83569451503,0.0,0.0,8.832014433049294e11
Region4Shanxi,2.1186917242643027e11,8.295577953398956e7,1.2303000686271887e11,5.397084744757013e10,6.694465258100986e6,0.0,0.0,3.8895967698151135e11
Region5Innermongolia,1.6587905983391138e11,3.513594286206724e11,8.480045649425897e10,3.877230811673538e10,1.0012015962747524e6,0.0,0.0,6.408122542671744e11
Region6Liaoning,4.338001579514034e10,1.09360124607716e11,1.7377437049418625e10,2.2437738020913196e9,1215.2113509578846,0.0,0.0,1.7236135246957764e11
Region7Jilin,3.0807130659210297e10,6.426122302035823e10,1.7635214804167267e10,9.174260420486112e8,1.232197555876199e6,0.0,0.0,1.1362222672334029e11
Region8Heilongjiang,2.157617349817356e10,1.293229294698738e11,1.4365281828562057e10,5.3536187584697515e8,1.4449400756392097e6,0.0,0.0,1.6580119161253207e11
Region9Shanghai,4.5766107920540436e10,3.1078199626936207e9,9.786557074683632e9,3.2431142474612293e9,7.777188186246806e7,0.0,0.0,6.198137108724138e10
Region10Jiangsu,2.2249694091137683e11,9.830981651427733e10,4.869682026280181e10,1.1116615525638426e10,4.6925152701310955e7,0.0,0.0,3.806671183667957e11
Region11Zhejiang,1.171689431501757e11,5.35693264854307e11,5.5752379934939285e10,9.465521454909376e9,1.4398504320022263e7,0.0,0.0,7.180945078986515e11
Region12Anhui,8.707964490865956e10,2.2169347811913214e11,2.603815883003977e10,2.848900532288216e9,1452.0120216030546,0.0,0.0,3.376601838421317e11
Region13Fujian,8.57360940955085e10,3.7568537703873694e11,4.0493149285115746e10,5.217105201149868e9,1113.8154626767998,0.0,0.0,5.071317267343265e11
Region14Jiangxi,6.018199335614209e10,7.797135644323787e10,1.9575589789651443e10,1.9983753653513668e9,656294.8568829489,0.0,0.0,1.5972797124923962e11
Region15Shandong,7.683015565278261e10,1.0433629867765396e11,4.417250847237965e10,4.790191785748383e9,2.367202997388508e7,0.0,0.0,2.3015282661853848e11
Region16Henan,8.83682003401168e10,2.1005521085860867e10,9.29957806036772e9,2.4337357252887177e9,3.780088340273359e7,0.0,0.0,1.2114483609503685e11
Region17Hubei,6.950765448996419e10,4.3761901317404485e8,2.0616750188592022e10,1.9986221816279335e9,1.7889605254091304e7,0.0,0.0,9.257853547861227e10
Region18Hunan,6.349967999982899e10,2.5687354895722263e10,1.20243462331797e10,2.306704303180904e9,1.1025993681686563e7,0.0,0.0,1.0352911142559355e11
Region19Guangdong,1.9477207209577292e11,9.411041544315652e10,4.47425865033035e10,1.3866900613638662e10,1.5343075956771827e9,0.0,0.0,3.4902628225154877e11
Region20Guangxi,1.0558669302531964e11,2.911461386022324e11,6.190450527468228e10,1.3540410030740133e10,1.7368212104272008e7,0.0,0.0,4.7219511514507874e11
Region22Chongqing,4.749038967493227e10,5.2760108733132464e8,3.3733272313865036e10,1.2155563445937033e10,5.6111283433897786e7,0.0,0.0,9.396293780549956e10
Region23Sichuan,8.355257455281053e10,1.1237021265849191e11,4.2821106759480896e10,3.7517244847200303e9,8.370081365429638e7,0.0,0.0,2.4257931926915765e11
Region24Guizhou,9.771269646963419e10,1.3482654899518266e11,7.009482062496771e10,2.046654673271002e10,426250.2707940779,0.0,0.0,3.231010390727654e11
Region25Yunnan,7.440240969592738e10,2.427178674210619e11,6.120945339358201e10,8.033479256862199e9,1018.4957682748486,0.0,0.0,3.8636321078592926e11
Region27Shaanxi,7.181727106326039e10,3.4062589415137213e11,3.9670654866012856e10,6.133771523504119e9,1083.8047006815336,0.0,0.0,4.5824759268795416e11
Region28Gansu,3.504668843765573e10,5.99882139431167e11,4.5058774100708694e10,1.7543390888228729e9,601367.9416108361,0.0,0.0,6.81742542426296e11
Region29Qinghai,8.665235103547865e9,3.239032634092327e8,9.77786029319291e9,6.740717847905477e8,1053.3724548600035,0.0,0.0,1.944107149831301e10
Region30Ningxia,4.470048512113926e10,3.0423422356394077e10,1.6292485848948065e10,5.997476119059976e9,3.547733113816516e6,0.0,0.0,9.74174171786552e10
