zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,1.8267145678936527e10,9.1803302410991e8,3.980695585958832e9,5.3350040195552504e8,1.742610054121685e8,0.0,0.0,2.3873635696372963e10
Region2Tianjin,6.005996624412635e9,1.0176184464159668e10,2.0661564129088886e9,5.0775076211047274e8,9.056795991224061e7,0.0,0.0,1.8846656223503906e10
Region3Hebei,9.557649112542789e10,2.817573985742542e10,3.2430761287920895e10,2.4437574866040936e9,6.59871518756612e7,0.0,0.0,1.5869273690925397e11
Region4Shanxi,5.2255885517877266e10,1.1605409697283625e10,2.1786446824862293e10,6.817424950758768e9,3.792168990866765e7,0.0,0.0,9.250308868069061e10
Region5Innermongolia,4.639574793933526e10,9.712706542701283e10,4.387916430027222e10,7.466693886933419e9,3.786667628776262e6,0.0,0.0,1.948724582211825e11
Region6Liaoning,2.527720470538564e10,5.44318069440058e10,1.233417097298316e10,7.171065802655302e8,2.79392693971337e6,0.0,0.0,9.276308312957983e10
Region7Jilin,1.4478751954322664e10,4.450137389107206e9,7.843707973061355e9,3.5963289215592176e8,562255.4185663862,0.0,0.0,2.7132792464065716e10
Region8Heilongjiang,1.1741758853758171e10,1.309359313368318e10,7.364039259546746e9,2.0149151069981968e8,473801.20602823806,0.0,0.0,3.2401356558893948e10
Region9Shanghai,3.029879050667549e10,6.955794705176593e9,5.095250444988635e9,3.3458250498306603e9,1.0365957380698624e8,0.0,0.0,4.5799320280478355e10
Region10Jiangsu,1.043630421373198e11,7.96203211416529e9,2.0439991726903473e10,3.868002326367948e9,3.334242701831785e8,0.0,0.0,1.3696649257493968e11
Region11Zhejiang,4.78243213472383e10,4.0876045190368876e9,2.0507306863747852e10,2.6140323648394737e9,5.031739870703446e7,0.0,0.0,7.508358249356955e10
Region12Anhui,5.076815053771712e10,1.4209415463993336e10,1.179601652965297e10,1.178917662218524e9,1.4370307889668798e7,0.0,0.0,7.79668705014716e10
Region13Fujian,4.246095861878681e10,1.7490412435258102e10,1.720403084232108e10,1.675870622569008e9,332656.8821520532,0.0,0.0,7.883160517581717e10
Region14Jiangxi,3.672844773551412e10,5.939756110762617e9,8.918574406742365e9,7.947876129301307e8,296694.1601995305,0.0,0.0,5.2381862560109436e10
Region15Shandong,4.916381552835687e10,1.1307508772969316e10,1.9555304736239044e10,1.8373612486272688e9,5.631800594890532e7,0.0,0.0,8.19203082921414e10
Region16Henan,3.8491781678313416e10,3.402460538085814e9,4.279552891001758e9,1.0791683557626553e9,6.321037008835131e7,0.0,0.0,4.731617383325199e10
Region17Hubei,4.2479926212300186e10,7.531289754851667e9,9.5642455024847e9,8.359870020401206e8,2.2775797140851937e7,0.0,0.0,6.043422426881753e10
Region18Hunan,4.062739454897835e10,6.1783859072621765e10,1.1589939227781328e10,8.692112926092408e8,3.4647754779033037e6,0.0,0.0,1.1487386891746858e11
Region19Guangdong,9.676502569197923e10,3.3029666342871223e10,2.096037739490807e10,5.743090264937836e9,7.51086602176759e8,0.0,0.0,1.5724924629687314e11
Region20Guangxi,5.752593758594416e10,7.017660411855402e9,2.64108223399364e10,5.564713813870477e9,7.064398860023667e6,0.0,0.0,9.652619855046648e10
Region22Chongqing,2.4058864120235966e10,2.4235852808505302e10,1.4553546608704185e10,4.2673672009060173e9,6.795416901285703e7,0.0,0.0,6.718358490736433e10
Region23Sichuan,4.928624728495417e10,6.382445466546562e10,2.4395215529658295e10,1.4646505667143528e9,1.055072180805118e8,0.0,0.0,1.3907607526487296e11
Region24Guizhou,3.196691348401623e10,1.9520142339449875e10,3.0485038430740223e10,7.210678178117239e9,308156.67326789274,0.0,0.0,8.918308058899683e10
Region25Yunnan,4.157655610266934e10,9.0293445950406e9,2.5908500121414406e10,2.391782585563427e9,184543.8459553228,0.0,0.0,7.890636794853375e10
Region27Shaanxi,2.842362865130078e10,5.239184462068879e9,1.5047311399690357e10,9.036991441848602e8,129667.30954650728,0.0,0.0,4.961395332455442e10
Region28Gansu,1.3757368410399303e10,3.1678324424271828e10,2.2034114384907326e10,6.767319260352423e8,2.6357170957552562e6,0.0,0.0,6.814917486270945e10
Region29Qinghai,2.3565167661695466e9,7.780645924148662e9,4.0153403748545065e9,1.1887975075007732e8,253938.17871136518,0.0,0.0,1.4271636754101503e10
Region30Ningxia,1.5034799563628248e10,1.6418068751913937e10,7.377694077148131e9,1.4783936301082351e9,4.288001041527994e7,0.0,0.0,4.035183603321384e10
Region31Xinjiang,2.5584903328066456e10,4.846439485843319e10,2.995176415439552e10,2.661350820366276e9,4.835028167092651e6,0.0,0.0,1.0666724818942854e11
Region21Hainan,7.039863109958147e9,4.692868820412503e9,3.6001871670204487e9,5.946629569610281e8,3.4749954113387994e7,0.0,0.0,1.5962332008465515e10
Region26Tibet,6.774406804796222e8,3.0523568705538525e10,3.942431070978546e9,3.747047518281884e7,321367.011001091,0.0,0.0,3.5181232299190506e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,6.047416901754398,0.0,0.0,0.0,6.047416901754398
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,0.1593742384102934,0.0,0.0,0.0,0.1593742384102934
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,0.22400572006678435,0.0,0.0,0.0,0.22400572006678435
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.19368182014153262,0.0,0.0,0.0,0.19368182014153262
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,1259.0710796190701,0.0,0.0,0.0,1259.0710796190701
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,0.6763452863650491,0.0,0.0,0.0,0.6763452863650491
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,0.8570321837694641,0.0,0.0,0.0,0.8570321837694641
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,0.7411846605297716,0.0,0.0,0.0,0.7411846605297716
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,0.6352064380921376,0.0,0.0,0.0,0.6352064380921376
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,0.5930725945637318,0.0,0.0,0.0,0.5930725945637318
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,0.5097168948098207,0.0,0.0,0.0,0.5097168948098207
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,0.4428207731419071,0.0,0.0,0.0,0.4428207731419071
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.36570804132461227,0.0,0.0,0.0,0.36570804132461227
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,0.6610907081900509,0.0,0.0,0.0,0.6610907081900509
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,0.330245725762998,0.0,0.0,0.0,0.330245725762998
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,0.35509924584065944,0.0,0.0,0.0,0.35509924584065944
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,0.3128451256926501,0.0,0.0,0.0,0.3128451256926501
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,0.3076868857259185,0.0,0.0,0.0,0.3076868857259185
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,0.0,0.26276257029256117,0.0,0.0,0.0,0.26276257029256117
