type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,1.4939553115410486e11,1.7150481913014435e11,5.148365023088152e10,0.0,0.0,0.0,0.0,3.7238400051513074e11
AluminaPlant{NaturalGas},55.26749241518807,50.30302429238403,108.89917122829486,46.67107338355494,0.0,0.0,0.0,261.14076131942187
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.2954936255238634e8,0.0,0.0,0.0,2.2954936255238634e8
AluminumRefining,9.456429824450105e11,4.641522743431431e9,2.025383211697849e10,5.195975959381428e10,0.0,0.0,0.0,1.0224980968992347e12
OneWayTransmissionLink{AluminumScrap},1.720030318510585e9,0.0,0.0,6.2937250363695e6,0.0,0.0,0.0,1.7263240435469546e9
AluminumSmelting,41.85329418612936,319.2741177356096,7438.781825460561,7.688605154192654,13811.282599929511,0.0,0.0,21618.880442466005
ThermalAmmonia{Coal},4.580255686396841e10,52.9828327348812,9.762451322810783e9,0.0,0.0,0.0,0.0,5.5565008239762024e10
ThermalAmmoniaCCS{Coal},10682.003262631768,89.80164024978409,11608.48171422336,0.0,0.0,0.0,0.0,22380.28661710491
ThermalAmmonia{CokingOvenGas},1881.2442916095874,0.0,9668.876756207983,0.0,0.0,0.0,0.0,11550.12104781757
ThermalAmmonia{NaturalGas},3.0889765952740016e9,48.5610584841403,3.1561637717216617e8,0.0,0.0,0.0,0.0,3.4045930210072265e9
ThermalAmmoniaCCS{NaturalGas},15148.416331272752,93.28267997242818,12599.418388716223,0.0,0.0,0.0,0.0,27841.117399961404
SyntheticAmmonia,0.0,1.550402525392874e10,1.1630977450038675e10,0.0,0.0,0.0,0.0,2.7135002703967415e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1303.0465138178647,0.0,0.0,0.0,1303.0465138178647
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,2.7241021261025486e10,0.0,0.0,0.0,2.7241021261025486e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,3.521535360790135e10,0.0,0.0,0.0,3.521535360790135e10
DRIMaking,2.087334481704716e10,2.339435919870165e11,7.018347171139793e10,0.0,0.0,0.0,0.0,3.250004085154616e11
ThermalMethanol{Coal},5.788925515320615e10,707.6510969270865,9.337174417208946e9,0.0,0.0,0.0,0.0,6.722643027806619e10
ThermalMethanolCCS{Coal},17773.21581915501,828.1239438265997,12474.227677230916,0.0,0.0,0.0,0.0,31075.567440212526
ThermalMethanol{CokingOvenGas},6028.749576503889,0.0,8434.077325316619,0.0,0.0,0.0,0.0,14462.826901820508
ThermalMethanol{NaturalGas},26808.973037332435,0.0,11691.843926586598,0.0,0.0,0.0,0.0,38500.81696391903
ThermalMethanolCCS{NaturalGas},19937.836503216695,2174.295473095485,11465.56685698361,0.0,0.0,0.0,0.0,33577.69883329579
SyntheticMethanol,0.0,1.2471875140989231e10,9.523673082700201e9,0.0,0.0,0.0,0.0,2.199554822368943e10
OneWayTransmissionLink{SteelScrap},5.837788477841171e10,0.0,0.0,4.70096769504963e9,0.0,0.0,0.0,6.307885247346134e10
CementPlant{Coal},1.7933606825832095e11,40.00657920658934,6.554346745513871e7,9.695590921912653e10,0.0,0.0,0.0,2.763575209849092e11
ThermalPower{Coal},8.014445867390762e10,59.01929086278641,3.798116998642756e10,1.2851435199810034e10,7.667195544082539e8,0.0,0.0,1.3174378347357274e11
ThermalPower{NaturalGas},1.1042429812109526e11,7.146962581442455e8,1.8269597767624187e10,8.608829034491053e9,6.596122322587651e8,0.0,0.0,1.386770334136135e11
ThermalPowerCCS{Coal},3.0521980122592575e10,7.642683306123925e9,5.683831932242069e9,7.392297652322917e9,6.526495642609912e8,0.0,0.0,5.189344257754248e10
ThermalPowerCCS{NaturalGas},76432.18722103669,17605.040988154615,14383.319760857865,9244.063359484011,7725.186124178683,0.0,0.0,125389.79745371184
ThermalPower{Uranium},2.8899391978059467e10,0.0,1.6869740423315376e10,7.230211615039108e9,0.0,0.0,0.0,5.2999344016413956e10
BECCSElectricity,7.62343651128031e11,2.376726165128047e10,5.4642157904865555e10,0.0,0.0,0.0,0.0,8.407530706841771e11
HydroRes,0.0,0.0,1.3105562236044463e11,0.0,0.0,0.0,0.0,1.3105562236044463e11
VRE{Generic},0.0,1.21292609267802e12,6.294879248015312e11,0.0,0.0,0.0,0.0,1.8424140174795513e12
Electrolyzer,0.0,1.0767263361989386e11,2.9058671533999775e10,0.0,0.0,0.0,0.0,1.3673130515389363e11
ThermalHydrogen{NaturalGas},3.3381717314176918e10,9.383757731002724e9,7.565309606949552e9,1.9909768277901485e9,3.421050344211795e7,0.0,0.0,5.235597198336146e10
ThermalHydrogenCCS{NaturalGas},101193.17052327502,55464.397637525966,25875.86786430125,16352.692932716856,175.8069627033403,0.0,0.0,199061.93592052246
ThermalHydrogen{Coal},50728.803383292674,132.88077305513463,57625.122919426205,10089.171785183973,199.68743323628684,0.0,0.0,118775.66629419428
ThermalHydrogenCCS{Coal},35810.39004481938,51696.939889033456,26789.14725124691,9355.14061545532,98.9658020956478,0.0,0.0,123750.5836026507
OneWayTransmissionLink{Electricity},0.0,4.569616149623798e9,1.7743273772133465e10,0.0,0.0,0.0,0.0,2.2312889921757263e10
Battery,0.0,1.8324854829521722e11,9.283378694169263e10,4.206297855695716e8,0.0,0.0,0.0,2.7650296502247943e11
GasStorage{Hydrogen},0.0,2.8385240303807274e10,5.19247304498398e9,0.0,0.0,0.0,0.0,3.3577713348791252e10
TransmissionLink{Electricity},0.0,1.5765055179356146e9,1.323941127750722e10,0.0,0.0,0.0,0.0,1.4815916795442833e10
CO2Injection,0.0,3.405507845713708e10,1.6768469924429224e10,0.0,0.0,0.0,0.0,5.082354838156631e10
OneWayTransmissionLink{CO2Captured},0.0,1.22022066145545e6,3.744392111698567e6,0.0,0.0,0.0,0.0,4.964612773154017e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,56319.647691829065,0.0,56319.647691829065
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,13891.987022885407,0.0,13891.987022885407
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,17.01940063816662,17.01940063816662
Total,2.5078424902438276e12,2.052009297806919e12,1.2589517860105334e12,2.5480328097800375e11,2.11321386529905e9,70211.63471471447,17.01940063816662,6.075720139133236e12
