type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,3.940958938419084e11,2.1294935964641815e8,7.563369646097075e10,0.0,0.0,0.0,0.0,4.699425396625256e11
AluminaPlant{NaturalGas},6.101015386613054e10,1.6019285414817376e9,1.1879685611448941e11,5.091293833478119e10,0.0,0.0,0.0,2.3232187685688287e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.5223334580366955e9,0.0,0.0,0.0,2.5223334580366955e9
AluminumRefining,1.7606736823214127e11,3.950369767622344e8,3.7710203360594225e9,9.67428331356502e9,0.0,0.0,0.0,1.8990770885852795e11
OneWayTransmissionLink{AluminumScrap},2.2473312048445547e12,0.0,0.0,4.168171014208354e10,0.0,0.0,0.0,2.289012914986638e12
AluminumSmelting,4.565727829942511e10,1.6856279140150932e10,3.1503753903455994e10,8.387411124635128e9,1.6645898550279787e9,0.0,0.0,1.0406931232269516e11
ThermalAmmonia{Coal},2.826841044824641e10,2.0026830113271189e9,5.104333501255461e9,0.0,0.0,0.0,0.0,3.537542696082899e10
ThermalAmmoniaCCS{Coal},1903.2629459116617,5712.077566964869,655.1670203968754,0.0,0.0,0.0,0.0,8270.507533273407
ThermalAmmonia{CokingOvenGas},9.586958441642627e8,0.0,6.189678320592788e6,0.0,0.0,0.0,0.0,9.648855224848554e8
ThermalAmmonia{NaturalGas},1.8978049535089424e10,4.2318909365105834e9,1.606482115621252e9,0.0,0.0,0.0,0.0,2.481642258722126e10
ThermalAmmoniaCCS{NaturalGas},3279.8830994055033,3463.9276078129174,397.31642942587996,0.0,0.0,0.0,0.0,7141.127136644302
SyntheticAmmonia,0.0,492.88920934755834,99.61593443499866,0.0,0.0,0.0,0.0,592.505143782557
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.702395740274227e8,0.0,0.0,0.0,1.702395740274227e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,4.48234190822603e10,0.0,0.0,0.0,4.48234190822603e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,4.1566237858500694e10,0.0,0.0,0.0,4.1566237858500694e10
DRIMaking,-146.80034432171354,1550.1331819213237,213.34427983555858,0.0,0.0,0.0,0.0,1616.6771174351688
ThermalMethanol{Coal},3.453175105243826e10,8.457480882472598e9,5.91457193153765e9,0.0,0.0,0.0,0.0,4.890380386644851e10
ThermalMethanolCCS{Coal},5.147500526882216e9,7.386583880820391e9,1.6198812081185966e9,0.0,0.0,0.0,0.0,1.4153965615821203e10
ThermalMethanol{CokingOvenGas},7.41123257389209e8,0.0,6.079952328557379e8,0.0,0.0,0.0,0.0,1.349118490244947e9
ThermalMethanol{NaturalGas},2.7500248455878615e9,0.0,5.676015358121831e8,0.0,0.0,0.0,0.0,3.3176263814000444e9
ThermalMethanolCCS{NaturalGas},3.987886226984599e9,6.063339588581595e9,1.2612994545075161e9,0.0,0.0,0.0,0.0,1.1312525270073711e10
SyntheticMethanol,0.0,4.626239745462302e9,9.351045810082494e8,0.0,0.0,0.0,0.0,5.5613443264705515e9
OneWayTransmissionLink{SteelScrap},3.1856274734219476e11,0.0,0.0,4.177259499174825e10,0.0,0.0,0.0,3.60335342333943e11
CementPlant{Coal},1.2486426242024841e11,1.6797090648956149e9,4.217849971562046e7,6.239301868223072e10,0.0,0.0,0.0,1.8897916866709036e11
ThermalPower{Coal},6.191893900802502e11,1.7603481337106136e10,4.185592458509666e10,9.999350564961555e10,2.8396104453599277e9,0.0,0.0,7.814819120974286e11
ThermalPower{NaturalGas},4.075157642310622e10,7.156099183273011e9,7.894023150888922e9,3.0402424558592257e9,1.6014653997492347e9,0.0,0.0,6.044340661287661e10
