type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,4.4885874890112463e11,2.225320808305075e8,8.61436185931369e10,0.0,0.0,0.0,0.0,5.3522489957509204e11
AluminaPlant{NaturalGas},6.948801487792697e10,2.463001795035239e9,1.353046531114763e11,5.7987708476347015e10,0.0,0.0,0.0,2.6524337826078552e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.8728323689156947e9,0.0,0.0,0.0,2.8728323689156947e9
AluminumRefining,2.0053337236417673e11,6.073783927781837e8,4.295034524778225e9,1.1018604285138195e10,0.0,0.0,0.0,2.1645438956687134e11
OneWayTransmissionLink{AluminumScrap},2.5596162983054004e12,0.0,0.0,4.747372545307489e10,0.0,0.0,0.0,2.607090023758475e12
AluminumSmelting,5.2001731395687805e10,3.3787832932277985e10,3.588145876106675e10,9.552910656393013e9,1.8958982608965933e9,0.0,0.0,1.3311983200632213e11
ThermalAmmonia{Coal},3.2196537810955627e10,3.688434000665983e9,5.813622484142673e9,0.0,0.0,0.0,0.0,4.169859429576428e10
ThermalAmmoniaCCS{Coal},2167.736934286552,5969.121057478305,746.2078486272892,0.0,0.0,0.0,0.0,8883.065840392146
ThermalAmmonia{CokingOvenGas},1.0919144906414602e9,0.0,7.049784863265293e6,0.0,0.0,0.0,0.0,1.0989642755047255e9
ThermalAmmonia{NaturalGas},2.16152050909746e10,7.794069420398284e9,1.829715974759812e9,0.0,0.0,0.0,0.0,3.1238990486132698e10
ThermalAmmoniaCCS{NaturalGas},3735.6497429827873,3619.8043501645075,452.5268043049012,0.0,0.0,0.0,0.0,7807.980897452196
SyntheticAmmonia,0.0,907.7768713452961,113.4583851285869,0.0,0.0,0.0,0.0,1021.2352564738829
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.938957583812396e8,0.0,0.0,0.0,1.938957583812396e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,5.1052000604718414e10,0.0,0.0,0.0,5.1052000604718414e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,4.734220734910164e10,0.0,0.0,0.0,4.734220734910164e10
DRIMaking,-167.1994555643136,1619.8891751077872,242.99021641320354,0.0,0.0,0.0,0.0,1695.6799359566771
ThermalMethanol{Coal},3.93302209359743e10,1.55765340148477e10,6.736450186260183e9,0.0,0.0,0.0,0.0,6.1643205137082184e10
ThermalMethanolCCS{Coal},5.86278792184292e9,1.360421343801924e10,1.8449769809990222e9,0.0,0.0,0.0,0.0,2.1311978340861183e10
ThermalMethanol{CokingOvenGas},8.44108409377878e8,0.0,6.924811545155298e8,0.0,0.0,0.0,0.0,1.5365895638934078e9
ThermalMethanol{NaturalGas},3.132163341272326e9,0.0,6.464744221395402e8,0.0,0.0,0.0,0.0,3.778637763411866e9
ThermalMethanolCCS{NaturalGas},4.542035709010432e9,1.1167133175653366e10,1.4365673532417562e9,0.0,0.0,0.0,0.0,1.7145736237905556e10
SyntheticMethanol,0.0,8.520359875169645e9,1.0650450280800127e9,0.0,0.0,0.0,0.0,9.585404903249659e9
OneWayTransmissionLink{SteelScrap},3.6282965251062177e11,0.0,0.0,4.7577239497631096e10,0.0,0.0,0.0,4.1040689200825287e11
CementPlant{Coal},1.422151752611191e11,1.755295972815922e9,4.8039548010298446e7,7.106304009628946e10,0.0,0.0,0.0,2.1508155087823477e11
ThermalPower{Coal},7.052308316507417e11,3.52855740878108e10,4.7672148421071526e10,1.1388842295862329e11,3.2341975945126734e9,0.0,0.0,9.0531117471276e11
ThermalPower{NaturalGas},4.6414342029053795e10,1.3179719102041615e10,8.990962379135853e9,3.462709067556232e9,1.8240021450927377e9,0.0,0.0,7.387173472288023e10
ThermalPowerCCS{Coal},1.6480523474904348e10,5.127832842620964e10,2.183836971762466e9,3.3248882240788116e9,1.9650909705950754e9,0.0,0.0,7.523266806755034e10
ThermalPowerCCS{NaturalGas},1.054456265015852e10,3.5098972555951096e10,1.4947917693853252e9,1.2968708650608253e9,1.2142453010494328e9,0.0,0.0,4.96494431416052e10
ThermalPower{Uranium},1.4448742871861675e10,0.0,1.0049391791038633e10,3.6148673513325124e9,0.0,0.0,0.0,2.811300201423282e10
BECCSElectricity,6.022572646429602e10,1.7142692495479643e10,3.1253020366126423e9,0.0,0.0,0.0,0.0,8.04937209963883e10
HydroRes,0.0,0.0,6.551900547781191e10,0.0,0.0,0.0,0.0,6.551900547781191e10
VRE{Generic},0.0,2.969196722323611e12,1.2046979562096962e11,0.0,0.0,0.0,0.0,3.0896665179445806e12
Electrolyzer,0.0,5.465906990092243e9,4.883675858587666e8,0.0,0.0,0.0,0.0,5.95427457595101e9
ThermalHydrogen{NaturalGas},1.5509527047629232e10,3.9992132529465504e9,3.534867858172762e9,9.5412106214658e8,5.192559251306517e7,0.0,0.0,2.4049654813408188e10
ThermalHydrogenCCS{NaturalGas},7.627144676968731e9,2.43259232384821e10,1.79600312457902e9,1.2451251946969595e9,1.5665485269333486e7,0.0,0.0,3.500986171999615e10
ThermalHydrogen{Coal},1.5025145699614935e10,1.5817129041581628e9,1.0867689791498108e10,2.988267251516289e9,4.801717574502453e7,0.0,0.0,3.051083282253252e10
ThermalHydrogenCCS{Coal},4.313951036926694e9,3.319738435294467e10,2.8579046050393434e9,1.1003226422428823e9,9.498251387423107e6,0.0,0.0,4.1479060888541016e10
OneWayTransmissionLink{Electricity},0.0,2.2142988784471426e11,6.852319150120583e9,0.0,0.0,0.0,0.0,2.2828220699483484e11
Battery,0.0,1.789359782062625e10,1.2295025184623444e10,1.3838950049599186e8,0.0,0.0,0.0,3.0327012505745686e10
GasStorage{Hydrogen},0.0,2.1055092294862434e10,9.427840402276556e8,0.0,0.0,0.0,0.0,2.199787633509009e10
TransmissionLink{Electricity},0.0,1.4318808725810956e11,5.148522245446391e9,0.0,0.0,0.0,0.0,1.4833660950355594e11
CO2Injection,0.0,2.100744911240918e10,1.5469067402684233e9,0.0,0.0,0.0,0.0,2.2554355852677605e10
OneWayTransmissionLink{CO2Captured},0.0,2.7296894949244443e7,1.600490855905717e6,0.0,0.0,0.0,0.0,2.889738580515016e7
Node{Electricity},0.0,0.0,0.0,0.0,0.0,7.881568640481646e9,0.0,7.881568640481646e9
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,1.690900138380015e9,0.0,1.690900138380015e9
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,2.409947366627703e6,2.409947366627703e6
Total,4.839978470664449e12,3.713540358170482e12,5.87582414747132e11,4.7814814866374097e11,1.0258540777061357e10,9.57246877886166e9,2.409947366627703e6,9.639082811749094e12
