zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,3.094503839997119e10,1.9171671510365356e10,6.680546758303336e9,7.128104251166717e8,3.1849191866732574e8,0.0,0.0,5.782855901242388e10
Region2Tianjin,1.9623135226526104e10,2.275063217192865e10,3.6169628047981334e9,1.4926076595234318e9,3.462733658619812e8,0.0,0.0,4.7829611228638306e10
Region3Hebei,1.482811595814602e11,7.265961064965855e9,2.830279513702951e10,9.04921600041564e9,3.409965507461771e8,0.0,0.0,1.932401283346174e11
Region4Shanxi,1.474419582195223e11,2.799994188894016e10,7.240539224109528e10,3.711290804284605e10,3.270104486854335e8,0.0,0.0,2.8528721084108923e11
Region5Innermongolia,1.1524677138880618e11,5.504422233058982e11,3.447681664499506e10,2.7720971534901413e10,3.127948132821009e8,0.0,0.0,7.281995776878829e11
Region6Liaoning,5.204533479048814e10,8.560653109509487e9,1.1458734762746264e10,2.528870716515762e9,3.3208009802115595e8,0.0,0.0,7.492567347728079e10
Region7Jilin,1.4638873680590008e10,1.4557765272091568e11,8.531515753941788e9,6.960242066134372e8,3.23509586888701e8,0.0,0.0,1.697675759489496e11
Region8Heilongjiang,2.05507129183625e10,5.68524503027111e10,5.398630009225997e9,1.471270680082839e9,3.311576129257919e8,0.0,0.0,8.460422152330823e10
Region9Shanghai,3.581518620537578e10,2.711807376904235e10,5.434682161180772e9,3.250388550977721e9,3.4019659864521456e8,0.0,0.0,7.195852728522183e10
Region10Jiangsu,1.4233744922946652e11,6.572982404047779e10,2.338770836331601e10,9.309830104823013e9,3.584133125754649e8,0.0,0.0,2.4112322505065878e11
Region11Zhejiang,9.230737531775827e10,6.954961605195674e9,1.1609189242103003e10,9.424871018713646e9,3.4395508718458545e8,0.0,0.0,1.2064035227095518e11
Region12Anhui,4.3381715160510475e10,4.826398374897734e10,8.564401901273593e9,1.8226783753533306e9,3.41788561455384e8,0.0,0.0,1.0237456774757013e11
Region13Fujian,5.777658961862236e10,7.52330387336037e9,1.0050675843949522e10,4.777959438507344e9,3.460617001467881e8,0.0,0.0,8.047459047458638e10
Region14Jiangxi,2.7998955677774826e10,4.609530315236695e10,5.687775502358784e9,1.092157687162766e9,3.237955417764904e8,0.0,0.0,8.119798756143982e10
Region15Shandong,9.517333433378781e10,4.509257835599138e11,6.3083475502967636e10,1.7622239879342186e10,3.476126395849416e8,0.0,0.0,6.271524459155964e11
Region16Henan,5.89062708192935e10,1.4734133813883131e10,2.538936057464843e10,8.378739600204172e9,3.433068623100649e8,0.0,0.0,1.0775181167033931e11
Region17Hubei,3.216806283816909e10,6.887717287082059e9,1.1683294681342176e10,1.1169169324952676e9,3.353560807380225e8,0.0,0.0,5.219134781982662e10
Region18Hunan,2.697796559844971e10,6.735717750221217e9,6.291767497081099e9,1.0861433176329625e9,3.266415672717162e8,0.0,0.0,4.141823573065671e10
