zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,1.518206654216102e10,3.998368504510749e9,2.485899718905497e9,2.22467301734474e8,1.3252477277540122e8,0.0,0.0,2.2021326840087143e10
Region2Tianjin,3.3560906838980994e9,2.4489562375212836e9,1.9708068037862628e9,2.118005027831923e8,1.3665723286811262e8,0.0,0.0,8.124311460856951e9
Region3Hebei,5.037744652064167e10,3.495958854229321e10,2.177529168500102e10,8.471704246320622e8,1.346757065459545e8,0.0,0.0,1.0809417287911392e11
Region4Shanxi,2.1294038204898174e10,1.3036804180079979e10,5.791969670493204e9,4.639472814566576e8,1.3295332796702193e8,0.0,0.0,4.0719712664895035e10
Region5Innermongolia,1.5279728405509672e10,6.429728150461651e10,2.959222416249617e10,3.650892954468174e8,1.4291171009141448e8,0.0,0.0,1.0967723507816058e11
Region6Liaoning,1.710655677825995e10,4.461673806201866e9,7.638084797235831e9,4.075113530650914e8,1.2486885429995711e8,0.0,0.0,2.9738695589062695e10
Region7Jilin,2.1461615374175106e10,6.734088027711533e9,6.562879691524356e9,4.211158047661265e8,1.1863418604919556e8,0.0,0.0,3.529833308422632e10
Region8Heilongjiang,1.7667441721845856e10,1.390071093814352e10,8.284308730020635e9,2.3957625379911977e8,1.2060241118201673e8,0.0,0.0,4.021264005499114e10
Region9Shanghai,1.1565154313600277e10,9.976812452190826e9,3.852070673364145e9,5.3296332711337817e8,1.7694073018638754e8,0.0,0.0,2.610394149645501e10
Region10Jiangsu,4.7527541388069016e10,3.430415806475824e10,1.4163279218407475e10,7.708009762042065e8,1.7638970610774454e8,0.0,0.0,9.694216935354668e10
Region11Zhejiang,3.1841447431909107e10,3.4922027519838448e9,1.248722202155601e10,1.4388354024567783e9,1.560780302724787e8,0.0,0.0,4.9415785638178215e10
Region12Anhui,6.695397751970111e10,2.3543476666255047e10,8.964676324052433e9,1.8011412567307415e9,1.3531147379492477e8,0.0,0.0,1.0139858324053426e11
Region13Fujian,3.3313798519304028e10,6.217471140961862e9,1.117178528332521e10,1.1246215703845043e9,1.5146317957155287e8,0.0,0.0,5.1979139693547165e10
Region14Jiangxi,3.617513050973472e10,2.6187530729374895e9,5.564608622213852e9,7.309805176218324e8,1.2840560054699959e8,0.0,0.0,4.521787832305489e10
Region15Shandong,3.3607600335615215e10,3.030842601121616e10,1.508486554526153e10,1.2946906818388314e9,1.357131719075313e8,0.0,0.0,8.043129574583928e10
Region16Henan,2.8109055206745575e10,5.104586297781291e9,4.282250896043082e9,9.036349806734464e8,1.3514633597991875e8,0.0,0.0,3.853467371722331e10
Region17Hubei,4.2728555596018524e10,1.5469427797043982e10,6.686042017387594e9,7.315626502212347e8,1.3200443449750797e8,0.0,0.0,6.5747592495168846e10
Region18Hunan,3.976016349540908e10,2.5871219132402725e9,6.787326951498633e9,8.904268236247752e8,1.2403027904619925e8,0.0,0.0,5.014906946281896e10
Region19Guangdong,3.3297519091780262e10,3.6008821432398544e10,1.4846792077450315e10,1.7710138285929523e9,1.6582137172947788e8,0.0,0.0,8.608996780195155e10
Region20Guangxi,6.423778281546196e10,1.5876118314382284e10,9.628929565582539e9,1.560472502587188e9,1.2537462656535242e8,0.0,0.0,9.142867782457932e10
Region22Chongqing,2.096980129665685e10,8.974215363529043e9,4.677920750943349e9,5.541303265749027e8,1.2747955445876457e8,0.0,0.0,3.530354729216291e10
Region23Sichuan,4.1733932333814125e10,3.4787096225566597e9,1.4331673573428013e10,9.992250789087832e8,1.2592219425789699e8,0.0,0.0,6.066946280296548e10
Region24Guizhou,2.085152489914571e10,5.745618610446764e9,1.040385466778123e10,8.20321269935162e8,1.306030064001458e8,0.0,0.0,3.7951922453709015e10
Region25Yunnan,2.9365468306117016e10,4.284135526895181e9,1.4757156376045399e10,9.506411595233718e8,1.35027586435681e8,0.0,0.0,4.949242895501665e10
Region27Shaanxi,1.922131800885966e10,5.45813414194857e9,1.0620034805626348e10,7.035428809488012e8,1.4613679941275024e8,0.0,0.0,3.614916663679613e10
Region28Gansu,1.7243634680972195e10,3.9461248508846725e10,2.1904819653159187e10,5.711216715718383e8,1.2586645027618863e8,0.0,0.0,7.930669096482614e10
Region29Qinghai,1.5724219291394331e9,1.3290826201224588e10,4.467687643564409e9,1.2157145987642993e8,1.3303868127109231e8,0.0,0.0,1.958554591507595e10
Region30Ningxia,3.341943698202043e9,1.3679937993665854e10,6.367848098498219e9,1.8560707201178372e8,1.386520190798277e8,0.0,0.0,2.3713988881457726e10
Region31Xinjiang,1.3626945412949356e10,1.809520396732535e10,1.751905952696817e10,7.166928713894887e8,1.8138042450461462e8,0.0,0.0,5.013928220313698e10
Region21Hainan,8.402401228473941e9,4.1787492867124696e9,2.8617502754893646e9,5.081035619078239e8,1.4614685492954084e8,0.0,0.0,1.609715120751314e10
Region26Tibet,1.6049026091820688e9,1.9752096615516373e10,4.59116438868802e9,9.95726207411929e7,1.2087155783102126e8,0.0,0.0,2.616860779195867e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,121787.91807174441,0.0,0.0,0.0,121787.91807174441
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,120063.0991435267,0.0,0.0,0.0,120063.0991435267
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,151045.93919820787,0.0,0.0,0.0,151045.93919820787
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,96635.39790618978,0.0,0.0,0.0,96635.39790618978
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,123103.69023063121,0.0,0.0,0.0,123103.69023063121
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,120317.91609648454,0.0,0.0,0.0,120317.91609648454
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,131252.7465202057,0.0,0.0,0.0,131252.7465202057
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,250082.9712340008,0.0,0.0,0.0,250082.9712340008
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,260008.62572887147,0.0,0.0,0.0,260008.62572887147
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,209957.24770444824,0.0,0.0,0.0,209957.24770444824
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,215294.90075226224,0.0,0.0,0.0,215294.90075226224
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,194326.53731047545,0.0,0.0,0.0,194326.53731047545
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,190460.09979307177,0.0,0.0,0.0,190460.09979307177
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,192098.44235965074,0.0,0.0,0.0,192098.44235965074
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,205822.38045031126,0.0,0.0,0.0,205822.38045031126
