file,pipeline,old_end_vertex,new_end_vertex
assets/assets_1/co2_pipeline.csv,Region12Anhui_to_Region17Hubei_CO2_Pipeline,co2_transported_Region12Anhui_to_Region17Hubei,co2captured_Region17Hubei
assets/assets_1/co2_pipeline.csv,Region12Anhui_to_Region14Jiangxi_CO2_Pipeline,co2_transported_Region12Anhui_to_Region14Jiangxi,co2captured_Region14Jiangxi
assets/assets_1/co2_pipeline.csv,Region12Anhui_to_Region15Shandong_CO2_Pipeline,co2_transported_Region12Anhui_to_Region15Shandong,co2captured_Region15Shandong
assets/assets_1/co2_pipeline.csv,Region1Beijing_to_Region3Hebei_CO2_Pipeline,co2_transported_Region1Beijing_to_Region3Hebei,co2captured_Region3Hebei
assets/assets_1/co2_pipeline.csv,Region1Beijing_to_Region5Innermongolia_CO2_Pipeline,co2_transported_Region1Beijing_to_Region5Innermongolia,co2captured_Region5Innermongolia
assets/assets_1/co2_pipeline.csv,Region1Beijing_to_Region2Tianjin_CO2_Pipeline,co2_transported_Region1Beijing_to_Region2Tianjin,co2captured_Region2Tianjin
assets/assets_1/co2_pipeline.csv,Region22Chongqing_to_Region24Guizhou_CO2_Pipeline,co2_transported_Region22Chongqing_to_Region24Guizhou,co2captured_Region24Guizhou
assets/assets_1/co2_pipeline.csv,Region22Chongqing_to_Region27Shaanxi_CO2_Pipeline,co2_transported_Region22Chongqing_to_Region27Shaanxi,co2captured_Region27Shaanxi
assets/assets_1/co2_pipeline.csv,Region22Chongqing_to_Region23Sichuan_CO2_Pipeline,co2_transported_Region22Chongqing_to_Region23Sichuan,co2captured_Region23Sichuan
assets/assets_1/co2_pipeline.csv,Region13Fujian_to_Region19Guangdong_CO2_Pipeline,co2_transported_Region13Fujian_to_Region19Guangdong,co2captured_Region19Guangdong
assets/assets_1/co2_pipeline.csv,Region13Fujian_to_Region14Jiangxi_CO2_Pipeline,co2_transported_Region13Fujian_to_Region14Jiangxi,co2captured_Region14Jiangxi
assets/assets_1/co2_pipeline.csv,Region28Gansu_to_Region30Ningxia_CO2_Pipeline,co2_transported_Region28Gansu_to_Region30Ningxia,co2captured_Region30Ningxia
assets/assets_1/co2_pipeline.csv,Region28Gansu_to_Region29Qinghai_CO2_Pipeline,co2_transported_Region28Gansu_to_Region29Qinghai,co2captured_Region29Qinghai
assets/assets_1/co2_pipeline.csv,Region19Guangdong_to_Region20Guangxi_CO2_Pipeline,co2_transported_Region19Guangdong_to_Region20Guangxi,co2captured_Region20Guangxi
assets/assets_1/co2_pipeline.csv,Region19Guangdong_to_Region21Hainan_CO2_Pipeline,co2_transported_Region19Guangdong_to_Region21Hainan,co2captured_Region21Hainan
assets/assets_1/co2_pipeline.csv,Region20Guangxi_to_Region24Guizhou_CO2_Pipeline,co2_transported_Region20Guangxi_to_Region24Guizhou,co2captured_Region24Guizhou
assets/assets_1/co2_pipeline.csv,Region20Guangxi_to_Region21Hainan_CO2_Pipeline,co2_transported_Region20Guangxi_to_Region21Hainan,co2captured_Region21Hainan
assets/assets_1/co2_pipeline.csv,Region20Guangxi_to_Region25Yunnan_CO2_Pipeline,co2_transported_Region20Guangxi_to_Region25Yunnan,co2captured_Region25Yunnan
assets/assets_1/co2_pipeline.csv,Region24Guizhou_to_Region25Yunnan_CO2_Pipeline,co2_transported_Region24Guizhou_to_Region25Yunnan,co2captured_Region25Yunnan
assets/assets_1/co2_pipeline.csv,Region3Hebei_to_Region16Henan_CO2_Pipeline,co2_transported_Region3Hebei_to_Region16Henan,co2captured_Region16Henan
assets/assets_1/co2_pipeline.csv,Region3Hebei_to_Region5Innermongolia_CO2_Pipeline,co2_transported_Region3Hebei_to_Region5Innermongolia,co2captured_Region5Innermongolia
assets/assets_1/co2_pipeline.csv,Region3Hebei_to_Region15Shandong_CO2_Pipeline,co2_transported_Region3Hebei_to_Region15Shandong,co2captured_Region15Shandong
