type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},720950.0006052309,1.6203513540949973e11,6.944362946121423e10,0.0,0.0,0.0,0.0,2.3147948582071457e11
OneWayTransmissionLink{Aluminum},0.0,0.0,3.657506691174396e9,0.0,0.0,0.0,0.0,3.657506691174396e9
AluminumRefining,6.290260036118467e9,1.6134577540802296e10,4.139210621110398e10,0.0,0.0,0.0,0.0,6.381694378802474e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.3830940475578358e9,0.0,0.0,0.0,0.0,1.3830940475578358e9
AluminumSmelting,403512.89957151044,4.297021790631017e10,1.1440162153833603e10,0.0,0.0,0.0,0.0,5.441078357304335e10
ThermalAmmonia{Coal},4.808825648048424e7,7.528046248129004e10,0.0,0.0,0.0,0.0,0.0,7.532855073777052e10
ThermalAmmoniaCCS{Coal},4.185194154634552e7,1.782902805775795e7,0.0,0.0,0.0,0.0,0.0,5.968096960410347e7
ThermalAmmonia{CokingOvenGas},0.0,1.895572802636567e6,0.0,0.0,0.0,0.0,0.0,1.895572802636567e6
ThermalAmmonia{NaturalGas},2.1836377885961115e7,1.23669175804208e10,0.0,0.0,0.0,0.0,0.0,1.238875395830676e10
ThermalAmmoniaCCS{NaturalGas},4.0918090366989434e7,1.7467151484439656e7,0.0,0.0,0.0,0.0,0.0,5.838524185142909e7
SyntheticAmmonia,3.2010748556565043e7,1.075968761882233e10,0.0,0.0,0.0,0.0,0.0,1.0791698367378895e10
OneWayTransmissionLink{Cement},0.0,0.0,2.5977136251372853e6,0.0,0.0,0.0,0.0,2.5977136251372853e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,6.500758315247184e7,0.0,0.0,0.0,0.0,6.500758315247184e7
DRIMaking,321513.9356965477,96456.2663090817,0.0,0.0,0.0,0.0,0.0,417970.20200562937
ThermalMethanol{Coal},9.923291417537214e7,6.714455088993762e10,0.0,0.0,0.0,0.0,0.0,6.724378380411299e10
ThermalMethanolCCS{Coal},3.391752950883461e7,3.8205945267422445e7,2.895628245394536e7,0.0,0.0,0.0,0.0,1.010797572302024e8
ThermalMethanol{CokingOvenGas},0.0,6.445340958234907e6,0.0,0.0,0.0,0.0,0.0,6.445340958234907e6
ThermalMethanol{NaturalGas},0.0,9.148414257094376e9,0.0,0.0,0.0,0.0,0.0,9.148414257094376e9
ThermalMethanolCCS{NaturalGas},3.511568622318326e7,5.0598682305651456e7,3.2915813466787312e7,0.0,0.0,0.0,0.0,1.1863018199562202e8
SyntheticMethanol,5.1197406272933975e7,2.2739096275622078e10,0.0,0.0,0.0,0.0,0.0,2.279029368189501e10
Steelmaking,7.410150044862076e9,2.294062840340705e9,0.0,0.0,0.0,0.0,0.0,9.704212885202782e9
OneWayTransmissionLink{SteelScrap},0.0,0.0,3.6648432657658154e8,0.0,0.0,0.0,0.0,3.6648432657658154e8
CementPlant{Coal},2.8688950730907774e8,8.391996714561054e7,1.2413955245518488e11,0.0,0.0,0.0,0.0,1.2451036192963956e11
ThermalPower{Coal},2.9454936153923992e10,1.2045907143939014e11,1.8645895348561057e11,3.8376367825870687e8,0.0,0.0,0.0,3.367567247571834e11
ThermalPower{NaturalGas},1.1223216706221107e8,1.0022119508364843e9,6.218068322780696e8,1.2980120147088514e8,0.0,0.0,0.0,1.86605215164765e9
ThermalPowerCCS{Coal},2.458520433099362e8,7.097867983011804e8,1.9735462084328935e9,2.787121967195546e7,0.0,0.0,0.0,2.9570562697159657e9
ThermalPowerCCS{NaturalGas},7.463830545819433e7,4.490308054941549e7,3.141382038775963e7,3.064430870395357e7,0.0,0.0,0.0,1.81599515099323e8
ThermalPower{Uranium},0.0,1.902323667335328e10,7.230177495282215e9,0.0,0.0,0.0,0.0,2.6253414168635494e10
BECCSElectricity,1.1420175554095974e10,2.6005796198634e9,0.0,0.0,0.0,0.0,0.0,1.4020755173959373e10
HydroRes,0.0,1.3105551373678789e11,0.0,0.0,0.0,0.0,0.0,1.3105551373678789e11
VRE,3.917030699546432e12,4.324775477098178e11,0.0,0.0,0.0,0.0,0.0,4.34950824725625e12
Electrolyzer,2.2008141600068097e9,2.909807701369234e8,0.0,0.0,0.0,0.0,0.0,2.491794930143733e9
ThermalHydrogen{NaturalGas},2.958764775225826e9,4.779706122165862e9,3.989048667293744e9,6.477693176948015e6,0.0,0.0,0.0,1.1733997257862381e10
ThermalHydrogenCCS{NaturalGas},5.4308724878608175e7,6.721013125545014e7,4.493867727711503e7,829314.2156276129,0.0,0.0,0.0,1.6728684762680095e8
ThermalHydrogen{Coal},7.193571569830173e7,2.9698120051059204e10,1.336381710650857e10,2.6736767278233436e6,0.0,0.0,0.0,4.31365465499939e10
ThermalHydrogenCCS{Coal},4.8780459336374804e7,1.1199049855263701e8,4.450325492225705e7,479391.02558605827,0.0,0.0,0.0,2.0575360383685493e8
OneWayTransmissionLink{Electricity},5.5256481266787155e10,1.6672237652224325e10,0.0,0.0,0.0,0.0,0.0,7.192871891901147e10
Battery,2.852739627715241e10,1.4842593501349669e10,2.86387566123648e7,0.0,0.0,0.0,0.0,4.339862853511444e10
GasStorage{Hydrogen},5.3603618110889085e7,3.2781264884135943e7,0.0,0.0,0.0,0.0,0.0,8.638488299502502e7
TransmissionLink{Electricity},6.787064169785058e10,1.3308234575172764e10,0.0,0.0,0.0,0.0,0.0,8.117887627302335e10
CO2Injection,2.922461254273699e7,1.9563803904022966e7,0.0,0.0,0.0,0.0,0.0,4.8788416446759954e7
OneWayTransmissionLink{CO2Captured},3.408903427393383e7,5.187465876098619e6,0.0,0.0,0.0,0.0,0.0,3.9276500150032446e7
Node{Electricity},0.0,0.0,0.0,0.0,9.409376493074448e7,0.0,0.0,9.409376493074448e7
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,1.3311074195544337e11,0.0,1.3311074195544337e11
Node{Coal},0.0,0.0,0.0,0.0,0.0,1.4053906449863933e12,0.0,1.4053906449863933e12
Node{Uranium},0.0,0.0,0.0,0.0,0.0,2.88992556002767e10,0.0,2.88992556002767e10
Node{Hydrogen},0.0,0.0,0.0,0.0,1.1201796870280318e7,0.0,0.0,1.1201796870280318e7
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,1.0489990558284819e8,1.0489990558284819e8
Node{Biomass},0.0,0.0,0.0,0.0,0.0,5.2073837535063995e10,0.0,5.2073837535063995e10
Node{SteelScrap},0.0,0.0,0.0,0.0,0.0,5.067751695261655e9,0.0,5.067751695261655e9
Node{AluminumScrap},0.0,0.0,0.0,0.0,0.0,7.533167035092784e11,0.0,7.533167035092784e11
Node{Bauxite},0.0,0.0,0.0,0.0,0.0,5.7691630629316475e10,0.0,5.7691630629316475e10
Node{Graphite},0.0,0.0,0.0,0.0,0.0,6.227507624062647e10,0.0,6.227507624062647e10
Node{MacroEnergy.CokingOvenGas},0.0,0.0,0.0,0.0,0.0,4.593236045819714e6,0.0,4.593236045819714e6
Total,4.129837488628288e12,1.2082910377899084e12,4.657388570439494e11,5.825404832514862e8,1.052955618010248e8,2.497830235387706e12,1.0489990558284819e8,8.302490354800487e12
