zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,6.824902061976655e8,1.2826413268243554e9,6.122979375297947e7,5.752414019430814e6,0.0,0.0,0.0,2.0321137407944312e9
Region2Tianjin,1.0652458247535212e10,2.1361712832539656e9,3.011045856891256e8,4.10454268501855e6,0.0,0.0,0.0,1.309383865916332e10
Region12Anhui,2.3643826577694855e10,8.668866499538969e9,1.1420917695311852e9,2.6754394382873746e6,0.0,0.0,0.0,3.3457460286203297e10
Region9Shanghai,4.052187804942899e8,2.319030451524194e9,1.0816973348197687e9,8.175328179831673e7,0.0,0.0,0.0,3.887699848636569e9
Region22Chongqing,3.577689587287813e8,6.152525150465865e9,2.3823871791898456e9,3.3490774348454284e6,0.0,0.0,0.0,8.896030365819338e9
Region13Fujian,6.81961599556138e10,1.5330356538185926e10,1.50802300527385e9,2.322775065135718e6,0.0,0.0,0.0,8.503686227413872e10
Region28Gansu,6.699166295799067e10,2.1181547512077465e10,6.903553518661996e8,4.97611173578174e6,0.0,0.0,0.0,8.88685419336701e10
Region19Guangdong,3.3467382709735504e10,1.964895945145157e10,4.863681634979828e9,3.2835291135293627e8,0.0,0.0,0.0,5.830837670751984e10
Region20Guangxi,7.88268070667818e9,1.414789903341324e10,2.2649001414739e9,5.916846330497179e6,0.0,0.0,0.0,2.4301396727895817e10
Region24Guizhou,1.9909054827634007e10,2.977470543986795e10,7.011293394638547e9,2.7613879792397195e6,0.0,0.0,0.0,5.669781505011974e10
Region21Hainan,1.0117287498979374e9,3.184494285543351e9,6.843296746123157e8,1.0420101577468985e8,0.0,0.0,0.0,4.984753725828294e9
Region3Hebei,2.104263059920821e10,2.084808880873126e10,3.135874687739431e9,4.8848063686731e6,0.0,0.0,0.0,4.503147890204758e10
Region8Heilongjiang,1.7386659672532986e10,6.303502250133567e9,2.766004178553886e8,2.910691936543765e6,0.0,0.0,0.0,2.3969673032458485e10
Region16Henan,6.880455163657248e9,4.161711609647671e9,7.062173069555521e8,3.8551554444848234e6,0.0,0.0,0.0,1.1752239235704956e10
Region17Hubei,9.324506823871166e9,7.652724791335824e9,7.693588635934825e8,5.237475112170672e6,0.0,0.0,0.0,1.7751827953912643e10
Region18Hunan,2.5127513413238537e10,9.118206209649149e9,8.966078988137304e8,2.381986864686586e6,0.0,0.0,0.0,3.51447095085661e10
Region5Innermongolia,1.2083750934747449e11,3.3642815664670452e10,2.1929228640738235e10,7.804931898143129e6,0.0,0.0,0.0,1.764173585847813e11
Region10Jiangsu,2.613149020968085e10,1.2761254341590357e10,3.2745662614896193e9,4.604001211314565e6,0.0,0.0,0.0,4.217191481397214e10
Region14Jiangxi,1.202866941135226e9,6.761566254280838e9,1.1746197739400132e9,1.493374717626391e6,0.0,0.0,0.0,9.140546344073704e9
Region7Jilin,2.938934415205091e9,6.693957606912609e9,5.1843761145689595e8,2.6227875242566513e6,0.0,0.0,0.0,1.0153952421098852e10
Region6Liaoning,4.3602348902844086e10,1.0650843232197859e10,6.174959066209933e8,2.5832942292649755e6,0.0,0.0,0.0,5.4873271335892204e10
Region30Ningxia,1.191010363706835e10,6.568980872463078e9,1.7743521585861683e9,9.78398036210409e6,0.0,0.0,0.0,2.0263220648479694e10
Region29Qinghai,2.8029579895859932e10,4.497694326479602e9,2.2690663498345494e8,2.3659666500746426e6,0.0,0.0,0.0,3.2756546823973064e10
Region27Shaanxi,2.7025092091850004e9,1.5536890610142712e10,2.100172030097374e9,4.524702468715864e6,0.0,0.0,0.0,2.0344096551893803e10
Region15Shandong,1.0695596386256844e10,1.9955273276099365e10,1.7381206898953624e9,4.1201997757748347e6,0.0,0.0,0.0,3.2393110552027348e10
Region4Shanxi,3.235646698369626e8,3.61023771494773e10,1.400414514727656e10,3.095393099811177e6,0.0,0.0,0.0,5.043318235969063e10
Region23Sichuan,2.9511771476313686e10,1.87605056603783e10,1.128472814078959e9,4.0470058793441593e6,0.0,0.0,0.0,4.940479695665028e10
Region26Tibet,2.1042114173612705e10,3.070822510466094e9,1.6373457063329118e8,1.3072224361751586e7,0.0,0.0,0.0,2.428974347907384e10
Region31Xinjiang,5.952254292923044e10,2.8306784855117146e10,6.14316469754771e9,6.04663371403122e7,0.0,0.0,0.0,9.403295881903561e10
Region25Yunnan,3.4722374957035385e10,2.675154619657462e10,4.460030237831492e9,2.0580920355937064e6,0.0,0.0,0.0,6.593600948347708e10
Region11Zhejiang,3.955394908724933e9,2.1179497197335358e10,3.3526142196613197e9,3.0793861687268736e6,0.0,0.0,0.0,2.849058571189034e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,5151.371043184266,0.0,0.0,0.0,0.0,5151.371043184266
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,551.0655923959638,0.0,0.0,0.0,0.0,551.0655923959638
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,514.3999371949831,0.0,0.0,0.0,0.0,514.3999371949831
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,570.0504631601635,0.0,0.0,0.0,0.0,570.0504631601635
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,557422.883499129,0.0,0.0,0.0,0.0,557422.883499129
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,1441.0943196024245,0.0,0.0,0.0,0.0,1441.0943196024245
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,1835.844369408372,0.0,0.0,0.0,0.0,1835.844369408372
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,2005.6591051535063,0.0,0.0,0.0,0.0,2005.6591051535063
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,3121.788498970233,0.0,0.0,0.0,0.0,3121.788498970233
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,1713.031361921172,0.0,0.0,0.0,0.0,1713.031361921172
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,2301.633390705457,0.0,0.0,0.0,0.0,2301.633390705457
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,1776.814165817472,0.0,0.0,0.0,0.0,1776.814165817472
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,1337.3785091833233,0.0,0.0,0.0,0.0,1337.3785091833233
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,1070.8990833584405,0.0,0.0,0.0,0.0,1070.8990833584405
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,1050.1889889840402,0.0,0.0,0.0,0.0,1050.1889889840402
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,1495.3300553303027,0.0,0.0,0.0,0.0,1495.3300553303027
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,1221.5322674208965,0.0,0.0,0.0,0.0,1221.5322674208965
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,1226.6435254597668,0.0,0.0,0.0,0.0,1226.6435254597668
