zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,2.0276904487225742e9,3.137067673870927e9,1.4975504269445673e8,1.4069180284216363e7,0.0,0.0,0.0,5.328582345572174e9
Region2Tianjin,3.1383136172480515e10,5.224620272558135e9,7.36437726171134e8,1.0038837751372673e7,0.0,0.0,0.0,3.735423300896116e10
Region12Anhui,7.032326964860281e10,2.120220228061495e10,2.793313372851393e9,6.54355539598176e6,0.0,0.0,0.0,9.432532885746513e10
Region9Shanghai,1.2017424098123634e9,5.671854876382817e9,2.645601440565558e9,1.999511260075595e8,0.0,0.0,0.0,9.719149852768297e9
Region22Chongqing,1.0638882834793409e9,1.5047766946657404e10,5.826811946707576e9,8.191130551014041e6,0.0,0.0,0.0,2.1946658307395336e10
Region13Fujian,2.029202118464181e11,3.749478901005708e10,3.6883032866335464e9,5.681013404231702e6,0.0,0.0,0.0,2.4410898515651294e11
Region28Gansu,1.983936427069989e11,5.1805556700106804e10,1.6884622478095262e9,1.2170510135159813e7,0.0,0.0,0.0,2.518998321650504e11
Region19Guangdong,9.840335057333218e10,4.8057172516779755e10,1.1895530039462317e10,8.030813309103361e8,0.0,0.0,0.0,1.591591344604846e11
Region20Guangxi,2.345512144456943e10,3.460274964069375e10,5.539463659692637e9,1.447134671749613e7,0.0,0.0,0.0,6.361180609167332e10
Region24Guizhou,5.923883104362956e10,7.282259192887328e10,1.7148131282189167e10,6.753767232914795e6,0.0,0.0,0.0,1.4921630802192493e11
Region21Hainan,2.8401373236824613e9,7.788595199515792e9,1.673724723818201e9,2.5485350529022664e8,0.0,0.0,0.0,1.255731075230668e10
Region3Hebei,6.252395552877293e10,5.098998768875408e10,7.6696820120194025e9,1.1947196641654504e7,0.0,0.0,0.0,1.2119557242618806e11
Region8Heilongjiang,5.15301565829308e10,1.5417024796811792e10,6.765057473874418e8,7.118932932977777e6,0.0,0.0,0.0,6.763080606006301e10
Region16Henan,2.0470442910042984e10,1.017866077255039e10,1.727257213724432e9,9.4288896433609e6,0.0,0.0,0.0,3.238578978596117e10
Region17Hubei,2.7745339338830605e10,1.8716935949170296e10,1.881688021514758e9,1.2809749322340434e7,0.0,0.0,0.0,4.8356773058838e10
Region18Hunan,7.476789466434695e10,2.2301191569119453e10,2.1929120765738916e9,5.825832862639962e6,0.0,0.0,0.0,9.926782414290294e10
Region5Innermongolia,3.595402340761219e11,8.228316620745273e10,5.363422559610462e10,1.9089202134979848e7,0.0,0.0,0.0,4.954767150818142e11
Region10Jiangsu,7.773695803089435e10,3.1211311873260914e10,8.008892080766533e9,1.1260406996425545e7,0.0,0.0,0.0,1.1696842239191821e11
Region14Jiangxi,3.579068469343432e9,1.6537351851555964e10,2.8728699480157914e9,3.6524766929511325e6,0.0,0.0,0.0,2.299294274560814e10
Region7Jilin,8.74490594730741e9,1.6371995490664225e10,1.2679880476383553e9,6.414780021277315e6,0.0,0.0,0.0,2.6391304265631268e10
Region6Liaoning,1.29574581744162e11,2.6049695502888092e10,1.5102635529485073e9,6.31818782791662e6,0.0,0.0,0.0,1.5714085898782654e11
Region30Ningxia,3.541584742703051e10,1.6066328999628685e10,4.339687707197988e9,2.3929533435302924e7,0.0,0.0,0.0,5.584579366729249e10
Region29Qinghai,8.327292294061371e10,1.100040298365031e10,5.549653318560998e8,5.786650827618501e6,0.0,0.0,0.0,9.483407790694774e10
Region27Shaanxi,8.041375756288778e9,3.799992738907121e10,5.136573761815617e9,1.1066459150849026e7,0.0,0.0,0.0,5.118894336632646e10
Region15Shandong,3.1795960087260635e10,4.880635093265187e10,4.2510732466860976e9,1.0077131662734479e7,0.0,0.0,0.0,8.486346139826134e10
Region4Shanxi,9.627263757769222e8,8.829873007906822e10,3.4251158233367706e10,7.570672664495019e6,0.0,0.0,0.0,1.2352018536087733e11
Region23Sichuan,8.781343637208627e10,4.58842036521287e10,2.760004306624091e9,9.898114971462086e6,0.0,0.0,0.0,1.3646754244581052e11
Region26Tibet,6.159649917996307e10,7.510578232832462e9,4.0045990869524866e8,3.197187835228283e7,0.0,0.0,0.0,6.953950919984306e10
Region31Xinjiang,1.7673452096652005e11,6.923237062699713e10,1.502487327120174e10,1.4788779032240722e8,0.0,0.0,0.0,2.6113965265504135e11
Region25Yunnan,1.033173390553199e11,6.542858790236938e10,1.0908284639657509e10,5.033655052030275e6,0.0,0.0,0.0,1.796592452523988e11
Region11Zhejiang,1.1769392082158728e10,5.1800542066659225e10,8.199780773865381e9,7.531523118154755e6,0.0,0.0,0.0,7.177724644580148e10
