zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,4.6117560969590336e8,3.4289918992719686e8,1.0074555275294986e8,2.186871375494828e6,0.0,0.0,0.0,9.07007223751545e8
Region2Tianjin,1.7463839802923756e10,1.9133423705447352e9,5.97913147405498e8,2.377297527623865e6,0.0,0.0,0.0,1.997747261840161e10
Region12Anhui,6.642642024925961e10,6.366423399828103e9,1.0484565067344674e9,2.396348610695738e6,0.0,0.0,0.0,7.384369650443289e10
Region9Shanghai,8.54604307193328e7,2.168926178601644e9,2.0034112845792112e9,2.650197413273807e6,0.0,0.0,0.0,4.260448091313462e9
Region22Chongqing,2.554624607631824e9,1.3882106697803402e10,5.270682588813565e9,2.2923469956394327e6,0.0,0.0,0.0,2.170970624124443e10
Region13Fujian,5.371547885276502e7,5.862843731756921e9,2.0978811847759953e9,2.426044741496542e6,0.0,0.0,0.0,8.016866440127177e9
Region28Gansu,1.1809451078150535e8,4.349970671407424e9,7.233517283946193e8,2.4341405220480217e6,0.0,0.0,0.0,5.193851051105597e9
Region19Guangdong,4.829042910327439e7,1.1540467801708788e10,6.132637610995482e9,2.416051822325763e6,0.0,0.0,0.0,1.772381189362987e10
Region20Guangxi,7.50244133355682e8,1.9914485031373207e10,6.764746654828898e9,2.332564403820888e6,0.0,0.0,0.0,2.743180838396161e10
Region24Guizhou,1.7307061050549957e11,2.8810138182634506e10,9.788098306768528e9,2.3887197747233706e6,0.0,0.0,0.0,2.1167123571467734e11
Region21Hainan,3.400615476498284e10,2.889861877733963e9,7.161119472315925e8,1.0711380698161421e7,0.0,0.0,0.0,3.762283997064655e10
Region3Hebei,7.763408224259497e8,7.725248027920878e9,5.90197608376063e9,2.2995613144930643e6,0.0,0.0,0.0,1.4405864495421951e10
Region8Heilongjiang,8.643052377018064e9,2.711092640262079e9,6.815168310992242e8,2.1423689132473385e6,0.0,0.0,0.0,1.2037804217292616e10
Region16Henan,3.1751282474919534e8,1.876311234955996e10,6.398193697002491e9,2.3463477157551143e6,0.0,0.0,0.0,2.54811652190274e10
Region17Hubei,6.942825642269538e7,7.349979913379333e9,8.448695936646777e8,2.3745821377670937e6,0.0,0.0,0.0,8.266652345604472e9
