Type,id,edges--transmission_edge--unidirectional,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--can_retire,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--loss_fraction,edges--transmission_edge--end_vertex,edges--transmission_edge--max_capacity,edges--transmission_edge--max_new_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost
OneWayTransmissionLink,OWTL_E_Existing_DC_R3Hebei_to_R1Beijing,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.06,elec_Region1Beijing,3000,0,FALSE,3000,166168.5184722222,1661.685185185185
OneWayTransmissionLink,OWTL_E_Existing_DC_R3Hebei_to_R6Liaoning,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.017,elec_Region6Liaoning,300,0,FALSE,300,59166.66666666666,591.6666666666666
OneWayTransmissionLink,OWTL_E_Existing_DC_R4Shanxi_to_R10Jiangsu,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.07,elec_Region10Jiangsu,8000,0,FALSE,8000,229734.5486111111,2297.345486111111
OneWayTransmissionLink,OWTL_E_Existing_DC_R5Innermongolia_to_R6Liaoning,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.0412,elec_Region6Liaoning,3000,0,FALSE,3000,226581.4815277778,2265.814814814814
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R5Innermongolia_to_R10Jiangsu,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.06692307692307692,elec_Region10Jiangsu,26000,16000,TRUE,10000,233017.2779166667,2367.633760683761
OneWayTransmissionLink,OWTL_E_Candidate_DC_R5Innermongolia_to_R12Anhui,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.065,elec_Region12Anhui,16000,16000,TRUE,0,229493.9788888889,2294.940277777778
OneWayTransmissionLink,OWTL_E_Candidate_DC_R5Innermongolia_to_R14Jiangxi,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.065,elec_Region14Jiangxi,16000,16000,TRUE,0,249963.9036111111,2499.638888888889
OneWayTransmissionLink,OWTL_E_Existing_DC_R5Innermongolia_to_R15Shandong,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.0675,elec_Region15Shandong,20000,0,FALSE,20000,220262.2222222222,2202.622222222222
OneWayTransmissionLink,OWTL_E_Candidate_DC_R5Innermongolia_to_R18Hunan,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.065,elec_Region18Hunan,16000,16000,TRUE,0,250224.3554166667,2502.243055555556
OneWayTransmissionLink,OWTL_E_Candidate_DC_R5Innermongolia_to_R22Chongqing,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.065,elec_Region22Chongqing,16000,16000,TRUE,0,244828.6259722222,2448.286111111111
OneWayTransmissionLink,OWTL_E_Candidate_DC_R6Liaoning_to_R3Hebei,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region6Liaoning,0.065,elec_Region3Hebei,16000,16000,TRUE,0,211802.9184722222,2118.029166666667
OneWayTransmissionLink,OWTL_E_Candidate_DC_R8Heilongjiang_to_R3Hebei,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region8Heilongjiang,0.065,elec_Region3Hebei,16000,16000,TRUE,0,243982.1461111111,2439.820833333333
OneWayTransmissionLink,OWTL_E_Existing_DC_R17Hubei_to_R9Shanghai,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region17Hubei,0.075,elec_Region9Shanghai,7223,0,FALSE,7223,263125.5095082069,2631.255095605089
OneWayTransmissionLink,OWTL_E_Existing_DC_R17Hubei_to_R10Jiangsu,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region17Hubei,0.075,elec_Region10Jiangsu,3000,0,FALSE,3000,176268.5184722222,1762.685185185185
OneWayTransmissionLink,OWTL_E_Existing_DC_R17Hubei_to_R19Guangdong,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region17Hubei,0.0765,elec_Region19Guangdong,3000,0,FALSE,3000,257442.5926388889,2574.425925925926
OneWayTransmissionLink,OWTL_E_Existing_DC_R22Chongqing_to_R17Hubei,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region22Chongqing,0.007,elec_Region17Hubei,2600,0,FALSE,2600,141666.6666666667,1416.666666666667
OneWayTransmissionLink,OWTL_E_Existing_DC_R23Sichuan_to_R9Shanghai,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.07,elec_Region9Shanghai,6400,0,FALSE,6400,319540.5816666667,3195.405815972222
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R23Sichuan_to_R10Jiangsu,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.06655172413793103,elec_Region10Jiangsu,23200,16000,TRUE,7200,304504.8611111111,3080.601053639847
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R23Sichuan_to_R11Zhejiang,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.065,elec_Region11Zhejiang,39500,32000,TRUE,7500,283000.3622916667,2819.544444444445
OneWayTransmissionLink,OWTL_E_Candidate_DC_R23Sichuan_to_R13Fujian,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.065,elec_Region13Fujian,16000,16000,TRUE,0,262063.7416666666,2620.6375
OneWayTransmissionLink,OWTL_E_Candidate_DC_R23Sichuan_to_R14Jiangxi,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.065,elec_Region14Jiangxi,16000,16000,TRUE,0,271770.6597222222,2717.706944444445
OneWayTransmissionLink,OWTL_E_Existing_DC_R23Sichuan_to_R27Shaanxi,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.03,elec_Region27Shaanxi,3000,0,FALSE,3000,191605.5555555556,1916.055555555555
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R24Guizhou_to_R19Guangdong,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region24Guizhou,0.06572857142857143,elec_Region19Guangdong,23800,16000,TRUE,7800,204175.8643055556,2069.828197945845
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R25Yunnan_to_R19Guangdong,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region25Yunnan,0.06519662921348314,elec_Region19Guangdong,53400,32000,TRUE,21400,240377.2683333333,2616.48246982938
OneWayTransmissionLink,OWTL_E_Existing_DC_R25Yunnan_to_R20Guangxi,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region25Yunnan,0.065,elec_Region20Guangxi,3200,0,FALSE,3200,238546.0069444444,2385.460069444444
OneWayTransmissionLink,OWTL_E_Existing_DC_R25Yunnan_to_R24Guizhou,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region25Yunnan,0.01,elec_Region24Guizhou,3000,0,FALSE,3000,59166.66666666666,591.6666666666666
OneWayTransmissionLink,OWTL_E_Candidate_DC_R26Tibet_to_R3Hebei,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region26Tibet,0.065,elec_Region3Hebei,16000,16000,TRUE,0,290857.3263888889,2908.573611111111
OneWayTransmissionLink,OWTL_E_Candidate_DC_R26Tibet_to_R16Henan,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region26Tibet,0.065,elec_Region16Henan,16000,16000,TRUE,0,278090.2777777778,2780.902777777778
OneWayTransmissionLink,OWTL_E_Candidate_DC_R26Tibet_to_R19Guangdong,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region26Tibet,0.065,elec_Region19Guangdong,16000,16000,TRUE,0,282521.1111111111,2825.211111111111
OneWayTransmissionLink,OWTL_E_Existing_DC_R27Shaanxi_to_R16Henan,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region27Shaanxi,0.01,elec_Region16Henan,390,0,FALSE,390,59166.66666666666,591.6666666666666
OneWayTransmissionLink,OWTL_E_Candidate_DC_R27Shaanxi_to_R17Hubei,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region27Shaanxi,0.065,elec_Region17Hubei,16000,16000,TRUE,0,231012.6736111111,2310.126388888889
OneWayTransmissionLink,OWTL_E_Candidate_DC_R28Gansu_to_R15Shandong,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region28Gansu,0.065,elec_Region15Shandong,16000,16000,TRUE,0,208929.5138888889,2089.295833333333
OneWayTransmissionLink,OWTL_E_Candidate_DC_R28Gansu_to_R17Hubei,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region28Gansu,0.065,elec_Region17Hubei,16000,16000,TRUE,0,232481.4922222222,2324.815277777777
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R28Gansu_to_R18Hunan,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region28Gansu,0.065,elec_Region18Hunan,24000,16000,TRUE,8000,237682.2920833333,2649.506828703703
OneWayTransmissionLink,OWTL_E_Candidate_DC_R29Qinghai_to_R13Fujian,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region29Qinghai,0.065,elec_Region13Fujian,16000,16000,TRUE,0,294371.4777777778,2943.715277777778
OneWayTransmissionLink,OWTL_E_Candidate_DC_R29Qinghai_to_R14Jiangxi,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region29Qinghai,0.065,elec_Region14Jiangxi,16000,16000,TRUE,0,262890.3005555556,2628.902777777778
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R29Qinghai_to_R16Henan,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region29Qinghai,0.065,elec_Region16Henan,24000,16000,TRUE,8000,227938.4258333333,2396.142476851852
OneWayTransmissionLink,OWTL_E_Existing_DC_R29Qinghai_to_R26Tibet,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region29Qinghai,0.137,elec_Region26Tibet,600,0,FALSE,600,627027.7777777778,6270.277777777777
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R30Ningxia_to_R11Zhejiang,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region30Ningxia,0.065,elec_Region11Zhejiang,24000,16000,TRUE,8000,261570.0104166667,2651.832407407408
OneWayTransmissionLink,OWTL_E_Candidate_DC_R30Ningxia_to_R13Fujian,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region30Ningxia,0.065,elec_Region13Fujian,16000,16000,TRUE,0,280899.5556944445,2808.995833333333
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R30Ningxia_to_R15Shandong,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region30Ningxia,0.066,elec_Region15Shandong,20000,16000,TRUE,4000,218913.3805555556,2430.47125
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R31Xinjiang_to_R12Anhui,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region31Xinjiang,0.06714285714285714,elec_Region12Anhui,28000,16000,TRUE,12000,355884.1076388889,3903.41505952381
OneWayTransmissionLink,OWTL_E_Candidate_DC_R31Xinjiang_to_R14Jiangxi,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region31Xinjiang,0.065,elec_Region14Jiangxi,16000,16000,TRUE,0,364193.9447222222,3641.938888888889
OneWayTransmissionLink,OWTL_E_ExistingCandidate_DC_R31Xinjiang_to_R16Henan,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region31Xinjiang,0.06733333333333333,elec_Region16Henan,24000,16000,TRUE,8000,323289.2376388889,3175.012037037037
OneWayTransmissionLink,OWTL_E_Candidate_DC_R31Xinjiang_to_R17Hubei,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region31Xinjiang,0.065,elec_Region17Hubei,16000,16000,TRUE,0,346507.1470833333,3465.070833333334
OneWayTransmissionLink,OWTL_E_Candidate_DC_R31Xinjiang_to_R18Hunan,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region31Xinjiang,0.065,elec_Region18Hunan,16000,16000,TRUE,0,352001.5197222222,3520.015277777778
OneWayTransmissionLink,OWTL_E_Candidate_DC_R31Xinjiang_to_R22Chongqing,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region31Xinjiang,0.065,elec_Region22Chongqing,16000,16000,TRUE,0,306493.0555555556,3064.930555555556
OneWayTransmissionLink,OWTL_E_Candidate_DC_R31Xinjiang_to_R23Sichuan,TRUE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region31Xinjiang,0.065,elec_Region23Sichuan,24000,24000,TRUE,0,365925.9259722223,3659.259722222222
