Type,id,edges--transmission_edge--unidirectional,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--can_retire,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--loss_fraction,edges--transmission_edge--end_vertex,edges--transmission_edge--max_capacity,edges--transmission_edge--max_new_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost
TransmissionLink,TL_E_ExistingCandidate_AC_R1Beijing_to_R2Tianjin,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region1Beijing,0.02268,elec_Region2Tianjin,12000,9600,TRUE,2400,44290.61166666666,437.8892592592593
TransmissionLink,TL_E_ExistingCandidate_AC_R1Beijing_to_R3Hebei,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region1Beijing,0.01740208333333333,elec_Region3Hebei,76800,49600,TRUE,27200,110649.6942921147,1050.281886574074
TransmissionLink,TL_E_ExistingCandidate_AC_R2Tianjin_to_R3Hebei,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region2Tianjin,0.01753118279569892,elec_Region3Hebei,74400,49600,TRUE,24800,97451.01910394266,928.9571684587811
TransmissionLink,TL_E_ExistingCandidate_AC_R2Tianjin_to_R15Shandong,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region2Tianjin,0.01666666666666667,elec_Region15Shandong,30000,20000,TRUE,10000,123368.8888888889,1167.948148148148
TransmissionLink,TL_E_ExistingCandidate_AC_R3Hebei_to_R4Shanxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.01805244444444444,elec_Region4Shanxi,90000,59200,TRUE,30800,97422.9283033033,950.4312839506173
TransmissionLink,TL_E_ExistingCandidate_AC_R3Hebei_to_R5Innermongolia,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.01859503022162525,elec_Region5Innermongolia,59560,29600,TRUE,29960,134073.0732582583,1198.888758301619
TransmissionLink,TL_E_Existing_AC_R3Hebei_to_R6Liaoning,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.01,elec_Region6Liaoning,2000,0,FALSE,2000,38997.22222222222,389.9722222222222
TransmissionLink,TL_E_ExistingCandidate_AC_R3Hebei_to_R15Shandong,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.01753118279569892,elec_Region15Shandong,74400,49600,TRUE,24800,162045.0666577061,1574.594758064516
TransmissionLink,TL_E_Existing_AC_R3Hebei_to_R16Henan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.02,elec_Region16Henan,1000,0,FALSE,1000,42391.66666666666,423.9166666666666
TransmissionLink,TL_E_Existing_AC_R3Hebei_to_R27Shaanxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.025,elec_Region27Shaanxi,4000,0,FALSE,4000,139002.7777777778,1390.027777777778
TransmissionLink,TL_E_ExistingCandidate_AC_R4Shanxi_to_R5Innermongolia,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.01666666666666667,elec_Region5Innermongolia,60000,40000,TRUE,20000,118248.8888888889,1116.748148148148
