Period_Index,Rep_Period,Rep_Period_Index
1,327,11
2,327,11
3,9,1
4,9,1
5,9,1
6,327,11
7,327,11
8,9,1
9,9,1
10,9,1
11,9,1
12,327,11
13,327,11
14,327,11
15,9,1
16,327,11
17,9,1
18,327,11
19,327,11
20,327,11
21,327,11
22,327,11
23,263,10
24,263,10
25,68,3
26,68,3
27,68,3
28,68,3
29,68,3
30,43,2
31,43,2
32,43,2
33,43,2
34,43,2
35,43,2
36,43,2
37,43,2
38,43,2
39,43,2
40,43,2
41,43,2
42,43,2
43,43,2
44,43,2
45,43,2
46,43,2
47,43,2
48,43,2
49,68,3
50,68,3
51,68,3
52,68,3
53,68,3
54,68,3
55,68,3
56,68,3
57,68,3
58,68,3
59,68,3
60,68,3
61,68,3
62,68,3
63,68,3
64,68,3
65,68,3
66,68,3
67,130,4
68,68,3
69,68,3
70,68,3
71,68,3
72,68,3
73,68,3
74,68,3
75,68,3
76,68,3
77,68,3
78,68,3
79,68,3
80,68,3
81,68,3
82,130,4
83,68,3
84,68,3
85,68,3
86,68,3
87,68,3
88,68,3
89,68,3
90,68,3
91,68,3
92,68,3
93,68,3
94,68,3
95,68,3
96,68,3
97,130,4
98,130,4
99,130,4
100,68,3
101,68,3
102,68,3
103,68,3
104,68,3
105,68,3
106,68,3
107,130,4
108,68,3
109,130,4
110,130,4
111,68,3
112,68,3
113,68,3
114,68,3
115,130,4
116,130,4
117,68,3
118,130,4
119,130,4
120,130,4
121,68,3
122,130,4
123,130,4
124,130,4
125,130,4
126,130,4
127,130,4
128,130,4
129,68,3
130,130,4
131,130,4
132,130,4
133,130,4
134,130,4
135,130,4
136,130,4
137,164,5
138,164,5
139,130,4
140,130,4
141,130,4
142,130,4
143,130,4
144,164,5
145,130,4
146,130,4
147,130,4
148,130,4
149,130,4
150,164,5
151,130,4
152,164,5
153,164,5
154,164,5
155,164,5
156,164,5
157,164,5
158,164,5
159,130,4
160,130,4
161,164,5
162,164,5
163,164,5
164,164,5
165,164,5
166,164,5
167,164,5
168,164,5
169,164,5
170,164,5
171,164,5
172,164,5
173,164,5
174,185,6
175,164,5
176,164,5
177,185,6
178,185,6
179,185,6
180,185,6
181,185,6
182,185,6
183,185,6
184,185,6
185,185,6
186,185,6
187,185,6
188,164,5
189,185,6
190,185,6
191,185,6
192,185,6
193,185,6
194,185,6
195,185,6
196,185,6
197,253,9
198,228,8
199,228,8
200,228,8
201,228,8
202,228,8
203,228,8
204,206,7
205,206,7
206,206,7
207,206,7
208,206,7
209,206,7
210,206,7
211,206,7
212,206,7
213,228,8
214,228,8
215,228,8
216,253,9
217,228,8
218,228,8
219,228,8
220,228,8
221,206,7
222,228,8
223,253,9
224,253,9
225,228,8
226,228,8
227,228,8
228,228,8
229,228,8
230,228,8
231,253,9
232,228,8
233,228,8
234,228,8
235,228,8
236,228,8
237,228,8
238,228,8
239,228,8
240,228,8
241,327,11
242,263,10
243,263,10
244,263,10
245,263,10
246,263,10
247,263,10
248,263,10
249,263,10
250,263,10
251,253,9
252,253,9
253,253,9
254,253,9
255,253,9
256,263,10
257,263,10
258,263,10
259,263,10
260,263,10
261,263,10
262,263,10
263,263,10
264,263,10
265,263,10
266,263,10
267,263,10
268,263,10
269,263,10
270,263,10
271,263,10
272,327,11
273,263,10
274,263,10
275,263,10
276,130,4
277,263,10
278,263,10
279,68,3
280,327,11
281,263,10
282,263,10
283,327,11
284,263,10
285,263,10
286,327,11
287,327,11
288,263,10
289,327,11
290,263,10
291,263,10
292,263,10
293,263,10
294,327,11
295,263,10
296,263,10
297,327,11
298,263,10
299,263,10
300,263,10
301,327,11
302,364,12
303,327,11
304,68,3
305,263,10
306,263,10
307,327,11
308,327,11
309,263,10
310,263,10
311,327,11
312,327,11
313,327,11
314,327,11
315,327,11
316,327,11
317,327,11
318,263,10
319,327,11
320,327,11
321,327,11
322,327,11
323,327,11
324,327,11
325,327,11
326,263,10
327,327,11
328,327,11
329,327,11
330,327,11
331,327,11
332,9,1
333,327,11
334,9,1
335,263,10
336,327,11
337,327,11
338,327,11
339,327,11
340,327,11
341,327,11
342,364,12
343,364,12
344,327,11
345,327,11
346,327,11
347,327,11
348,327,11
349,327,11
350,327,11
351,327,11
352,327,11
353,9,1
354,327,11
355,327,11
356,327,11
357,364,12
358,9,1
359,327,11
360,9,1
361,9,1
362,364,12
363,364,12
364,364,12
365,364,12
