index	name	lower_bound	upper_bound
2162	vCAP_Region1Beijing_meacement_cement_edge_period1	0.0	none
2163	vCAP_Region2Tianjin_meacement_cement_edge_period1	0.0	none
2164	vCAP_Region3Hebei_meacement_cement_edge_period1	0.0	none
2165	vCAP_Region4Shanxi_meacement_cement_edge_period1	0.0	none
2166	vCAP_Region5Innermongolia_meacement_cement_edge_period1	0.0	none
2167	vCAP_Region6Liaoning_meacement_cement_edge_period1	0.0	none
2168	vCAP_Region7Jilin_meacement_cement_edge_period1	0.0	none
2169	vCAP_Region8Heilongjiang_meacement_cement_edge_period1	0.0	none
2170	vCAP_Region9Shanghai_meacement_cement_edge_period1	0.0	none
2171	vCAP_Region10Jiangsu_meacement_cement_edge_period1	0.0	none
2172	vCAP_Region11Zhejiang_meacement_cement_edge_period1	0.0	none
2173	vCAP_Region12Anhui_meacement_cement_edge_period1	0.0	none
2174	vCAP_Region13Fujian_meacement_cement_edge_period1	0.0	none
2175	vCAP_Region14Jiangxi_meacement_cement_edge_period1	0.0	none
2176	vCAP_Region15Shandong_meacement_cement_edge_period1	0.0	none
2177	vCAP_Region16Henan_meacement_cement_edge_period1	0.0	none
2178	vCAP_Region17Hubei_meacement_cement_edge_period1	0.0	none
2179	vCAP_Region18Hunan_meacement_cement_edge_period1	0.0	none
2180	vCAP_Region19Guangdong_meacement_cement_edge_period1	0.0	none
2181	vCAP_Region20Guangxi_meacement_cement_edge_period1	0.0	none
2182	vCAP_Region21Hainan_meacement_cement_edge_period1	0.0	none
2183	vCAP_Region22Chongqing_meacement_cement_edge_period1	0.0	none
2184	vCAP_Region23Sichuan_meacement_cement_edge_period1	0.0	none
2185	vCAP_Region24Guizhou_meacement_cement_edge_period1	0.0	none
2186	vCAP_Region25Yunnan_meacement_cement_edge_period1	0.0	none
2187	vCAP_Region26Tibet_meacement_cement_edge_period1	0.0	none
2188	vCAP_Region27Shaanxi_meacement_cement_edge_period1	0.0	none
2189	vCAP_Region28Gansu_meacement_cement_edge_period1	0.0	none
2190	vCAP_Region29Qinghai_meacement_cement_edge_period1	0.0	none
2191	vCAP_Region30Ningxia_meacement_cement_edge_period1	0.0	none
21002	vCAP_Region12Anhui_to_Hehuai_CO2_Pipeline_transmission_edge_period1	0.0	none
21003	vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1	0.0	none
21012	vCAP_Region22Chongqing_to_Jianghan_CO2_Pipeline_transmission_edge_period1	0.0	none
21070	vCAP_Region7Jilin_to_Sanjiang_CO2_Pipeline_transmission_edge_period1	0.0	none
21076	vCAP_Region6Liaoning_to_Songliao_CO2_Pipeline_transmission_edge_period1	0.0	none
21084	vCAP_Qaidam_to_YingenEjina_CO2_Pipeline_transmission_edge_period1	0.0	none
21092	vCAP_Region27Shaanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period1	0.0	none
21104	vCAP_Region9Shanghai_to_Subei_CO2_Pipeline_transmission_edge_period1	0.0	none
35595	vNEWUNIT_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1	0.0	none
4079446	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1[66]	0.0	none
4079571	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1[191]	0.0	none
4079582	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1[202]	0.0	none
4079619	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1[239]	0.0	none
4079655	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1[275]	0.0	none
4139441	vCAP_Region12Anhui_to_Hehuai_CO2_Pipeline_transmission_edge_period2	0.0	none
4139442	vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2	0.0	none
4139451	vCAP_Region22Chongqing_to_Jianghan_CO2_Pipeline_transmission_edge_period2	0.0	none
4139456	vCAP_Erlian_to_BohaiOffshore_CO2_Pipeline_transmission_edge_period2	0.0	none
4139473	vCAP_Region21Hainan_to_PearlRiverMouth_CO2_Pipeline_transmission_edge_period2	0.0	none
4139483	vCAP_Region8Heilongjiang_to_Songliao_CO2_Pipeline_transmission_edge_period2	0.0	none
4139484	vCAP_Region16Henan_to_Hehuai_CO2_Pipeline_transmission_edge_period2	0.0	none
4139487	vCAP_Region17Hubei_to_Hehuai_CO2_Pipeline_transmission_edge_period2	0.0	none
4139509	vCAP_Region7Jilin_to_Sanjiang_CO2_Pipeline_transmission_edge_period2	0.0	none
4139515	vCAP_Region6Liaoning_to_Songliao_CO2_Pipeline_transmission_edge_period2	0.0	none
4139516	vCAP_Nanxiang_to_Hehuai_CO2_Pipeline_transmission_edge_period2	0.0	none
4139517	vCAP_Nanxiang_to_Jianghan_CO2_Pipeline_transmission_edge_period2	0.0	none
4139523	vCAP_Qaidam_to_YingenEjina_CO2_Pipeline_transmission_edge_period2	0.0	none
4139531	vCAP_Region27Shaanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period2	0.0	none
4139542	vCAP_Region9Shanghai_to_SouthYellowSea_CO2_Pipeline_transmission_edge_period2	0.0	none
4139543	vCAP_Region9Shanghai_to_Subei_CO2_Pipeline_transmission_edge_period2	0.0	none
4139547	vCAP_Region4Shanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period2	0.0	none
4139558	vCAP_Region2Tianjin_to_Erlian_CO2_Pipeline_transmission_edge_period2	0.0	none
4139567	vCAP_Region31Xinjiang_to_Tarim_CO2_Pipeline_transmission_edge_period2	0.0	none
4154032	vNEWUNIT_Region12Anhui_to_Hehuai_CO2_Pipeline_transmission_edge_period2	0.0	none
4154033	vRETUNIT_Region12Anhui_to_Hehuai_CO2_Pipeline_transmission_edge_period2	none	none
4154052	vNEWUNIT_Region22Chongqing_to_Jianghan_CO2_Pipeline_transmission_edge_period2	0.0	none
4154053	vRETUNIT_Region22Chongqing_to_Jianghan_CO2_Pipeline_transmission_edge_period2	none	none
4154168	vNEWUNIT_Region7Jilin_to_Sanjiang_CO2_Pipeline_transmission_edge_period2	0.0	none
4154169	vRETUNIT_Region7Jilin_to_Sanjiang_CO2_Pipeline_transmission_edge_period2	none	none
4154180	vNEWUNIT_Region6Liaoning_to_Songliao_CO2_Pipeline_transmission_edge_period2	0.0	none
4154181	vRETUNIT_Region6Liaoning_to_Songliao_CO2_Pipeline_transmission_edge_period2	none	none
4154196	vNEWUNIT_Qaidam_to_YingenEjina_CO2_Pipeline_transmission_edge_period2	0.0	none
4154197	vRETUNIT_Qaidam_to_YingenEjina_CO2_Pipeline_transmission_edge_period2	none	none
4154212	vNEWUNIT_Region27Shaanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period2	0.0	none
4154213	vRETUNIT_Region27Shaanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period2	none	none
4154236	vNEWUNIT_Region9Shanghai_to_Subei_CO2_Pipeline_transmission_edge_period2	0.0	none
4154237	vRETUNIT_Region9Shanghai_to_Subei_CO2_Pipeline_transmission_edge_period2	none	none
8197921	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2[102]	0.0	none
8197924	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2[105]	0.0	none
8197927	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2[108]	0.0	none
8198052	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2[233]	0.0	none
8198094	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2[275]	0.0	none
8198104	vFLOW_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2[285]	0.0	none
8257881	vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3	0.0	none
8257891	vCAP_Region22Chongqing_to_Nanxiang_CO2_Pipeline_transmission_edge_period3	0.0	none
8257894	vCAP_Region22Chongqing_to_SichuanBasin_CO2_Pipeline_transmission_edge_period3	0.0	none
8257895	vCAP_Erlian_to_BohaiOffshore_CO2_Pipeline_transmission_edge_period3	0.0	none
8257912	vCAP_Region21Hainan_to_PearlRiverMouth_CO2_Pipeline_transmission_edge_period3	0.0	none
8257914	vCAP_Region3Hebei_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period3	0.0	none
8257922	vCAP_Region8Heilongjiang_to_Songliao_CO2_Pipeline_transmission_edge_period3	0.0	none
8257923	vCAP_Region16Henan_to_Hehuai_CO2_Pipeline_transmission_edge_period3	0.0	none
8257924	vCAP_Region16Henan_to_Nanxiang_CO2_Pipeline_transmission_edge_period3	0.0	none
8257926	vCAP_Region17Hubei_to_Hehuai_CO2_Pipeline_transmission_edge_period3	0.0	none
8257951	vCAP_Region6Liaoning_to_Erlian_CO2_Pipeline_transmission_edge_period3	0.0	none
8257955	vCAP_Nanxiang_to_Hehuai_CO2_Pipeline_transmission_edge_period3	0.0	none
8257956	vCAP_Nanxiang_to_Jianghan_CO2_Pipeline_transmission_edge_period3	0.0	none
8257959	vCAP_Region30Ningxia_to_YingenEjina_CO2_Pipeline_transmission_edge_period3	0.0	none
8257971	vCAP_Region27Shaanxi_to_SichuanBasin_CO2_Pipeline_transmission_edge_period3	0.0	none
8257981	vCAP_Region9Shanghai_to_SouthYellowSea_CO2_Pipeline_transmission_edge_period3	0.0	none
8257986	vCAP_Region4Shanxi_to_Qinshui_CO2_Pipeline_transmission_edge_period3	0.0	none
8257996	vCAP_Region2Tianjin_to_BohaiOnshore_CO2_Pipeline_transmission_edge_period3	0.0	none
8257997	vCAP_Region2Tianjin_to_Erlian_CO2_Pipeline_transmission_edge_period3	0.0	none
8258005	vCAP_Region31Xinjiang_to_Qaidam_CO2_Pipeline_transmission_edge_period3	0.0	none
8258006	vCAP_Region31Xinjiang_to_Tarim_CO2_Pipeline_transmission_edge_period3	0.0	none
8258011	vCAP_Region11Zhejiang_to_EastChinaSea_CO2_Pipeline_transmission_edge_period3	0.0	none
8272501	vNEWUNIT_Erlian_to_BohaiOffshore_CO2_Pipeline_transmission_edge_period3	0.0	none
8272502	vRETUNIT_Erlian_to_BohaiOffshore_CO2_Pipeline_transmission_edge_period3	none	none
8272535	vNEWUNIT_Region21Hainan_to_PearlRiverMouth_CO2_Pipeline_transmission_edge_period3	0.0	none
8272536	vRETUNIT_Region21Hainan_to_PearlRiverMouth_CO2_Pipeline_transmission_edge_period3	none	none
8272555	vNEWUNIT_Region8Heilongjiang_to_Songliao_CO2_Pipeline_transmission_edge_period3	0.0	none
