zone,Investment_cap,FixedOM_cap,VariableOM_cap,Startup_cap,NonServedDemand_cap,Supply_cap,UnmetPolicyPenalty_cap,Total_cap,Investment_no_cap,FixedOM_no_cap,VariableOM_no_cap,Startup_no_cap,NonServedDemand_no_cap,Supply_no_cap,UnmetPolicyPenalty_no_cap,Total_no_cap,Investment_diff,FixedOM_diff,VariableOM_diff,Startup_diff,NonServedDemand_diff,Supply_diff,UnmetPolicyPenalty_diff,Total_diff,Total_pct_change
Erlian,2546970.4378744997,187548.98397041485,0.0,0.0,0.0,0.0,0.0,2734519.4218449146,2007674.2364198505,147837.31196281558,0.0,0.0,0.0,0.0,0.0,2155511.548382666,539296.2014546492,39711.67200759926,0.0,0.0,0.0,0.0,0.0,579007.8734622486,26.86173840714018
Nanxiang,7286955.467260102,536583.0219397354,0.0,0.0,0.0,0.0,0.0,7823538.489199838,3966882.599612045,292105.7858201513,0.0,0.0,0.0,0.0,0.0,4258988.385432197,3320072.8676480567,244477.23611958412,0.0,0.0,0.0,0.0,0.0,3564550.103767641,83.6947599096567
Ordos,2115548.675467611,155780.7655480497,0.0,0.0,0.0,0.0,0.0,2271329.4410156608,1013103.6990596076,74601.01090993918,0.0,0.0,0.0,0.0,0.0,1087704.7099695466,1102444.9764080034,81179.75463811052,0.0,0.0,0.0,0.0,0.0,1183624.7310461141,108.81857182352857
Qaidam,5266748.614901543,387822.8568615553,0.0,0.0,0.0,0.0,0.0,5654571.471763098,3286275.014196414,241988.49378016044,0.0,0.0,0.0,0.0,0.0,3528263.5079765744,1980473.6007051286,145834.36308139487,0.0,0.0,0.0,0.0,0.0,2126307.9637865233,60.26499888626348
Region10Jiangsu,136986006203.56042,23573677406.81817,4872230290.975307,3438943.0759979174,0.0,0.0,0.0,165435352844.4299,136906107168.36464,14300611084.821104,4842785062.099684,1818740.3939918303,0.0,0.0,0.0,156051322055.6794,79899035.19578552,9273066321.997065,29445228.875623703,1620202.6820060872,0.0,0.0,0.0,9384030788.750488,6.0134260095548875
Region10Jiangsu_ammonia_coal_ccs_transforms_ammonia_Region10Jiangsu,1211332.4822700142,151430.30219409263,0.0,0.0,0.0,0.0,0.0,1362762.784464107,584961.5649687976,73126.83169294315,0.0,0.0,0.0,0.0,0.0,658088.3966617407,626370.9173012166,78303.47050114948,0.0,0.0,0.0,0.0,0.0,704674.3878023662,107.07898686209032
Region10Jiangsu_ammonia_coal_transforms_ammonia_Region10Jiangsu,1468429580.852233,682352466.816969,0.0,0.0,0.0,0.0,0.0,2150782047.669202,1469055744.7099612,682665126.6533961,0.0,0.0,0.0,0.0,0.0,2151720871.3633575,-626163.8577282429,-312659.83642709255,0.0,0.0,0.0,0.0,0.0,-938823.694155693,-0.04363129561321039
Region10Jiangsu_ammonia_gas_ccs_transforms_ammonia_Region10Jiangsu,1031779.6481644696,128987.067190381,0.0,0.0,0.0,0.0,0.0,1160766.7153548507,479065.10574476456,59889.922323237035,0.0,0.0,0.0,0.0,0.0,538955.0280680016,552714.5424197051,69097.14486714397,0.0,0.0,0.0,0.0,0.0,621811.6872868491,115.37357569811803
Region10Jiangsu_ammonia_gas_transforms_ammonia_Region10Jiangsu,3849370.204356124,481067.4470226903,0.0,0.0,0.0,0.0,0.0,4330437.651378814,2059716.435371455,257408.99797933607,0.0,0.0,0.0,0.0,0.0,2317125.433350791,1789653.7689846691,223658.44904335425,0.0,0.0,0.0,0.0,0.0,2013312.218028023,86.88835697239642
Region10Jiangsu_ammonia_h2_transforms_ammonia_Region10Jiangsu,1917636.8084021355,239675.61017721135,0.0,0.0,0.0,0.0,0.0,2157312.418579347,1146331.971736832,143274.16619657175,0.0,0.0,0.0,0.0,0.0,1289606.1379334035,771304.8366653034,96401.4439806396,0.0,0.0,0.0,0.0,0.0,867706.2806459435,67.28459605786652
Region10Jiangsu_bfbof_transforms_crudesteel_Region10Jiangsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.5980348517191,9245539528.436306,0.0,0.0,0.0,0.0,0.0,9245541045.03434,-1516.5980348517191,-9245539528.436306,0.0,0.0,0.0,0.0,0.0,-9245541045.03434,-100.0
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50264.89593012576,7540.152837007935,0.0,0.0,0.0,0.0,0.0,57805.048767133696,-50264.89593012576,-7540.152837007935,0.0,0.0,0.0,0.0,0.0,-57805.048767133696,-100.0
Region10Jiangsu_drieaf_transforms_crudesteel_Region10Jiangsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591.682353010699,388.9866822782786,0.0,0.0,0.0,0.0,0.0,2980.669035288978,-2591.682353010699,-388.9866822782786,0.0,0.0,0.0,0.0,0.0,-2980.669035288978,-100.0
Region10Jiangsu_gasdri_transforms_dri_Region10Jiangsu,2734.059130726985,410.1088696090477,0.0,0.0,0.0,0.0,0.0,3144.168000336033,1982.0995113021768,297.31492669532645,0.0,0.0,0.0,0.0,0.0,2279.4144379975032,751.9596194248084,112.79394291372125,0.0,0.0,0.0,0.0,0.0,864.7535623385297,37.93753114498246
Region10Jiangsu_gasdriccs_transforms_dri_Region10Jiangsu,7853.314408620366,1178.2672929688592,0.0,0.0,0.0,0.0,0.0,9031.581701589224,1549.2486425683169,232.4405861314972,0.0,0.0,0.0,0.0,0.0,1781.6892286998138,6304.065766052048,945.826706837362,0.0,0.0,0.0,0.0,0.0,7249.892472889411,406.9111692491969
Region10Jiangsu_h2dri_transforms_dri_Region10Jiangsu,53797.56238633097,8069.634357949643,0.0,0.0,0.0,0.0,0.0,61867.19674428061,2454.2316482435035,368.1347472365254,0.0,0.0,0.0,0.0,0.0,2822.366395480029,51343.33073808746,7701.499610713118,0.0,0.0,0.0,0.0,0.0,59044.830348800584,2092.032786507091
Region10Jiangsu_methanol_coal_ccs_transforms_methanol_Region10Jiangsu,5417275.922806958,734680.4299149765,0.0,0.0,0.0,0.0,0.0,6151956.352721934,3663880.601592109,496888.36490722606,0.0,0.0,0.0,0.0,0.0,4160768.966499335,1753395.3212148487,237792.0650077504,0.0,0.0,0.0,0.0,0.0,1991187.386222599,47.85623528378423
Region10Jiangsu_methanol_coal_transforms_methanol_Region10Jiangsu,960337335.0684028,255469054.8617544,0.0,0.0,0.0,0.0,0.0,1215806389.9301572,961923230.540574,255668514.6642548,0.0,0.0,0.0,0.0,0.0,1217591745.204829,-1585895.4721711874,-199459.80250042677,0.0,0.0,0.0,0.0,0.0,-1785355.274671793,-0.14663004095608845
Region10Jiangsu_methanol_cog_transforms_methanol_Region10Jiangsu,0.0,702022.0895722873,0.0,0.0,0.0,0.0,0.0,702022.0895722873,0.0,533179.9280286552,0.0,0.0,0.0,0.0,0.0,533179.9280286552,0.0,168842.16154363204,0.0,0.0,0.0,0.0,0.0,168842.16154363204,31.66701382925236
Region10Jiangsu_methanol_gas_ccs_transforms_methanol_Region10Jiangsu,3453477.726547813,444263.83021225873,0.0,0.0,0.0,0.0,0.0,3897741.556760072,2311809.7352721826,297396.86456315365,0.0,0.0,0.0,0.0,0.0,2609206.599835336,1141667.9912756304,146866.96564910508,0.0,0.0,0.0,0.0,0.0,1288534.9569247356,49.38416747091064
Region10Jiangsu_methanol_h2_transforms_methanol_Region10Jiangsu,2184083.4449902093,273010.4418215519,0.0,0.0,0.0,0.0,0.0,2457093.886811761,1348795.9155596716,168599.49636022322,0.0,0.0,0.0,0.0,0.0,1517395.4119198949,835287.5294305377,104410.94546132867,0.0,0.0,0.0,0.0,0.0,939698.4748918663,61.92838514668411
Region10Jiangsu_scrapeaf100_transforms_crudesteel_Region10Jiangsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.3409593159004,181.6084616741397,0.0,0.0,0.0,0.0,0.0,1390.9494209900402,-1209.3409593159004,-181.6084616741397,0.0,0.0,0.0,0.0,0.0,-1390.9494209900402,-100.0
Region10Jiangsu_scrapeaf56_transforms_crudesteel_Region10Jiangsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.3223494695202,25953.96923660807,0.0,0.0,0.0,0.0,0.0,26659.29158607759,-705.3223494695202,-25953.96923660807,0.0,0.0,0.0,0.0,0.0,-26659.29158607759,-100.0
