time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,0.3004544383784946,0.26552938455915864,0.4729316431330517,0.5556068297064485,0.8279322302660148,0.4157827355761583,0.5100508249506674,0.49568719348098966,0.1827756332185686,0.3389406764799787,0.3503223756524676,0.3616940092178993,0.3821426146921567,0.790050178358797,0.480436918020132,0.38132384379878204,0.4058600149785434,0.5349622058120076,0.4457297930102868,0.4653098401013267,0.348443550268712,0.4439862766977285,0.48770875180525763,0.5113532224859227,0.4884207173381583,0.39425459758376746,0.6030996800400317,0.583962050252012,0.5683463952618695,0.5453039750937023,0.9028034625516739,0.0,0.2751901860744681,0.41688142944290973,0.0,0.0,0.39292429018480846,0.0,0.0,0.3697797036806634,0.4272087641438702,0.44978579252892814,0.0,0.4226857615140034,0.0,0.4074560984826121,0.0,0.0,0.0,0.43400696567641717,0.3031837775081385,0.23932288076881003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2999370067879852,0.2693334847258484,0.470743168005356,0.5605598625443236,0.8598249487768044,0.431944596798985,0.5135542600801273,0.48689893413211394,0.18287274353889416,0.3575822794027772,0.3500285309755782,0.32671756121089857,0.38145534406226034,0.8275614879094064,0.4792997300828574,0.3786939614574294,0.40690583125797275,0.5318620824373284,0.4470389327379962,0.46981429891275184,0.3470673834581248,0.4509889625461483,0.4895999959235269,0.504821931332117,0.492125048986054,0.3746774137231341,0.6044508130653412,0.5824577451712685,0.5641496269181516,0.5438847123296,0.9055764309887309,0.0,0.27537390715767174,0.4280757350942679,0.0,0.0,0.39475267982774653,0.0,0.0,0.3963487913579513,0.4272135005776363,0.4564099948001967,0.0,0.42171794637579296,0.0,0.4157152067101606,0.0,0.0,0.0,0.43370015303389664,0.30052567080247883,0.30517451571455645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.30607399838118,0.2819968300518667,0.48282570096671407,0.5604559567564138,0.8302813359186985,0.4495427278193347,0.5126175246005005,0.4853706956305359,0.1864234123050892,0.3603101315902677,0.3472774947540529,0.27905726246831364,0.38863012314084244,0.8130962018331047,0.483144389159861,0.3867921510886845,0.4078251983642076,0.5294552196191944,0.4528323253352937,0.47639283060743765,0.35158499513272545,0.45170707301724633,0.4900793317519856,0.5047842686180957,0.4936173395108199,0.35687891681709516,0.60514358781802,0.5813843876458122,0.5590505718228087,0.5500300500061712,0.9081021454476286,0.0,0.2820252037721076,0.4460086736855402,0.0,0.0,0.4141757465813072,0.0,0.0,0.39565233622428764,0.4319285654837586,0.4595171611981641,0.0,0.422139008790964,0.0,0.4197724894165731,0.0,0.0,0.0,0.43643020568288193,0.29900698761329636,0.3301365329191963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.31442249393830934,0.31707434063082474,0.4906059693876159,0.5626591841937625,0.821795749150624,0.47404000778260524,0.5053612824522133,0.5000866911050252,0.18876388139875644,0.3533454917760537,0.3604547811573866,0.28332614845885473,0.45965091633524935,0.7768435523757944,0.49806329054990783,0.40086235209719234,0.40157115479928507,0.5266650554058288,0.45310017027350113,0.4770211830309563,0.4289766486708686,0.46517395349678736,0.4895437526611204,0.5036563717076206,0.49352593533694744,0.0,0.6053673709684517,0.5811462376404961,0.5560181021296557,0.5486461229374981,0.9068816744547803,0.0,0.2910738369343875,0.4640489295565686,0.0,0.0,0.43688754526607454,0.0,0.0,0.4106072042746973,0.4320814042330312,0.4625933540396545,0.0,0.476365760506269,0.0,0.43578557379191807,0.0,0.0,0.0,0.43946331387587634,0.3029041803171957,0.4383439595001737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.31713782574274774,0.32577169974319986,0.5062872022390366,0.5658131700802187,0.8281282996686059,0.457737936581907,0.5019617267371359,0.4990457932744903,0.18856773429408236,0.3797852409770712,0.340489110976705,0.29578552149359894,0.46369681222984127,0.804735601937864,0.507035535221803,0.4144891639552952,0.39662402894532534,0.529522130253099,0.4550958163217729,0.4762010305748845,0.4108041841245722,0.46854288626059315,0.4907702856871765,0.5048002453622757,0.49183423415524885,0.0,0.6093649446120253,0.5828327632625587,0.5564774060862874,0.5467518940204172,0.910432823584415,0.0,0.2942557311750562,0.45728865801359575,0.0,0.0,0.4483519972464336,0.0,0.0,0.4177047025427214,0.4339833704452758,0.46692307796320165,0.0,0.47042049048877743,0.0,0.4487374846876264,0.0,0.0,0.0,0.43376793965217075,0.2846924463167504,0.44523482374980095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.3192688162913271,0.3404289011941728,0.513879858659493,0.5702639845767408,0.8424847406640765,0.46142528435666463,0.4948308601087774,0.4789353313421998,0.1832115431024306,0.3886908284275705,0.34561145616498834,0.24400625650145003,0.457949638784271,0.8153017426084261,0.5084330483950907,0.423915378122274,0.38757095335540726,0.531272299182092,0.45535327566722117,0.487651215877122,57.83229577400925,0.5363049892059735,0.49082795176309446,0.5045997257620911,0.48799924016202567,0.30547405276985984,0.6127734071196755,0.5837584717046411,0.5579676795764499,0.5666175016740453,0.9029954936704598,0.0,0.2958448840984431,0.46426493307899364,0.0,0.0,0.4507092916677493,0.0,0.0,0.4123729983672888,0.42883207630802644,0.4690456396542686,0.0,0.46328181126500567,0.0,0.4505980844071473,0.0,0.0,0.0,0.4497754129097302,0.31743681504412535,1.2910660892543435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.32140936620800176,0.33015781770427566,0.5179710337215511,0.5305764750301023,0.8640081083940458,0.46546210028191126,0.48879542578470137,0.46867451115622316,0.17954140045723932,0.3869806141756271,0.34292779866518686,0.30412576553226245,0.40885609031488457,0.5433529481379082,0.5089847947092494,0.43997794311871985,0.36546021399601614,0.5277829928863866,0.45315772257890785,0.48903831471943704,0.40852147037185205,0.5092277795520204,0.4915020450252996,0.5049481785317766,0.48545277717494173,0.3533388106837094,0.6115222112566698,0.5862870807250147,0.5580615651838343,0.5375969827327935,0.6125728661718313,0.0,0.29043286646799515,0.456884180094292,0.0,0.0,0.44448000049004577,0.0,0.0,0.39730290821535164,0.42317678342715226,0.46927558365678124,0.0,0.39697925253267385,0.0,0.4387994746574577,0.0,0.0,0.0,0.452515810577097,0.32649733034421047,0.39520543410747044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.3416505848508393,0.34025962002397137,0.5510050223274447,0.5316121975611168,0.8672199722204823,0.48947541503366665,0.5110548082757305,0.4745887127851347,0.17529434744324135,0.37097137891578313,0.373627642467909,0.3264475712667263,0.4321073043522574,0.49904782325029373,0.5540960164071294,0.49091809551282495,0.3485687223234777,0.46932581943701734,0.4450758633092846,0.48540236324697617,0.3792059830921062,0.4866038324556712,0.49087959492953814,0.49014738522237167,0.483731159591116,0.36758404117085774,0.6090310158469947,0.5907584295564448,0.5560296947078314,0.5287092578982993,0.6116436483134748,0.0,0.29614513394147934,0.48358569922395134,0.0,0.0,0.45413188432576135,0.0,0.0,0.38040481001340254,0.41585909789318976,0.4681455641921275,0.0,0.3950166794065808,0.0,0.4681772769063173,0.0,0.0,0.0,0.45093885633650643,0.32359972876582077,0.34252905902797903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.34070645299027547,0.3388411362411716,0.5541795753524639,0.5468765462646843,0.8640839557047002,0.5061219500712468,0.5251155403384473,0.47980718099415753,0.1740418177342633,0.3632154410443036,0.36923404357185063,0.3567180649306465,0.39175445395244424,0.48234119993139757,0.5591024516324978,0.5086569959603366,0.3628474095327192,0.46441821176449594,0.4394941085706705,0.49347291421872796,0.3802362017049745,0.4265021524848862,0.49123078836237255,0.4911896529229125,0.48349177584896097,0.3777340296718421,0.6051073392882245,0.5971524885098916,0.5568894230555088,0.5245725348650012,0.6123029116279213,0.0,0.32108632634054857,0.46784366428508406,0.0,0.0,0.46312009143289856,0.0,0.0,0.3774354211670641,0.41581625129038,0.4677869500728775,0.0,0.39821017500389644,0.0,0.46570263193086703,0.0,0.0,0.0,0.44983757733098173,0.32735148873789655,0.3300643151391076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17640140673047833,0.27629596318061544,0.3982884962152369,0.27369366830089525,0.5324463339217687,0.4131590487180006,0.44149728991294523,0.45088650683712217,0.24677886574235686,0.35372683201546806,0.2552993272217918,0.37785838821696416,0.2676802303100061,0.3388093567891701,0.413013822576886,0.45212891944662204,0.3591899298392036,0.38303741224882515,0.36736725316222874,0.3485271886672763,0.3566246940197857,0.0,0.0,0.21694410203571834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2197378136435475,0.20950740532563827,0.29600065866108594,0.0,0.0,0.26919791108264235,0.0,0.0,0.22815200801323954,0.2992405932177462,0.2816243470815607,0.30540516152018427,0.26247619440061953,0.26725793990181046,0.3249931858464379,0.32482911399746683,0.2738380853053286,0.30274736391675106,0.3303034237683278,0.22598278662662352,0.23058231107563643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.3634633787785049,0.35288470139857964,0.5962955151917413,0.5582337120940792,0.8626825504252338,0.5752255444185721,0.6087373159207345,0.5413453836690678,0.1837055047093088,0.33810360784718796,0.35415909424955316,0.38151568234388833,0.4075838727540031,0.45621370439766906,0.6068287607631646,0.5323172509670258,0.35154464558007703,0.4482159859003332,0.42777361053936147,0.4810270678863162,0.383618219579148,0.42571386435508884,0.4906040482892422,0.48459721881954465,0.48230320802395,0.38976000638058395,0.6143476520082913,0.6081807367227157,0.5624970602020767,0.5198203267500503,0.6188191271212418,0.0,0.3346841747439875,0.4717153688652189,0.0,0.0,0.5379834126174785,0.0,0.0,0.39288566305182826,0.415392607058493,0.4605379305826318,0.0,0.39337190350579476,0.0,0.5027789162096497,0.0,0.0,0.0,0.44240690800415905,0.3186453995497516,0.3237311804496763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37143067971395993,0.35507647630277006,0.5652745889183279,0.4996895564117949,0.7295623751888343,0.5587078055712027,0.5616491087431541,0.5517550741642481,0.25151314209627174,0.4189187815391051,0.2955620624657058,0.4262254079912964,0.29391868147391165,0.3790979362224789,0.5246722720175967,0.5120623041907493,0.41036125956406977,0.41536167629737974,0.4043441903477287,0.3947904680769625,0.38147622404972026,0.3349728570615582,0.3800329432745002,0.2529227341112801,0.3133475556328449,0.3482060395257349,0.499828774274647,0.41646237443632117,0.42496410661243544,0.4437511665732927,0.0,0.3042187969630845,0.2756109788020922,0.47535698932915693,0.0,0.0,0.34702712743455777,0.0,0.0,0.23216161034912375,0.37242047789004573,0.3486424020029517,0.34941196903128,0.30109796090800955,0.30556603141008054,0.4722381215733549,0.43254183395038126,0.33516536758975235,0.32885751160438303,0.37077284167025937,0.24655880989774914,0.2561844637539821,0.2664473297301413,0.0,0.2914937173236538,0.30371925545159684,0.18470336892730677,0.0,0.0,0.0,0.0,0.0
