id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
alumina_plant_Region1Beijing,45684.20356383157,26674.087895008877,11431.751955003785,0.0,0.0,0.0,0.0,83790.04341384424
alumina_plant_Region2Tianjin,78516.23262649817,45844.04951566854,19647.44979242937,0.0,0.0,0.0,0.0,144007.7319345961
alumina_plant_Region12Anhui,16318.072178304805,9527.794239709734,4083.340388447016,0.0,0.0,0.0,0.0,29929.206806461556
alumina_plant_Region9Shanghai,19781.869865025943,11550.236062888996,4950.10116980957,0.0,0.0,0.0,0.0,36282.20709772451
alumina_plant_Region22Chongqing,8535.362487164091,1.1064888348310888e10,4.742095006418951e9,0.0,0.0,0.0,0.0,1.5806991890092327e10
alumina_plant_Region13Fujian,14886.806253872062,8692.10684469787,3725.1886477276726,0.0,0.0,0.0,0.0,27304.1017462976
alumina_plant_Region28Gansu,14746.401404741035,3.121348519378444e8,1.3377207940193328e8,0.0,0.0,0.0,0.0,4.4592167774118245e8
alumina_plant_Region19Guangdong,8914.204445221481,1.910077222465177e7,8.186045239136481e6,0.0,0.0,0.0,0.0,2.729573166823347e7
alumina_plant_Region20Guangxi,7415.53906779819,1.3541910553332495e10,5.8036759514282055e9,0.0,0.0,0.0,0.0,1.9345593920299767e10
alumina_plant_Region24Guizhou,8596.687072491302,1.3931606933124546e10,5.970688685624792e9,0.0,0.0,0.0,0.0,1.990230421543641e10
alumina_plant_Region21Hainan,47122.04535890496,27513.6148086677,11791.549203714752,0.0,0.0,0.0,0.0,86427.2093712874
alumina_plant_Region3Hebei,10056.584214169372,5.459924326168675e6,2.339967568358005e6,0.0,0.0,0.0,0.0,7.8099484787408495e6
alumina_plant_Region8Heilongjiang,30993.92482042756,18096.729512122045,7755.741219480865,0.0,0.0,0.0,0.0,56846.395552030466
alumina_plant_Region16Henan,7428.152680197019,1.3074268144109509e10,5.603257776046948e9,0.0,0.0,0.0,0.0,1.8677533348309135e10
alumina_plant_Region17Hubei,9532.209250208853,1.289877261734451e8,5.528045407433364e7,0.0,0.0,0.0,0.0,1.8427771245702896e8
alumina_plant_Region18Hunan,18615.81159812955,10869.398086619207,4658.3134656939465,0.0,0.0,0.0,0.0,34143.5231504427
alumina_plant_Region5Innermongolia,17560.294944884903,2.2995757141774373e9,9.855324489331923e8,0.0,0.0,0.0,0.0,3.2851257234055743e9
alumina_plant_Region10Jiangsu,37818.125427288636,22081.24303321797,9463.389871379093,0.0,0.0,0.0,0.0,69362.7583318857
alumina_plant_Region14Jiangxi,10297.839581578248,6.460926963458172e7,2.768968698624928e7,0.0,0.0,0.0,0.0,9.230925446041258e7
alumina_plant_Region7Jilin,138259.5797750763,80726.98866457082,34597.28085624448,0.0,0.0,0.0,0.0,253583.8492958916
alumina_plant_Region6Liaoning,148654.2652885531,86796.2365313974,37198.38708488471,0.0,0.0,0.0,0.0,272648.8889048352
alumina_plant_Region30Ningxia,23440.91832437084,13686.680886323205,5865.720379852801,0.0,0.0,0.0,0.0,42993.319590546846
alumina_plant_Region29Qinghai,31556.933372283038,18425.458885215994,7896.625236521137,0.0,0.0,0.0,0.0,57879.01749402017
alumina_plant_Region27Shaanxi,24142.19061215938,14096.139674778804,6041.202717762317,0.0,0.0,0.0,0.0,44279.5330047005
alumina_plant_Region15Shandong,7481.498237202465,3.066863462636415e10,1.3143700554156038e10,0.0,0.0,0.0,0.0,4.3812342662018425e10
alumina_plant_Region4Shanxi,8102.363198692986,4.713647851796764e10,2.0201347936271927e10,0.0,0.0,0.0,0.0,6.733783455660277e10
alumina_plant_Region23Sichuan,20846.164670161354,12171.656399980284,5216.42417142013,0.0,0.0,0.0,0.0,38234.245241561766
alumina_plant_Region26Tibet,983.1505661212988,574.0418474868511,246.01793463722257,0.0,0.0,0.0,0.0,1803.2103482453724
alumina_plant_Region31Xinjiang,7.350720857484631e6,4.291938108765734e6,1.8394020466138888e6,0.0,0.0,0.0,0.0,1.3482061012864254e7
alumina_plant_Region25Yunnan,10394.511646756919,3.0484900549853373e9,1.3064957378508635e9,0.0,0.0,0.0,0.0,4.354996187347847e9
alumina_plant_Region11Zhejiang,9003.820040230727,1.2045583272933615e7,5.162392831257275e6,0.0,0.0,0.0,0.0,1.7216979924231123e7
aluminum_transport_Region1Beijing_to_Region2Tianjin,0.0,0.0,920.39406292478,0.0,0.0,0.0,0.0,920.39406292478
aluminum_transport_Region1Beijing_to_Region3Hebei,0.0,0.0,367.58248533257466,0.0,0.0,0.0,0.0,367.58248533257466
aluminum_transport_Region1Beijing_to_Region4Shanxi,0.0,0.0,391.9432510402964,0.0,0.0,0.0,0.0,391.9432510402964
aluminum_transport_Region1Beijing_to_Region5Innermongolia,0.0,0.0,564.1037145556412,0.0,0.0,0.0,0.0,564.1037145556412
aluminum_transport_Region1Beijing_to_Region6Liaoning,0.0,0.0,23434.668637075207,0.0,0.0,0.0,0.0,23434.668637075207
aluminum_transport_Region1Beijing_to_Region7Jilin,0.0,0.0,76338.57906528842,0.0,0.0,0.0,0.0,76338.57906528842
aluminum_transport_Region1Beijing_to_Region8Heilongjiang,0.0,0.0,112691.49593975153,0.0,0.0,0.0,0.0,112691.49593975153
aluminum_transport_Region1Beijing_to_Region9Shanghai,0.0,0.0,1756.7595881762848,0.0,0.0,0.0,0.0,1756.7595881762848
aluminum_transport_Region1Beijing_to_Region10Jiangsu,0.0,0.0,1492.1999010599397,0.0,0.0,0.0,0.0,1492.1999010599397
aluminum_transport_Region1Beijing_to_Region11Zhejiang,0.0,0.0,1899.1662639343915,0.0,0.0,0.0,0.0,1899.1662639343915
aluminum_transport_Region1Beijing_to_Region12Anhui,0.0,0.0,1496.8225822377187,0.0,0.0,0.0,0.0,1496.8225822377187
