zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,6.960711965659245e8,3.59020684734484e8,1.1090344123507321e8,1.7077936317856023e6,0.0,0.0,0.0,1.1677031161672676e9
Region2Tianjin,3.2116141804439754e10,2.1673757841521235e9,6.870767397710572e8,1.7224134094097058e6,0.0,0.0,0.0,3.497231674177235e10
Region12Anhui,2.134345176773874e11,8.910509235206993e9,8.3379401836209e8,1.637619962058564e6,0.0,0.0,0.0,2.2318045855091855e11
Region9Shanghai,6.395902025824114e7,2.474453401976512e9,2.0847343224413528e9,2.9283002044753227e6,0.0,0.0,0.0,4.626075044880581e9
Region22Chongqing,5.3029906263281975e9,1.568945819710344e10,5.9151530591309805e9,1.6566148136747996e6,0.0,0.0,0.0,2.6909258497376293e10
Region13Fujian,6.030522037135831e7,6.668705363675949e9,2.3768916379148617e9,1.70901048537854e6,0.0,0.0,0.0,9.107611232447548e9
Region28Gansu,6.268892913772314e10,6.534434443557298e9,6.8010109384045e8,1.8484932097639919e6,0.0,0.0,0.0,6.990531316833066e10
Region19Guangdong,9.711560580389288e7,1.2971230789063166e10,6.711806455018641e9,2.0035333270678998e6,0.0,0.0,0.0,1.978215638321277e10
Region20Guangxi,2.24059065536997e10,2.3217631796504936e10,7.619523315585574e9,2.2663111687936774e6,0.0,0.0,0.0,5.3245327976959e10
Region24Guizhou,3.2368451382501587e11,3.282347858040817e10,1.0879477068800802e10,1.5232157913877117e6,0.0,0.0,0.0,3.673889926900162e11
Region21Hainan,6.281397436147544e10,3.207086647491696e9,8.217056585728734e8,1.5147935602734819e7,0.0,0.0,0.0,6.685791460314275e10
Region3Hebei,1.0438745247404385e11,1.0707998633569529e10,5.974463314884065e9,1.722390448169233e6,0.0,0.0,0.0,1.2107163681294562e11
Region8Heilongjiang,2.27133260707422e10,2.6101462479906235e9,4.768242294971227e8,1.5856424928297393e6,0.0,0.0,0.0,2.5801882190722775e10
Region16Henan,8.196498314478391e7,2.1068360213862244e10,7.1850497778939495e9,1.714629750334782e6,0.0,0.0,0.0,2.8337089604651314e10
Region17Hubei,7.966262939947267e7,7.964147314106637e9,7.35431143350291e8,1.5543316025092278e6,0.0,0.0,0.0,8.780795418458908e9
Region18Hunan,1.2380560807775569e8,3.6069831709159536e9,7.696681134219372e8,1.8946684609173564e6,0.0,0.0,0.0,4.502351560876564e9
Region5Innermongolia,2.8248002483369025e11,2.6372375401497204e10,5.610795053775522e10,1.6521579697205457e6,0.0,0.0,0.0,3.6496200293091235e11
Region10Jiangsu,1.3690610716836465e11,1.4300611084821104e10,4.842785062099684e9,1.8187403939918303e6,0.0,0.0,0.0,1.560513220556794e11
Region14Jiangxi,2.6499685882878998e11,9.538159343223396e9,7.893003381614493e8,1.2721261276049155e6,0.0,0.0,0.0,2.753255906363024e11
Region7Jilin,9.560235176256151e10,5.222838738714345e9,3.615364419347625e8,1.573944894190313e6,0.0,0.0,0.0,1.0118830088810481e11
Region6Liaoning,8.392508540411e7,4.029275678412297e9,8.833959456029599e8,1.9621254263899762e6,0.0,0.0,0.0,4.998558834845757e9
Region30Ningxia,1.8256157320705594e11,8.804632800359245e9,4.1168646626337337e9,1.9817015429999314e6,0.0,0.0,0.0,1.9548505237159192e11
Region29Qinghai,1.159892900029683e8,4.693300964060281e9,3.367859423712462e8,1.5583782042079316e6,0.0,0.0,0.0,5.147634574638703e9
Region27Shaanxi,2.815150794976605e11,1.317800052759635e10,4.678519340102129e9,1.6060002599542912e6,0.0,0.0,0.0,2.9937320536561896e11
Region15Shandong,6.636553100586549e11,6.611499678204444e10,1.759295912559833e10,1.752238635467101e6,0.0,0.0,0.0,7.473650182049332e11
Region4Shanxi,2.1556260742767437e10,6.632199566868376e10,3.391790587485927e10,1.597556589442628e6,0.0,0.0,0.0,1.2179775984289992e11
Region23Sichuan,1.55126376546631e10,1.5973835665820303e10,7.964156372892195e8,1.66658582675046e6,0.0,0.0,0.0,3.2284555543599373e10
Region26Tibet,6.592214514382862e10,1.898866223469e9,1.0219253748138985e8,1.5888340726072264e6,0.0,0.0,0.0,6.792479273885162e10
Region31Xinjiang,6.66038617763441e11,2.9523785648580975e10,1.3976471016760983e10,1.6378263928476756e6,0.0,0.0,0.0,7.095405122551758e11
Region25Yunnan,2.543674699536403e11,2.8529737468867733e10,5.883173576718167e9,1.5551340593341992e6,0.0,0.0,0.0,2.8878193613328546e11
Region11Zhejiang,6.2169134586003685e10,1.03786896227992e10,3.964589269093778e9,1.8426203947725517e6,0.0,0.0,0.0,7.651425609829144e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,593.0277405831532,0.0,0.0,0.0,0.0,593.0277405831532
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,277.91054818779537,0.0,0.0,0.0,0.0,277.91054818779537
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,218.2153554980937,0.0,0.0,0.0,0.0,218.2153554980937
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,356.17494941370353,0.0,0.0,0.0,0.0,356.17494941370353
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,25244.634789231608,0.0,0.0,0.0,0.0,25244.634789231608
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,26740.758780051525,0.0,0.0,0.0,0.0,26740.758780051525
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,33490.9907619762,0.0,0.0,0.0,0.0,33490.9907619762
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,1083.8129681664263,0.0,0.0,0.0,0.0,1083.8129681664263
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,1036.5087280232385,0.0,0.0,0.0,0.0,1036.5087280232385
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,1183.0148720939656,0.0,0.0,0.0,0.0,1183.0148720939656
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,1010.1184706348624,0.0,0.0,0.0,0.0,1010.1184706348624
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,1395.327619942573,0.0,0.0,0.0,0.0,1395.327619942573
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,1059.7008654161305,0.0,0.0,0.0,0.0,1059.7008654161305
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,402.0340441556024,0.0,0.0,0.0,0.0,402.0340441556024
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,450.95472337052263,0.0,0.0,0.0,0.0,450.95472337052263
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,804.2031284174863,0.0,0.0,0.0,0.0,804.2031284174863
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,942.7947656733676,0.0,0.0,0.0,0.0,942.7947656733676
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,1492.2760722537937,0.0,0.0,0.0,0.0,1492.2760722537937
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,727.1797235432239,0.0,0.0,0.0,0.0,727.1797235432239
