zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,4.067343599960392e10,3.152453569626998e9,2.4016280091508406e8,7.62499497087587e6,0.0,0.0,0.0,4.407367736511688e10
Region2Tianjin,9.863363004616852e7,3.9393334156460776e9,8.986376690110006e8,6.627929223643104e6,0.0,0.0,0.0,4.94323264392689e9
Region12Anhui,6.340989773261648e10,1.970352596615098e10,2.8057825632602644e9,6.087170719928593e6,0.0,0.0,0.0,8.592529343274765e10
Region9Shanghai,2.1243084993831936e10,5.849375018776948e9,2.552322826483469e9,2.7848484256509595e7,0.0,0.0,0.0,2.967263132334886e10
Region22Chongqing,5.2280978258130383e8,3.1169766183356907e10,1.2063217216369703e10,2.546359922456875e7,0.0,0.0,0.0,4.3781256781532486e10
Region13Fujian,3.551026396088009e11,3.4886498826808136e10,5.277906242674374e9,5.505881491886277e6,0.0,0.0,0.0,3.9527255055977527e11
Region28Gansu,6.322770709257672e11,4.35364629595491e10,1.7623286762434878e9,6.767356844105681e6,0.0,0.0,0.0,6.775826299184039e11
Region19Guangdong,3.2525509125865186e11,3.9694122198368126e10,1.2518235843851969e10,9.567866598668444e8,0.0,0.0,0.0,3.784242359607388e11
Region20Guangxi,2.6648869804278696e11,5.710345372316396e10,1.4362153661640656e10,2.2310225314449333e7,0.0,0.0,0.0,3.37976615652906e11
Region24Guizhou,1.490805460873369e11,7.10344923764938e10,1.799628404134311e10,5.82150569291632e6,0.0,0.0,0.0,2.3811714401086673e11
Region21Hainan,2.642422169426142e10,7.414181424689165e9,1.547871157092254e9,2.0036464632679033e8,0.0,0.0,0.0,3.558663892236963e10
Region3Hebei,4.510097981977276e11,4.504269858702172e10,7.449506982547782e9,6.465047613471079e6,0.0,0.0,0.0,5.035084688149106e11
Region8Heilongjiang,1.3459774869448222e11,1.187381566626175e10,5.953020946645172e8,5.835463824225644e6,0.0,0.0,0.0,1.470727019192327e11
Region16Henan,2.3753727072718548e10,8.719836387495163e9,1.8147139611772294e9,7.7071848040047055e6,0.0,0.0,0.0,3.4295984606194946e10
Region17Hubei,1.324150851862978e9,1.5432480286356562e10,2.173091294196051e9,1.0031544014845084e7,0.0,0.0,0.0,1.893975397643044e10
Region18Hunan,1.958527744865858e11,1.768731172906039e10,2.047341992161728e9,8.354725190082219e6,0.0,0.0,0.0,2.1559578293299802e11
Region5Innermongolia,4.073196057244634e11,7.186672607675768e10,6.056495248952339e10,5.95809630090271e8,0.0,0.0,0.0,5.403470939208347e11
Region10Jiangsu,3.270297055445197e9,2.661505982235437e10,7.502584304722262e9,7.049224730722655e6,0.0,0.0,0.0,3.739499040725255e10
Region14Jiangxi,1.6261306930594757e9,1.5941524153450268e10,1.9438440042788498e9,4.300112052181765e6,0.0,0.0,0.0,1.9515798962840775e10
Region7Jilin,9.954919173461972e10,1.4517751805542204e10,8.697716958448963e8,5.390987420702445e6,0.0,0.0,0.0,1.1494210622342752e11
Region6Liaoning,1.335421079418975e11,1.5343231469159763e10,2.185688560794393e9,7.046900337987841e6,0.0,0.0,0.0,1.5107807487218967e11
Region30Ningxia,2.4684288212452114e8,1.5373751276660362e10,4.305963931062668e9,8.65342294346357e6,0.0,0.0,0.0,1.993521151279101e10
Region29Qinghai,2.0448870954237408e10,9.230369393304777e9,5.780162336351439e8,5.288757974001488e6,0.0,0.0,0.0,3.026254533915133e10
Region27Shaanxi,2.4449035122900745e11,3.7285769051275505e10,4.799426377119175e9,5.177830362633185e6,0.0,0.0,0.0,2.865807244877648e11
Region15Shandong,2.3351411852866085e10,4.808057231179832e10,4.557705256828502e9,6.726284638162684e6,0.0,0.0,0.0,7.599641570613107e10
Region4Shanxi,1.764931692610087e11,1.1944166014935844e11,4.646916294961895e10,5.57821291133749e6,0.0,0.0,0.0,3.424095705728974e11
Region23Sichuan,1.283592177032707e11,3.914431122430059e10,2.7899163999545536e9,1.3997602649850378e7,0.0,0.0,0.0,1.703074429301757e11
Region26Tibet,3.4267352489755253e10,4.72550641503685e9,1.3283787999420547e8,9.112409816278704e6,0.0,0.0,0.0,3.913480919460258e10
Region31Xinjiang,2.2248508626051587e11,6.135463134990085e10,1.4714444116765411e10,1.1654118006828414e7,0.0,0.0,0.0,2.9856581584518896e11
Region25Yunnan,7.27508585374288e10,5.871008805731254e10,1.0059970446767044e10,4.932623354318964e6,0.0,0.0,0.0,1.4152584966486267e11
Region11Zhejiang,4.847873470083643e11,5.150297526052215e10,8.833858736145662e9,6.506784558020446e6,0.0,0.0,0.0,5.451306877895902e11
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,2167.229094071762,0.0,0.0,0.0,0.0,2167.229094071762
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,860.223828749537,0.0,0.0,0.0,0.0,860.223828749537
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,853.1198358820936,0.0,0.0,0.0,0.0,853.1198358820936
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,995.3345458237602,0.0,0.0,0.0,0.0,995.3345458237602
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,21445.687567635832,0.0,0.0,0.0,0.0,21445.687567635832
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,2753.908664522118,0.0,0.0,0.0,0.0,2753.908664522118
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,3273.5754325147263,0.0,0.0,0.0,0.0,3273.5754325147263
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,5101.04012899874,0.0,0.0,0.0,0.0,5101.04012899874
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,4889.802650598539,0.0,0.0,0.0,0.0,4889.802650598539
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,4063.5244302402357,0.0,0.0,0.0,0.0,4063.5244302402357
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,3618.6988702563303,0.0,0.0,0.0,0.0,3618.6988702563303
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,3246.340224067724,0.0,0.0,0.0,0.0,3246.340224067724
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,2708.170863069902,0.0,0.0,0.0,0.0,2708.170863069902
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,2323.562381586943,0.0,0.0,0.0,0.0,2323.562381586943
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,1600.8912395577458,0.0,0.0,0.0,0.0,1600.8912395577458
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,2787.692278321788,0.0,0.0,0.0,0.0,2787.692278321788
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,2211.925276848537,0.0,0.0,0.0,0.0,2211.925276848537
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,2374.8266302290194,0.0,0.0,0.0,0.0,2374.8266302290194
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,1802.0351498652176,0.0,0.0,0.0,0.0,1802.0351498652176
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,1720.0665326382366,0.0,0.0,0.0,0.0,1720.0665326382366
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,1463.6938802110512,0.0,0.0,0.0,0.0,1463.6938802110512
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,1757.5862221060493,0.0,0.0,0.0,0.0,1757.5862221060493
