zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,2.5932343137944674e9,1.450220431364248e9,5.73090326888366e7,6.898474824911859e6,0.0,0.0,0.0,4.107662252672464e9
Region2Tianjin,1.0570946599390741e10,1.9341723927432597e9,2.6133991303955078e8,4.910734977701061e6,0.0,0.0,0.0,1.2771369640151253e10
Region12Anhui,1.4132094773806969e10,8.27217127991685e9,1.085738051814033e9,4.279203363272574e6,0.0,0.0,0.0,2.3494283308901127e10
Region9Shanghai,1.312808308580702e10,4.630438566454759e9,4.805361066971992e9,1.661177280307856e8,0.0,0.0,0.0,2.2730000447264557e10
Region22Chongqing,3.3855360873386005e10,1.6355818369031576e10,4.9057003515614605e9,2.8316065947064597e7,0.0,0.0,0.0,5.514519565992611e10
Region13Fujian,2.3840084360051125e10,1.501553892735893e10,1.5785458506852934e9,2.7361422953570224e6,0.0,0.0,0.0,4.043690528039071e10
Region28Gansu,3.464253719509329e10,2.1995993558905037e10,6.736728961633232e8,6.141174339161168e6,0.0,0.0,0.0,5.731834482450082e10
Region19Guangdong,4.22918975500886e10,1.9670280195972767e10,4.681471914445099e9,5.862109414383188e8,0.0,0.0,0.0,6.7229860601944786e10
Region20Guangxi,2.4595471454860506e9,1.9633990131574688e10,4.40344079883929e9,1.4360441433845947e7,0.0,0.0,0.0,2.6511338517333874e10
Region24Guizhou,9.644123297345547e9,2.966723600473811e10,6.9862014920773e9,2.4250708895543567e6,0.0,0.0,0.0,4.6299985865050514e10
Region21Hainan,1.9530653126626065e9,3.3057950757555566e9,6.118615526279109e8,6.591835997201766e7,0.0,0.0,0.0,5.936640301018091e9
Region3Hebei,6.1765588765473564e10,2.2078538555627907e10,2.0838543131677136e9,4.603704488191656e6,0.0,0.0,0.0,8.593258533875737e10
Region8Heilongjiang,1.721147800263877e10,6.733211687345704e9,2.1643429352867058e8,2.1789166462745243e6,0.0,0.0,0.0,2.416330290015942e10
Region16Henan,3.317009309179025e8,3.500728800516125e9,8.842902361765981e8,6.685288112206697e6,0.0,0.0,0.0,4.723405255722833e9
Region17Hubei,7.648599726261538e9,7.536892874158181e9,8.881476219965264e8,1.0055551653074007e7,0.0,0.0,0.0,1.608369577406932e10
Region18Hunan,1.9559694338190548e10,9.322779124513536e9,8.284564976662557e8,6.5176902527113855e6,0.0,0.0,0.0,2.9717447650623055e10
Region5Innermongolia,1.7989958700498752e11,4.109144906846706e10,7.821115735345838e9,3.8136455963498093e6,0.0,0.0,0.0,2.2881596545439676e11
Region10Jiangsu,4.536203826638265e10,1.3557173067609661e10,2.6342607588698673e9,3.809098369177832e7,0.0,0.0,0.0,6.1591563076553955e10
Region14Jiangxi,3.7810462921255584e9,6.989477060370257e9,8.01412587995152e8,1.8662738911562571e6,0.0,0.0,0.0,1.1573802214382124e10
Region7Jilin,3.251942345559246e9,6.595368257601826e9,3.420346329690637e8,2.2848472694231155e6,0.0,0.0,0.0,1.0191630083399557e10
Region6Liaoning,4.923833958630314e10,1.1168400263469881e10,7.52570607111404e8,4.046029218744041e6,0.0,0.0,0.0,6.1163356486103165e10
Region30Ningxia,1.9724440968355515e10,7.46388499712475e9,2.0040044210681171e9,3.24033485160951e8,0.0,0.0,0.0,2.9516363871709328e10
Region29Qinghai,3.981057352548659e9,3.776860599631619e9,1.626222734431941e8,2.675622942054942e6,0.0,0.0,0.0,7.923215848565527e9
Region27Shaanxi,6.050388295779503e9,1.4446349765296408e10,1.100927743056376e9,1.0311395087528342e7,0.0,0.0,0.0,2.160797719921982e10
Region15Shandong,3.2484501837824636e9,1.789991509017718e10,1.4924038895347238e9,5.137744232541032e6,0.0,0.0,0.0,2.264590690772691e10
Region4Shanxi,6.408170609721273e9,2.255886788180987e10,7.19311933619947e9,3.3450562178270025e6,0.0,0.0,0.0,3.616350288394844e10
Region23Sichuan,3.101260123639073e10,1.9313343323444744e10,1.1027326865563905e9,1.4047347875071345e7,0.0,0.0,0.0,5.144272459426694e10
Region26Tibet,1.7672727964977e10,3.3668202588976545e9,4.7732786269151025e7,3.8180594633062775e6,0.0,0.0,0.0,2.1091099069607113e10
Region31Xinjiang,4.360383069396293e10,2.8948098745477524e10,2.0975237161725812e9,4.978665887860495e6,0.0,0.0,0.0,7.46544318215009e10
Region25Yunnan,1.8633851133840332e10,2.529194740465461e10,2.7315758553823037e9,2.176205755557207e6,0.0,0.0,0.0,4.66595505996328e10
Region11Zhejiang,4.0651015960045075e9,1.9141364767869804e10,2.4627713180071635e9,4.274051497552107e6,0.0,0.0,0.0,2.567351173337903e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,21587.89520965106,0.0,0.0,0.0,0.0,21587.89520965106
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,657.2420121847796,0.0,0.0,0.0,0.0,657.2420121847796
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,468.0123782295566,0.0,0.0,0.0,0.0,468.0123782295566
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,437.50113393647587,0.0,0.0,0.0,0.0,437.50113393647587
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,292624.86646909785,0.0,0.0,0.0,0.0,292624.86646909785
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,1167.2569972262431,0.0,0.0,0.0,0.0,1167.2569972262431
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,1406.083265027863,0.0,0.0,0.0,0.0,1406.083265027863
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,1327.4154519442332,0.0,0.0,0.0,0.0,1327.4154519442332
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,2030.4314913397286,0.0,0.0,0.0,0.0,2030.4314913397286
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,1056.0997768508084,0.0,0.0,0.0,0.0,1056.0997768508084
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,1512.450975569002,0.0,0.0,0.0,0.0,1512.450975569002
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,1072.4250142315443,0.0,0.0,0.0,0.0,1072.4250142315443
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,979.8330452623769,0.0,0.0,0.0,0.0,979.8330452623769
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,1939.028793794752,0.0,0.0,0.0,0.0,1939.028793794752
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,1065.7157368365192,0.0,0.0,0.0,0.0,1065.7157368365192
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,957.7395459725312,0.0,0.0,0.0,0.0,957.7395459725312
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,781.9867763248657,0.0,0.0,0.0,0.0,781.9867763248657
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,904.8630388644327,0.0,0.0,0.0,0.0,904.8630388644327
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,737.195670901369,0.0,0.0,0.0,0.0,737.195670901369
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,733.9989808631765,0.0,0.0,0.0,0.0,733.9989808631765
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,569.2718051868187,0.0,0.0,0.0,0.0,569.2718051868187
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,626.6325237927505,0.0,0.0,0.0,0.0,626.6325237927505
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,593.6089833321494,0.0,0.0,0.0,0.0,593.6089833321494
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,703.2224778394972,0.0,0.0,0.0,0.0,703.2224778394972
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,578.3034288872598,0.0,0.0,0.0,0.0,578.3034288872598
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,614.288011803349,0.0,0.0,0.0,0.0,614.288011803349
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,684.3337051220888,0.0,0.0,0.0,0.0,684.3337051220888
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,746.1578010470238,0.0,0.0,0.0,0.0,746.1578010470238
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,994.2312645828829,0.0,0.0,0.0,0.0,994.2312645828829
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,409.6578368263243,0.0,0.0,0.0,0.0,409.6578368263243
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,538.0361193922649,0.0,0.0,0.0,0.0,538.0361193922649
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,418.58106911864,0.0,0.0,0.0,0.0,418.58106911864
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,429.65140277041377,0.0,0.0,0.0,0.0,429.65140277041377
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,4639.784837819635,0.0,0.0,0.0,0.0,4639.784837819635
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,981.9195522338754,0.0,0.0,0.0,0.0,981.9195522338754
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,1182.4675028575716,0.0,0.0,0.0,0.0,1182.4675028575716
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,1186.2296318582728,0.0,0.0,0.0,0.0,1186.2296318582728
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,1723.982864848464,0.0,0.0,0.0,0.0,1723.982864848464
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,930.2875411999646,0.0,0.0,0.0,0.0,930.2875411999646
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,1295.6099737148384,0.0,0.0,0.0,0.0,1295.6099737148384
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,1000.4565126626297,0.0,0.0,0.0,0.0,1000.4565126626297
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,889.3189055324319,0.0,0.0,0.0,0.0,889.3189055324319
