type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},2.098239806488721e6,1.0247828824296452e11,4.391926638984187e10,0.0,0.0,0.0,0.0,1.4639965287261288e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.1932894914034157e9,0.0,0.0,0.0,0.0,2.1932894914034157e9
AluminumRefining,4.8645987044919264e8,1.6663443655204681e10,4.274887445145224e10,0.0,0.0,0.0,0.0,5.989877797710611e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.33941504372599e9,0.0,0.0,0.0,0.0,1.33941504372599e9
AluminumSmelting,465707.63989376987,2.717629798777396e10,7.235271731553606e9,0.0,0.0,0.0,0.0,3.441203542696746e10
ThermalAmmonia{Coal},2.3068853732599104e6,1.5537767777520145e10,0.0,0.0,0.0,0.0,0.0,1.5540074662893406e10
ThermalAmmoniaCCS{Coal},3.75122596404668e6,1.3220043701425042e7,0.0,0.0,0.0,0.0,0.0,1.697126966547172e7
ThermalAmmonia{CokingOvenGas},0.0,2.4887150759422584e6,0.0,0.0,0.0,0.0,0.0,2.4887150759422584e6
ThermalAmmonia{NaturalGas},4.324832611120477e6,6.158285966284875e8,0.0,0.0,0.0,0.0,0.0,6.201534292396079e8
ThermalAmmoniaCCS{NaturalGas},2.99851854256421e6,1.1127732779122693e7,0.0,0.0,0.0,0.0,0.0,1.4126251321686903e7
SyntheticAmmonia,1.361722432500828e7,1.95757415910546e7,0.0,0.0,0.0,0.0,0.0,3.319296591606288e7
OneWayTransmissionLink{Cement},0.0,0.0,1.6757385090062572e6,0.0,0.0,0.0,0.0,1.6757385090062572e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,3.692428217681527e10,0.0,0.0,0.0,0.0,3.692428217681527e10
OneWayTransmissionLink{DRI},0.0,0.0,4.6637440165228e8,0.0,0.0,0.0,0.0,4.6637440165228e8
DRIMaking,1.411121939578156e10,4.2333658250004654e9,0.0,0.0,0.0,0.0,0.0,1.834458522078203e10
ThermalMethanol{Coal},2.962296882371564e8,1.5454976460542553e10,0.0,0.0,0.0,0.0,0.0,1.5751206148779709e10
ThermalMethanolCCS{Coal},6.1023402484057965e6,4.444018389499031e7,0.0,0.0,0.0,0.0,0.0,5.054252414339611e7
ThermalMethanol{CokingOvenGas},0.0,8.487759634599397e6,0.0,0.0,0.0,0.0,0.0,8.487759634599397e6
ThermalMethanol{NaturalGas},0.0,8.210921370896553e8,0.0,0.0,0.0,0.0,0.0,8.210921370896553e8
ThermalMethanolCCS{NaturalGas},5.640161570700286e6,3.781861870397028e7,0.0,0.0,0.0,0.0,0.0,4.345878027467057e7
SyntheticMethanol,4.987436229187934e8,2.2949304905154926e8,0.0,0.0,0.0,0.0,0.0,7.282366719703426e8
Steelmaking,9.968899005791187e9,1.2950760071678705e11,0.0,0.0,0.0,0.0,0.0,1.3947649972257825e11
OneWayTransmissionLink{SteelScrap},0.0,0.0,5.695013223774036e8,0.0,0.0,0.0,0.0,5.695013223774036e8
CementPlant{Coal},79492.83782924392,7.079589107464683e7,1.0472561575749344e11,0.0,0.0,0.0,0.0,1.0479649114140591e11
ThermalPower{Coal},2.2525013265247263e7,7.158520179433725e10,4.354290328038498e10,4.7418975785225445e8,0.0,0.0,0.0,1.1562481984583972e11
ThermalPower{NaturalGas},4.417695164013585e10,6.399623691675964e9,7.762154830983717e9,2.3813531944272065e9,0.0,0.0,0.0,6.072008335722274e10
ThermalPowerCCS{Coal},3.435146783123315e10,5.160838139825888e9,1.0502331655505676e10,3.722217625659096e8,0.0,0.0,0.0,5.038685938913062e10
ThermalPowerCCS{NaturalGas},2.057894893400064e7,4.300277267800618e7,3.219346918353896e7,2.7430698862453803e7,0.0,0.0,0.0,1.2320588965799959e8
ThermalPower{Uranium},0.0,1.794648545753148e10,7.230196335267794e9,0.0,0.0,0.0,0.0,2.517668179279927e10
BECCSElectricity,2.5255412970785425e11,4.060978468359082e10,0.0,0.0,0.0,0.0,0.0,2.9316391439144507e11
HydroRes,0.0,1.3105469440457558e11,0.0,0.0,0.0,0.0,0.0,1.3105469440457558e11
VRE{Generic},1.6975312234765598e12,5.94162287514401e11,0.0,0.0,0.0,0.0,0.0,2.291693510990961e12
Electrolyzer,1.698089434089407e10,3.224481720770228e9,0.0,0.0,0.0,0.0,0.0,2.02053760616643e10
ThermalHydrogen{NaturalGas},7.032902814993494e9,4.343472701396183e9,2.0980948201016653e9,2.6163438895570956e7,0.0,0.0,0.0,1.3500633775386913e10
ThermalHydrogenCCS{NaturalGas},4.7894949496473275e7,8.012963468401319e7,4.6093328435266115e7,859487.5529483855,0.0,0.0,0.0,1.7497740016870096e8
ThermalHydrogen{Coal},5.367660781978444e7,1.45877308974696e9,3.899293400632472e8,2.5402795809035935e6,0.0,0.0,0.0,1.904919317210895e9
ThermalHydrogenCCS{Coal},2.6767825819817998e7,1.109028942047873e8,3.744282373111512e7,556958.4566047319,0.0,0.0,0.0,1.7567050221232516e8
OneWayTransmissionLink{Electricity},1.1341244864840279e10,1.7511636471402897e10,0.0,0.0,0.0,0.0,0.0,2.8852881336243176e10
Battery,9.184901181856302e10,3.2474174918460873e10,3.1697148814687915e7,0.0,0.0,0.0,0.0,1.2435488388583858e11
GasStorage{Hydrogen},2.228594546296947e8,6.293089843018179e7,0.0,0.0,0.0,0.0,0.0,2.857903530598765e8
TransmissionLink{Electricity},7.049137178941785e9,1.3920561368652401e10,0.0,0.0,0.0,0.0,0.0,2.0969698547594185e10
CO2Injection,3.089693632511592e10,4.577986130522195e9,0.0,0.0,0.0,0.0,0.0,3.5474922455638115e10
OneWayTransmissionLink{CO2Captured},564939.0586051462,9.456064966793584e6,0.0,0.0,0.0,0.0,0.0,1.002100402539873e7
Node{Electricity},0.0,0.0,0.0,0.0,9.116336068263747e7,0.0,0.0,9.116336068263747e7
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,1.8733502428672375e11,0.0,1.8733502428672375e11
Node{Coal},0.0,0.0,0.0,0.0,0.0,1.1936543558684453e12,0.0,1.1936543558684453e12
Node{Uranium},0.0,0.0,0.0,0.0,0.0,2.8899330904314457e10,0.0,2.8899330904314457e10
Node{Hydrogen},0.0,0.0,0.0,0.0,1.0451387302475935e7,0.0,0.0,1.0451387302475935e7
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,4.154041230768648e7,4.154041230768648e7
Node{Biomass},0.0,0.0,0.0,0.0,0.0,6.798520228167937e11,0.0,6.798520228167937e11
