time,subperiod_index,weight
1,9,15.0
2,9,15.0
3,9,15.0
4,9,15.0
5,9,15.0
6,9,15.0
7,9,15.0
8,9,15.0
9,9,15.0
10,9,15.0
11,9,15.0
12,9,15.0
13,9,15.0
14,9,15.0
15,9,15.0
16,9,15.0
17,9,15.0
18,9,15.0
19,9,15.0
20,9,15.0
21,9,15.0
22,9,15.0
23,9,15.0
24,9,15.0
25,43,18.0
26,43,18.0
27,43,18.0
28,43,18.0
29,43,18.0
30,43,18.0
31,43,18.0
32,43,18.0
33,43,18.0
34,43,18.0
35,43,18.0
36,43,18.0
37,43,18.0
38,43,18.0
39,43,18.0
40,43,18.0
41,43,18.0
42,43,18.0
43,43,18.0
44,43,18.0
45,43,18.0
46,43,18.0
47,43,18.0
48,43,18.0
49,78,28.0
50,78,28.0
51,78,28.0
52,78,28.0
53,78,28.0
54,78,28.0
55,78,28.0
56,78,28.0
57,78,28.0
58,78,28.0
59,78,28.0
60,78,28.0
61,78,28.0
62,78,28.0
63,78,28.0
64,78,28.0
65,78,28.0
66,78,28.0
67,78,28.0
68,78,28.0
69,78,28.0
70,78,28.0
71,78,28.0
72,78,28.0
73,107,67.0
74,107,67.0
75,107,67.0
76,107,67.0
77,107,67.0
78,107,67.0
79,107,67.0
80,107,67.0
81,107,67.0
82,107,67.0
83,107,67.0
84,107,67.0
85,107,67.0
86,107,67.0
87,107,67.0
88,107,67.0
89,107,67.0
90,107,67.0
91,107,67.0
92,107,67.0
93,107,67.0
94,107,67.0
95,107,67.0
96,107,67.0
97,158,39.0
98,158,39.0
99,158,39.0
100,158,39.0
101,158,39.0
102,158,39.0
103,158,39.0
104,158,39.0
105,158,39.0
106,158,39.0
107,158,39.0
108,158,39.0
109,158,39.0
110,158,39.0
111,158,39.0
112,158,39.0
113,158,39.0
114,158,39.0
115,158,39.0
116,158,39.0
117,158,39.0
118,158,39.0
119,158,39.0
120,158,39.0
121,185,27.0
122,185,27.0
123,185,27.0
124,185,27.0
125,185,27.0
126,185,27.0
127,185,27.0
128,185,27.0
129,185,27.0
130,185,27.0
131,185,27.0
132,185,27.0
133,185,27.0
134,185,27.0
135,185,27.0
136,185,27.0
137,185,27.0
138,185,27.0
139,185,27.0
140,185,27.0
141,185,27.0
142,185,27.0
143,185,27.0
144,185,27.0
145,206,19.0
146,206,19.0
147,206,19.0
148,206,19.0
149,206,19.0
150,206,19.0
151,206,19.0
152,206,19.0
153,206,19.0
154,206,19.0
155,206,19.0
156,206,19.0
157,206,19.0
158,206,19.0
159,206,19.0
160,206,19.0
161,206,19.0
162,206,19.0
163,206,19.0
164,206,19.0
165,206,19.0
166,206,19.0
167,206,19.0
168,206,19.0
169,208,8.0
170,208,8.0
171,208,8.0
172,208,8.0
173,208,8.0
174,208,8.0
175,208,8.0
176,208,8.0
177,208,8.0
178,208,8.0
179,208,8.0
180,208,8.0
181,208,8.0
182,208,8.0
183,208,8.0
184,208,8.0
185,208,8.0
186,208,8.0
187,208,8.0
188,208,8.0
189,208,8.0
190,208,8.0
191,208,8.0
192,208,8.0
193,253,22.0
194,253,22.0
195,253,22.0
196,253,22.0
197,253,22.0
198,253,22.0
199,253,22.0
200,253,22.0
201,253,22.0
202,253,22.0
203,253,22.0
204,253,22.0
205,253,22.0
206,253,22.0
207,253,22.0
208,253,22.0
209,253,22.0
210,253,22.0
211,253,22.0
212,253,22.0
213,253,22.0
214,253,22.0
215,253,22.0
216,253,22.0
217,263,52.0
218,263,52.0
219,263,52.0
220,263,52.0
221,263,52.0
222,263,52.0
223,263,52.0
224,263,52.0
225,263,52.0
226,263,52.0
227,263,52.0
228,263,52.0
229,263,52.0
230,263,52.0
231,263,52.0
232,263,52.0
233,263,52.0
234,263,52.0
235,263,52.0
236,263,52.0
237,263,52.0
238,263,52.0
239,263,52.0
240,263,52.0
241,327,62.0
242,327,62.0
243,327,62.0
244,327,62.0
245,327,62.0
246,327,62.0
247,327,62.0
248,327,62.0
249,327,62.0
250,327,62.0
251,327,62.0
252,327,62.0
253,327,62.0
254,327,62.0
255,327,62.0
256,327,62.0
257,327,62.0
258,327,62.0
259,327,62.0
260,327,62.0
261,327,62.0
262,327,62.0
263,327,62.0
264,327,62.0
265,364,8.0
266,364,8.0
267,364,8.0
268,364,8.0
269,364,8.0
270,364,8.0
271,364,8.0
272,364,8.0
273,364,8.0
274,364,8.0
275,364,8.0
276,364,8.0
277,364,8.0
278,364,8.0
279,364,8.0
280,364,8.0
281,364,8.0
282,364,8.0
283,364,8.0
284,364,8.0
285,364,8.0
286,364,8.0
287,364,8.0
288,364,8.0
