zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,2.859849711001693e10,3.379797682688215e9,5.966976883332695e9,2.887168335006455e8,821.4136614675532,0.0,0.0,3.823398933095215e10
Region2Tianjin,1.6924535337952024e10,3.170167076471879e9,2.568061995713695e9,1.1097373479049659e9,862.7965634423861,0.0,0.0,2.3772502620839127e10
Region3Hebei,1.447467597278348e11,1.0911620925366692e8,2.7712889629162266e10,7.9827854466516285e9,848.3362155855989,0.0,0.0,1.805515518612386e11
Region4Shanxi,1.5055426004920947e11,2.1574003019361076e10,7.204719550209178e10,3.7191480918383e10,826.4325570737516,0.0,0.0,2.813669403154779e11
Region5Innermongolia,1.2809097417670021e11,5.924881581971471e11,3.558563426968194e10,3.123720613949271e10,563235.9966822818,0.0,0.0,7.874025360190186e11
Region6Liaoning,4.306950787365725e10,401958.69240637496,1.0412784085658442e10,1.2573718289439533e9,820.0625762947548,0.0,0.0,5.4740066567014626e10
Region7Jilin,1.305031123334841e10,1.4064556004190598e11,7.842741009849924e9,3.597409997715422e8,116069.88347711154,0.0,0.0,1.6189846935475934e11
Region8Heilongjiang,1.4563851786887712e10,5.145828442736261e10,4.582940494372727e9,7.84311380397094e8,733.6535946105547,0.0,0.0,7.138938882267374e10
Region9Shanghai,3.3221885070891426e10,1.9536586107115364e10,4.849577663326231e9,2.93490853046997e9,845.8612724676764,0.0,0.0,6.054295821766427e10
Region10Jiangsu,1.2959273904090497e11,6.126245783760123e10,2.2084775871113358e10,7.908426100645112e9,869.7776655564923,0.0,0.0,2.2084839972004236e11
Region11Zhejiang,9.375490896095332e10,15816.020860284225,1.0975301067596966e10,9.596323663239376e9,870.4465986265647,0.0,0.0,1.1432655037825713e11
Region12Anhui,3.446482561796201e10,3.7229252800624664e10,7.067493574723137e9,9.237558645324721e8,851.7856399848962,0.0,0.0,7.968532870962793e10
Region13Fujian,5.2154834635810104e10,15126.421678403494,9.01316147212109e9,4.1664990977594013e9,853.8054400625448,0.0,0.0,6.533451118591772e10
Region14Jiangxi,2.519033213328589e10,1.9617157998886917e11,9.400936911374653e9,7.871052302020757e8,710.2190442067547,0.0,0.0,2.3154995497395087e11
Region15Shandong,8.909174993893945e10,5.500572761166449e11,6.729663050407469e10,1.7755143065738274e10,857.6273778179839,0.0,0.0,7.242008004830247e11
Region16Henan,4.567871478558201e10,19512.325504956814,2.366516756532012e10,7.677241718656996e9,839.1869981292446,0.0,0.0,7.702114442107162e10
Region17Hubei,2.933234006342798e10,18214.300094615865,1.0588559503797415e10,7.52604357395947e8,820.7519029899244,0.0,0.0,4.067352295967334e10
Region18Hunan,2.4328739033914833e10,1.83798969203099e7,5.45568078460773e9,7.77664360662445e8,805.4603871492178,0.0,0.0,3.058046488156571e10
Region19Guangdong,9.63623430255586e10,1.7967390469620605e11,2.0639930990847317e10,7.513864842869721e9,1.2604528856988702e7,0.0,0.0,3.042026480843387e11
Region20Guangxi,5.565884943736002e10,17700.252469925235,2.6254684545383755e10,8.038572298869631e9,1.1820029480500766e6,0.0,0.0,8.995330598481392e10
Region22Chongqing,2.090934488262434e10,5.724011815753176e9,1.6870906402553484e10,5.883110716545707e9,8.159706487800159e6,0.0,0.0,4.939553352396451e10
Region23Sichuan,2.7106494020784508e10,2.222010846343366e10,1.8426840566237446e10,9.514012619116281e8,781.7996889563002,0.0,0.0,6.870484509416693e10
Region24Guizhou,5.216548029748947e10,3.011422959079858e11,3.2813251245291435e10,1.1733053484212534e10,745.693263873813,0.0,0.0,3.978540816806724e11
Region25Yunnan,2.561173309102944e10,7.934826651562735e10,2.408649352041757e10,4.0005766584799705e9,776.6770112503391,0.0,0.0,1.3304707056223135e11
Region27Shaanxi,5.16143185800291e10,1.6744223069458374e11,1.1105992070500257e10,6.610510896537298e9,760.407700057915,0.0,0.0,2.367730530020581e11
Region28Gansu,1.0609924280070593e10,7.815275534831671e10,6.230391330472326e9,5.3183736589380944e8,1122.7317379563171,0.0,0.0,9.552490944748517e10
Region29Qinghai,5.678020851587605e9,2.799304366286701e10,5.200107230441845e9,6.307024458256252e8,737.7885937416802,0.0,0.0,3.950187492851067e10
Region30Ningxia,3.3793315380608536e10,1.3425799820183154e11,7.906236512081421e9,5.222896992430737e9,1.9957094837409216e6,0.0,0.0,1.8118244279643594e11
Region31Xinjiang,5.14828084364748e10,6.183044718341715e11,2.8983923545820545e10,1.2326422265455347e10,577655.3723872099,0.0,0.0,7.110982037372947e11
Region21Hainan,1.0792412394971523e10,5.387062379506254e10,2.9331494169110155e9,1.1041936220887716e9,1.3702663639314272e7,0.0,0.0,6.871408189267316e10
Region26Tibet,1.6039135838010902e9,6.121582897214477e10,1.6651086925929327e9,1.001547510831451e8,762.1745305543873,0.0,0.0,6.458500676179647e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,0.35037325532445973,0.0,0.0,0.0,0.35037325532445973
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,0.21536451865280026,0.0,0.0,0.0,0.21536451865280026
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,0.20912228090016843,0.0,0.0,0.0,0.20912228090016843
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.2910028496199662,0.0,0.0,0.0,0.2910028496199662
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,10.335942296247731,0.0,0.0,0.0,10.335942296247731
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,21.418136855392063,0.0,0.0,0.0,21.418136855392063
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,26.071366495430482,0.0,0.0,0.0,26.071366495430482
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,0.9517982205052311,0.0,0.0,0.0,0.9517982205052311
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,0.8094539874487303,0.0,0.0,0.0,0.8094539874487303
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,0.9714188447434089,0.0,0.0,0.0,0.9714188447434089
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,0.8217814200155656,0.0,0.0,0.0,0.8217814200155656
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,1.3868425597215452,0.0,0.0,0.0,1.3868425597215452
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.9317720058718081,0.0,0.0,0.0,0.9317720058718081
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,0.31472135559201136,0.0,0.0,0.0,0.31472135559201136
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,0.37454470132564616,0.0,0.0,0.0,0.37454470132564616
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,0.6846250289820125,0.0,0.0,0.0,0.6846250289820125
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,0.838270065173775,0.0,0.0,0.0,0.838270065173775
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,0.7722810730802907,0.0,0.0,0.0,0.7722810730802907
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,0.0,0.511129697008384,0.0,0.0,0.0,0.511129697008384
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,0.0,0.6315643468514159,0.0,0.0,0.0,0.6315643468514159
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,0.0,0.5736168020639077,0.0,0.0,0.0,0.5736168020639077
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,0.0,0.7842881026911682,0.0,0.0,0.0,0.7842881026911682
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,0.0,0.6147967946991022,0.0,0.0,0.0,0.6147967946991022
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,0.0,0.7792937943052809,0.0,0.0,0.0,0.7792937943052809
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.469731833142765,0.0,0.0,0.0,0.469731833142765
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,0.0,0.6425423088749105,0.0,0.0,0.0,0.6425423088749105
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,0.0,0.7305199328560725,0.0,0.0,0.0,0.7305199328560725
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,0.0,0.5158772307252325,0.0,0.0,0.0,0.5158772307252325
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,0.0,1.6824526787120149,0.0,0.0,0.0,1.6824526787120149
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,0.0,0.30940491604616316,0.0,0.0,0.0,0.30940491604616316
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,0.0,0.2167577951370276,0.0,0.0,0.0,0.2167577951370276
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,0.0,0.20970805384306732,0.0,0.0,0.0,0.20970805384306732
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.30706867767916535,0.0,0.0,0.0,0.30706867767916535
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,0.0,24.50304610412254,0.0,0.0,0.0,24.50304610412254
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,0.0,20.850399405439035,0.0,0.0,0.0,20.850399405439035
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,0.0,25.380672595507153,0.0,0.0,0.0,25.380672595507153
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,0.0,1.0841091036217718,0.0,0.0,0.0,1.0841091036217718
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,0.0,0.8906271765887129,0.0,0.0,0.0,0.8906271765887129
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,0.0,1.1079484956424401,0.0,0.0,0.0,1.1079484956424401
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,0.0,0.8723325774928252,0.0,0.0,0.0,0.8723325774928252
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,0.0,1.6397673432751636,0.0,0.0,0.0,1.6397673432751636
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.9759512078702444,0.0,0.0,0.0,0.9759512078702444
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,0.0,0.28733884684557304,0.0,0.0,0.0,0.28733884684557304
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,0.0,0.3678777312578307,0.0,0.0,0.0,0.3678777312578307
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,0.0,0.6830616691396546,0.0,0.0,0.0,0.6830616691396546
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,0.0,0.8399903125342244,0.0,0.0,0.0,0.8399903125342244
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,0.0,0.7752941530591876,0.0,0.0,0.0,0.7752941530591876
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,0.0,0.509901835753533,0.0,0.0,0.0,0.509901835753533
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,0.0,0.6316243984478043,0.0,0.0,0.0,0.6316243984478043
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,0.0,0.5667749602869888,0.0,0.0,0.0,0.5667749602869888
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,0.0,0.7720153370757715,0.0,0.0,0.0,0.7720153370757715
