type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,7.112771882752632e11,5.624211335367859e9,1.4526588433642426e11,0.0,0.0,0.0,0.0,8.621672839470554e11
AluminaPlant{NaturalGas},8.263058781612726e10,43.3946244223568,1.6199366961879324e11,6.942585840805405e10,0.0,0.0,0.0,3.1405011588636914e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,3.5797567896362367e9,0.0,0.0,0.0,3.5797567896362367e9
AluminumRefining,7.534223088124156e11,6.290260172507868e9,1.6136839419479694e10,4.139790889928806e10,0.0,0.0,0.0,8.172473173036913e11
OneWayTransmissionLink{AluminumScrap},6.151798998480087e10,0.0,0.0,6.84439602123064e8,0.0,0.0,0.0,6.2202429586923935e10
AluminumSmelting,6.225913966445681e10,38.77152025403113,4.2959123106408005e10,1.143723454576688e10,5222.644479515559,0.0,0.0,1.166555025780477e11
ThermalAmmonia{Coal},8.455098754234094e10,69.85520698630212,1.7495731433274353e10,0.0,0.0,0.0,0.0,1.020467190454705e11
ThermalAmmoniaCCS{Coal},17626.118686523274,178.53579059241557,7327.1251180310255,0.0,0.0,0.0,0.0,25131.779595146712
ThermalAmmonia{CokingOvenGas},686.524003661145,0.0,2.4730483060592586e8,0.0,0.0,0.0,0.0,2.473055171299295e8
ThermalAmmonia{NaturalGas},9.748820779171412e9,103.10893338986502,2.6582866820083466e9,0.0,0.0,0.0,0.0,1.240710756428869e10
ThermalAmmoniaCCS{NaturalGas},11672.026262789412,1110.0423205158722,5798.029574432719,0.0,0.0,0.0,0.0,18580.098157738004
SyntheticAmmonia,0.0,1.7616794628716794e12,4.404262721211183e11,0.0,0.0,0.0,0.0,2.202105734992798e12
OneWayTransmissionLink{Cement},0.0,0.0,0.0,508.0856792489823,0.0,0.0,0.0,508.0856792489823
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,6.491840460882513e10,0.0,0.0,0.0,6.491840460882513e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,99469.06438452368,0.0,0.0,0.0,99469.06438452368
DRIMaking,1.0708698771680109e10,7.962174530849299e9,2.3886523598462515e9,0.0,0.0,0.0,0.0,2.105952566237566e10
ThermalMethanol{Coal},1.0800650025582115e11,3.1065956701243413e6,1.5467884478706982e10,0.0,0.0,0.0,0.0,1.2347749133019826e11
ThermalMethanolCCS{Coal},53946.68753479758,123.11873944020596,10304.45064647176,0.0,0.0,0.0,0.0,64374.25692070955
ThermalMethanol{CokingOvenGas},2150.8333914194905,0.0,4840.641919138243,0.0,0.0,0.0,0.0,6991.475310557733
ThermalMethanol{NaturalGas},1.0474501613415627e10,0.0,8.614413882639915e8,0.0,0.0,0.0,0.0,1.1335943001679619e10
ThermalMethanolCCS{NaturalGas},283709.84878575633,278.1392915546208,30796.80462318727,0.0,0.0,0.0,0.0,314784.79270049825
SyntheticMethanol,0.0,448.04396968052083,3510.0288277864715,0.0,0.0,0.0,0.0,3958.0727974669926
OneWayTransmissionLink{SteelScrap},1.3756708009128778e9,0.0,0.0,5.834520071917545e7,0.0,0.0,0.0,1.4340160016320531e9
CementPlant{Coal},2.483488461151314e11,2.868325771762606e8,8.391994516524692e7,1.2413951994048564e11,0.0,0.0,0.0,3.7285911857795856e11
ThermalPower{Coal},6.397125934718936e11,39.060783212930254,8.29067780897652e10,1.1457202650478326e11,8988.000580052822,0.0,0.0,8.371914070935033e11
ThermalPower{NaturalGas},1.1728627469196504e11,80.71154708141616,1.699435226772506e10,8.60481437405371e9,2.0233962309561834e9,0.0,0.0,1.4490883764541153e11
ThermalPowerCCS{Coal},62609.46927175997,203.98610894963903,10197.035566741257,13564.092824825968,5707.312289982532,0.0,0.0,92281.89606225936
ThermalPowerCCS{NaturalGas},44597.026201959416,208.93484472759206,7329.400355095601,5471.57409899372,4853.93749595269,0.0,0.0,62460.87299672902
ThermalPower{Uranium},2.8899391942188644e10,0.0,1.9023326421840015e10,7.230211606064734e9,0.0,0.0,0.0,5.515292997009339e10
BECCSElectricity,1.0847544799304243e11,1.8595720308475452e10,4.692784787734126e9,0.0,0.0,0.0,0.0,1.3176395308925201e11
HydroRes,0.0,0.0,1.3105562239171962e11,0.0,0.0,0.0,0.0,1.3105562239171962e11
VRE{Generic},0.0,4.760399128875561e12,4.882896844718173e11,0.0,0.0,0.0,0.0,5.248688813347378e12
Electrolyzer,0.0,5.5960692749065695e9,8.93620196601261e8,0.0,0.0,0.0,0.0,6.489689471507831e9
ThermalHydrogen{NaturalGas},5.625538637224961e10,1.4234357705622284e9,4.439128528580994e9,3.3662090781437755e9,5.126028992783416e6,0.0,0.0,6.548928577852939e10
ThermalHydrogenCCS{NaturalGas},64944.5629042158,8513.036702360307,13091.342757381011,10544.636089456593,90.62947104083909,0.0,0.0,97184.20792445455
ThermalHydrogen{Coal},1.4407564254849945e10,24.866982742827066,7.198860133481505e9,3.1009222279252977e9,1.6643583192588573e6,0.0,0.0,2.470901099944299e10
ThermalHydrogenCCS{Coal},35654.90209456658,17202.0482116573,20805.043989865822,9052.623688467069,49.17443385800675,0.0,0.0,82763.79241841477
OneWayTransmissionLink{Electricity},0.0,6.0317066525933e10,1.6205677353819221e10,0.0,0.0,0.0,0.0,7.652274387975223e10
Battery,0.0,8.90312306428408e9,2.1738127443924297e10,3.768365792667782e8,0.0,0.0,0.0,3.1018087087475155e10
GasStorage{Hydrogen},0.0,5.3509725795320034e7,4.215789396802812e6,0.0,0.0,0.0,0.0,5.772551519212285e7
TransmissionLink{Electricity},0.0,6.720379731031916e10,1.2492034387066154e10,0.0,0.0,0.0,0.0,7.969583169738531e10
CO2Injection,0.0,453.01608927462826,7063.036599390238,0.0,0.0,0.0,0.0,7516.052688664866
OneWayTransmissionLink{CO2Captured},0.0,2.6370615720501584e6,2.8807768375856346e6,0.0,0.0,0.0,0.0,5.517838409635793e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,21053.660206510714,0.0,21053.660206510714
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,5263.720954890396,0.0,5263.720954890396
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,6.444074830141185,6.444074830141185
Total,3.1093584767557256e12,6.70434056511933e12,1.6519222238233442e12,4.5289262697521265e11,2.0302115299669762e9,26317.38116140111,6.444074830141185,1.1920544130527402e13
