zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,1.848413755544837e10,5.3636999132253295e8,4.120639484783899e9,4.8599640247513634e8,6.5629130964158975e7,0.0,0.0,2.3692772564994095e10
Region2Tianjin,5.744205723580784e9,8.565571441972968e9,1.8590688329610844e9,4.907043851043488e8,4.6315930176799394e7,0.0,0.0,1.6705866313795986e10
Region3Hebei,9.759319203398743e10,1.3411484339563293e10,3.1740394405455074e10,2.8734475446776314e9,2.0618496473244917e7,0.0,0.0,1.4563913682015668e11
Region4Shanxi,5.538923591548516e10,3.2835909710608892e9,2.1650002079884113e10,7.417368100232597e9,3.378247404100352e7,0.0,0.0,8.777397954070375e10
Region5Innermongolia,7.043155916363864e10,4.075858208696821e10,3.865537407498964e10,1.3992708392016354e10,3.1179943982515633e6,0.0,0.0,1.638413417120111e11
Region6Liaoning,2.615320259670094e10,5.179942634063962e10,1.2137470655405132e10,7.496971031789258e8,1.3441673021554053e6,0.0,0.0,9.084114086322678e10
Region7Jilin,1.4362055307060808e10,2.735979343547151e9,7.632714180027217e9,3.522759421559357e8,295785.36494397407,0.0,0.0,2.508332055815606e10
Region8Heilongjiang,1.1232346238712336e10,1.0915874550097343e10,7.095024709331267e9,2.3059373086422318e8,418092.7011004568,0.0,0.0,2.947425732170627e10
Region9Shanghai,2.149247054370533e10,4.305748928845006e8,4.0013646044147034e9,1.2295492900720394e9,1.1238714077762146e8,0.0,0.0,2.72663464718542e10
Region10Jiangsu,1.0431943349609592e11,6.623097638086498e9,2.0655255154362198e10,3.964238326931704e9,8.941086316363567e7,0.0,0.0,1.3565143547863995e11
Region11Zhejiang,5.216854593224307e10,3.919940669110992e9,2.1629690462012062e10,3.1114691314532633e9,5.02647829298815e7,0.0,0.0,8.087991097774927e10
Region12Anhui,5.154968317509433e10,8.944033162982319e9,1.1651308350531218e10,1.1866044071656148e9,6.7730426463146005e6,0.0,0.0,7.33384021384198e10
Region13Fujian,4.307899133908287e10,2.2221597736905342e10,1.7510558588132828e10,1.7457954736243603e9,345885.6603501505,0.0,0.0,8.455728902340575e10
Region14Jiangxi,3.697848671906418e10,5.965396456166607e9,8.918376615398062e9,7.96488945629133e8,296114.2569908805,0.0,0.0,5.265904485051498e10
Region15Shandong,4.920870273416654e10,1.1223890920536396e10,1.949560789013372e10,1.7925833140076451e9,1.7635747021822102e7,0.0,0.0,8.173842060586613e10
Region16Henan,3.9379955838709175e10,4.528755309712566e9,4.392140742656621e9,1.0887218542557395e9,5.618021764077411e7,0.0,0.0,4.944575396297488e10
Region17Hubei,4.2436162551410835e10,7.334452751854608e9,9.530011696134756e9,8.276332735219983e8,9.370430161702054e6,0.0,0.0,6.01376307030839e10
Region18Hunan,4.0695928423820915e10,5.509302350166904e10,1.1540079614697388e10,8.55527778392022e8,3.318669427615709e6,0.0,0.0,1.0818787798800699e11
Region19Guangdong,9.805633141248666e10,3.735075776335039e10,2.157895114618916e10,5.852888943011283e9,7.362782938744324e8,0.0,0.0,1.6357520755891193e11
Region20Guangxi,5.807701837131756e10,7.0158176183379755e9,2.6242708004392445e10,5.544502896529435e9,7.1586036722752955e6,0.0,0.0,9.688720549424968e10
Region22Chongqing,1.852380424138368e10,1.1514632098591359e9,1.1778930195348595e10,4.1935425138792696e9,1.6223782898459004e7,0.0,0.0,3.566396394336914e10
Region23Sichuan,5.053893420262106e10,4.257319614321781e10,2.2130646156301662e10,1.5188309814350836e9,2.4164761795510206e7,0.0,0.0,1.1678577224537114e11
Region24Guizhou,3.2141091032160538e10,1.6516499641468306e10,3.013932960448854e10,7.231454390112143e9,402314.15808281844,0.0,0.0,8.60287769823876e10
Region25Yunnan,4.142230866997029e10,8.828693653134758e9,2.6246813786977715e10,2.4891711166564503e9,165748.44738861916,0.0,0.0,7.89871529751866e10
Region27Shaanxi,3.0931751272529907e10,5.228316201734101e9,1.5890612211771103e10,1.2723257568882213e9,154689.12325663774,0.0,0.0,5.3323160132046585e10
Region28Gansu,1.371291302859842e10,2.5151048618154144e10,2.142486931522381e10,6.750089414490917e8,2.5767002607310447e6,0.0,0.0,6.0966416603686195e10
Region29Qinghai,2.8974055259547853e9,1.1679829249740818e10,4.385047191874905e9,2.0898327531899527e8,235264.62225151068,0.0,0.0,1.9171500507511757e10
Region30Ningxia,1.534815030720095e10,1.1559437213621449e10,7.004272278449076e9,1.762934832542739e9,2.8835310454503976e7,0.0,0.0,3.570362994226872e10
Region31Xinjiang,2.9833227445796585e10,2.9992807791612778e10,2.81234359515307e10,4.0875347933448215e9,5.94670122493485e6,0.0,0.0,9.204295268350981e10
Region21Hainan,7.305179638158613e9,2.6412169697423267e9,3.493375660992292e9,6.237604742823106e8,2.193305283931141e7,0.0,0.0,1.4085465796014854e10
Region26Tibet,7.399719019955328e8,2.3312159246481636e10,3.432841370065813e9,4.080405351733098e7,447019.462539744,0.0,0.0,2.7526223591522854e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,6.778955502150049,0.0,0.0,0.0,6.778955502150049
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,0.1695471449051373,0.0,0.0,0.0,0.1695471449051373
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,0.18729000646471053,0.0,0.0,0.0,0.18729000646471053
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.17111013939190206,0.0,0.0,0.0,0.17111013939190206
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,87.29669306439291,0.0,0.0,0.0,87.29669306439291
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,0.6085451475227978,0.0,0.0,0.0,0.6085451475227978
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,0.7974401081238174,0.0,0.0,0.0,0.7974401081238174
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,0.9221446789270351,0.0,0.0,0.0,0.9221446789270351
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,0.6396358891092091,0.0,0.0,0.0,0.6396358891092091
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,0.689571984817467,0.0,0.0,0.0,0.689571984817467
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,0.5183654706631596,0.0,0.0,0.0,0.5183654706631596
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,0.44251202838519915,0.0,0.0,0.0,0.44251202838519915
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.38269443026549016,0.0,0.0,0.0,0.38269443026549016
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,0.5677702311770448,0.0,0.0,0.0,0.5677702311770448
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,0.38123800380830464,0.0,0.0,0.0,0.38123800380830464
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,0.360171602308285,0.0,0.0,0.0,0.360171602308285
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,0.31632655704763596,0.0,0.0,0.0,0.31632655704763596
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,0.297083756595459,0.0,0.0,0.0,0.297083756595459
