time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,8.783833393977147e-5,8.565549114436521e-5,8.947274920956261e-5,9.187042238067988e-5,9.541761869513721e-5,9.471289530438298e-5,9.711675730272873e-5,9.391345301423826e-5,8.536520723634311e-5,8.410807339487292e-5,8.747621471627554e-5,8.583104005310815e-5,0.00016631821253554335,0.00016963498694622103,8.808311235952715e-5,8.968234599393554e-5,0.0001299274359212177,0.00018379519417521806,0.0001622338459128514,0.0001895007457619613,0.0001652496344206611,0.00013317416036606744,0.00013660742581578234,0.00018419758873733372,0.00018344234575806695,9.591301863842716e-5,0.00014221885180631944,0.00014439396522902825,0.00014158850714096616,9.4389655203031e-5,0.00016631219068585779,0.0,8.582203754603501e-5,8.748509403022631e-5,0.0,0.0,9.042528258118576e-5,0.0,0.0,8.290247026365716e-5,8.666403772394915e-5,8.768027726091532e-5,0.0,0.00016690165693944436,0.0,8.718469934887452e-5,0.0,0.0,0.0,0.0001617065823467101,0.00018804844168288093,0.000168869348158825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.774695459123905e-5,8.714431753986673e-5,8.938090445553826e-5,9.171973935906408e-5,9.625964025872236e-5,9.633713204948435e-5,9.70071951655882e-5,9.390806354758752e-5,8.696260878071627e-5,8.56984607722211e-5,8.927073658071549e-5,8.743323220983257e-5,0.00016649447687200336,0.00016962110294116428,8.798176054369833e-5,8.959475428227393e-5,0.00013013914768045254,0.00018382891653345723,0.00016253427759238548,0.00019008218998806115,0.00016614137976489474,0.0001333281101079109,0.00013655296271508632,0.0001841502665911321,0.00018351958175344407,9.56914958383237e-5,0.00014234208833840967,0.0001442563188902568,0.00014185111751885415,9.629124519960897e-5,0.0001626247865260666,0.0,8.72453387590344e-5,8.764882721001843e-5,0.0,0.0,9.006005143030738e-5,0.0,0.0,8.548368707339549e-5,8.82307453764497e-5,8.952097374503865e-5,0.0,0.00016702553295999678,0.0,8.720112121274326e-5,0.0,0.0,0.0,0.0001620063887486367,0.00018807929794487088,0.0001683075844408164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9.427284552998572e-5,9.201145934056854e-5,9.600818628996421e-5,9.849044957377373e-5,0.00010282192874910834,9.933481948110057e-5,0.00010103543246486879,9.806477407892089e-5,9.348212570703396e-5,9.205798345846006e-5,0.00010218875257095306,9.37553465973906e-5,0.00018149610703233066,0.00018491172681933676,9.452170957047201e-5,9.617741847378625e-5,0.00013018403088871366,0.00018863808293190232,0.00017121058704105963,0.00019024767539121967,0.00016689640247591342,0.00013335422099913785,0.00013674136312147311,0.00018408201185593498,0.00018349746966350722,9.540726952916856e-5,0.00014237360801416798,0.00014432131933972414,0.00014113687374361916,0.00010986566678639065,0.00015061814906403015,0.0,9.207054713078477e-5,9.454298541267114e-5,0.0,0.0,9.427560310193428e-5,0.0,0.0,9.279846649445922e-5,9.487502694582872e-5,0.00010263758554174274,0.0,0.00018200159956904827,0.0,9.367353759337504e-5,0.0,0.0,0.0,0.00017063386614779574,0.00018796453835415172,0.0001683943433288676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0001256074320110656,0.00012285517581034355,0.00012803913307379844,0.00013118820696433886,0.0001426934090886789,0.0001370729805216797,0.00013964524470111428,0.00013600148207615348,9.675352641291823e-5,9.746575102553834e-5,0.00012603176990921838,9.923382071619358e-5,0.00023426457929076605,0.00023804965110230114,0.00012595157272698998,0.0001282327257712268,0.00013016297240042718,0.00024350160288122424,0.00017135525354206038,0.00018975892146499973,0.00016723019413689144,0.00013342621185685744,0.00013719017744051598,0.00018403881085760077,0.00018152715597352653,0.0,0.00014243150303627772,0.0001447808415377949,0.00014120773217385363,0.00013570753765179688,0.0001487720453496877,0.0,0.00012216541334097997,0.0001251411486241638,0.0,0.0,0.000129126498604748,0.0,0.0,9.622034002898516e-5,9.96659110796827e-5,0.00012641018543035898,0.0,0.00023493305434385547,0.0,0.00012485041622767312,0.0,0.0,0.0,0.00017085140857631131,0.000187980974931945,0.000168252351930194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00012659992876251636,0.0001262383992894911,0.00012910872726479283,0.00013213304761450217,0.00014586686347684008,0.0001406561622729896,0.00014045055962697006,0.0001356016614550981,9.675557866017925e-5,9.759738262005158e-5,0.00012685769767983857,9.930948641212467e-5,0.00023403534044064145,0.00023784203051491204,0.00012685354988661857,0.0001284275192858786,0.0001300246443847186,0.00024347822602521774,0.00017144401454061153,0.00019034521869798482,0.0001674405183393901,0.00013349749772295638,0.0001360250223569892,0.00018403797241717257,0.00018428636394673958,0.0,0.0001427038966994587,0.0001452372941912472,0.0001414467574178957,0.00013645679786122855,0.00014661586078545952,0.0,0.00012528945604606267,0.00012625397941001815,0.0,0.0,0.0001334079699211177,0.0,0.0,9.63154528355048e-5,9.991936167352833e-5,0.00012722776432383398,0.0,0.00023467992349424094,0.0,0.00012593647591430113,0.0,0.0,0.0,0.00017113948480584895,0.00018815486203457854,0.00016825877906202422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0001266921287879086,0.0001263904838566532,0.00012921093173190457,0.0001325136373964142,0.00014386915836439584,0.0001405403793341975,0.00014000183767848284,0.00013609476035014723,9.66206641361822e-5,9.765756381341362e-5,0.00014162819184093678,9.749826149207941e-5,0.000185099967353608,0.00018838629500805837,0.0001270512797191259,0.00012856424680407486,0.00012984178177077865,0.0001935676436914946,0.00017146898301234614,0.00019607256263043382,0.00016746838582548662,0.00013355975414519605,0.0001372042177649746,0.000188876910556246,0.00018388490730103513,8.261625679059637e-5,0.0001428556970495265,0.00014399049064195424,0.00014216684851575678,0.00014097711442673244,0.00014616148291679565,0.0,0.00012534010024323194,0.00012663855597505602,0.0,0.0,0.00013377095606226241,0.0,0.0,9.624980118472237e-5,9.949629387051573e-5,0.00014215557087027264,0.0,0.00018524842460010404,0.0,0.00012599796250789552,0.0,0.0,0.0,0.00017150881603811285,0.00019336906016687028,0.00016827830618586573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0001266613729455912,0.0001263283930796888,0.00012937911719745898,0.00013252040709232915,0.00014355003941091127,0.00014102234047186357,0.0001401752953711366,0.00013588076441806152,9.534628708784965e-5,9.439724024673524e-5,0.00014101216727624433,9.599205785804088e-5,0.00016690763970927947,0.00016994270879422402,0.0001269862224262397,0.0001288784314823488,0.00012918831060471092,0.00018378463551016466,0.000171369194390536,0.0002886895771325726,0.0001673664478119008,0.00013344540072957045,0.0001371867384136749,0.00018895501341376075,0.0001846520163439891,9.47974358178616e-5,0.00014282039728641394,0.00014552486504726403,0.00014169901918492656,0.00014073809850856378,0.00014767559264328156,0.0,0.0001251843322475077,0.00012627284504129754,0.0,0.0,0.00013378877788960963,0.0,0.0,9.478747919899888e-5,9.605711870364075e-5,0.0001416065344983508,0.0,0.0001671293645699734,0.0,0.00012579540720203397,0.0,0.0,0.0,0.00017156335019308244,0.000285778981153062,0.0001684243299366825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.00012718655995058725,0.00012461824727694193,0.00012988633102395397,0.00013308097557285237,0.00019931371753045823,0.00020329861172285746,0.00019326931521845836,0.0001382803134220012,8.857967848108217e-5,8.762296488384891e-5,0.0001268209999238934,8.93211868913113e-5,0.00016700101568289938,0.00016975025118881604,0.00012775410596077563,0.00013006235555224066,0.0001291731994146339,0.00018379816424385353,0.0001626932970566486,3534.1644623318016,0.0001672333667102066,0.00013567722878526922,0.00013737571435967766,0.00018207028062988684,0.00018429417991683295,9.57466569362353e-5,0.00019477035095860629,0.00019722236288544082,0.00014140952542263108,0.00013625579597942306,0.0001473077020364144,0.0,0.00012255229758784125,0.00012558428535980326,0.0,0.0,0.0001902812954701627,0.0,0.0,8.779165083794283e-5,8.942511087184357e-5,0.00012744102662054502,0.0,0.00016703874905488192,0.0,0.000126263660416015,0.0,0.0,0.0,0.00016299092386873326,22.52571032435485,0.0001684421145813162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00014024733019368796,0.00013741629611985218,0.0001431781981864333,0.00014656796842871245,0.0005368827373786189,2252.2507265892955,0.0005238728704171081,0.0001530003430616489,9.533788536408849e-5,9.435962944337462e-5,0.00012676150973334188,9.638153031232832e-5,0.0001670830762634523,0.00016968213856216607,0.00014095613209974545,0.0001384836600948347,0.00013291932804415652,0.0001886240923454352,0.00016661170576526274,15287.861113674324,0.00016718151485406452,0.000138014776385198,0.00013723843039770145,0.00017924847384165332,0.0001829844791245705,9.594024374948162e-5,0.00026352971360665833,3803.0917866731784,0.00014852490037853272,0.00013621376737660285,0.00015249881357703998,0.0,0.000133190970141861,0.00013639784289531942,0.0,0.0,71.52722674935414,0.0,0.0,9.424074445818498e-5,9.624392749429944e-5,0.00012736974497329356,0.0,0.0001670740772397039,0.0,0.00013910739737887923,0.0,0.0,0.0,0.0001669630549372414,22.535212109929912,0.00016849016397629119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013433884839958443,0.00013642693763582514,0.00012283777893820624,0.00011897043597323964,0.0005173910428979411,135.90679088912512,0.0004258461389627932,0.00014706378959061794,9.56798411611004e-5,9.428354941221073e-5,0.00012566588469820061,9.63364175099457e-5,0.00016424356608091273,0.00016889407095099784,0.00013946066723669048,0.00012009646795790863,0.00013439319357377855,0.00018196164033867923,0.00016611767428287294,217.64134333235887,0.0001637543462496005,0.0,0.0,0.00015721919074951352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001135419694705403,0.00012204005880173119,0.00011662054791999887,0.0,0.0,251.39001105342834,0.0,0.0,9.483843776969536e-5,9.427901526137816e-5,0.00012660345882764545,9.620375096552891e-5,0.00016603308239382386,0.00016829713889165987,0.00013919781061133563,0.00012754445016804894,0.0001342122527558942,0.0001860275437026715,0.0001653982666383058,5.026185057246513,0.00015470571279596612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.00048472216818140623,0.00048279633180214887,0.0004975972416332297,0.0005099879203385171,0.0005527498387891683,22781.300664925126,0.000554679758124621,0.00020311762227720465,9.67540433327585e-5,9.889045848865408e-5,0.00012680279581900322,0.0001004716416730389,0.0001638007773863137,0.00016112355893938002,0.0004888865134944353,0.00015622412874449765,0.0001473221964420901,0.00017582759426204575,0.00016198718100213227,24628.861631903434,0.00016696587579190236,0.0001524763987292843,0.0001369691489117031,0.00017895237647280737,0.00018422597491962733,9.620475482918778e-5,0.0005197595669415023,55162.46384538471,0.00016582156936451042,0.00013624095984710038,0.00017047781852852495,0.0,0.0004039023949117815,0.00039951502402157946,0.0,0.0,77.53919741546063,0.0,0.0,9.492906599684048e-5,0.00010104293846069368,0.00012745769595312595,0.0,0.00016370012190236594,0.0,0.0004520754298686924,0.0,0.0,0.0,0.00016262983315584734,22.36323078417856,0.00016844092842163878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048188617063349426,0.0004837628599929644,0.0004959681589866705,0.0005059519372352383,0.0005450142346319353,870.7138288308402,0.0005097444344404067,0.00020178002579918086,9.727617822363754e-5,9.951744495140247e-5,0.00012693889361869992,0.00010072103862057702,0.00016234904931522465,0.0001613267062161583,0.0004857826096937856,0.00015408760933866006,0.00015179830104017356,0.00017443818112194975,0.0001622171197368516,836.1214032644324,0.00016645511147217462,0.00014671340944905076,0.00013495147199726887,0.00017782035577340594,0.00018271824675508697,9.593664129781132e-5,0.0005123564936759806,841.7705326291994,0.00016442560579754684,0.00013609026972005722,0.0,0.00042572090960812936,0.0004448394047562587,0.0004936512052466924,0.0,0.0,1064.1564835769857,0.0,0.0,9.685535995451744e-5,9.949417645316316e-5,0.00012709426311374727,0.00010058863786355232,0.00016336340191713816,0.00016084601628385542,0.000485076264489237,0.00015402534181419014,0.0001516323595573965,0.00017503214699843284,0.00016182559559041465,227.94987789667445,0.00016278970826899553,0.0001484126486428483,0.0,0.00015646055875895293,0.00017824174147751393,9.799120042795154e-5,0.0,0.0,0.0,0.0,0.0
