type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,3.933290721212526e10,5.460756055486703e10,1.3554633142387928e10,0.0,0.0,0.0,0.0,1.074951009093802e11
AluminaPlant{NaturalGas},14.174570308243277,13.04385947913514,27.928242842640103,11.969246932560049,0.0,0.0,0.0,67.11591956257857
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,6.0464180220171876e7,0.0,0.0,0.0,6.0464180220171876e7
AluminumRefining,2.4896920976685782e11,1.222020991373522e9,5.332435888094759e9,1.367998338262938e10,0.0,0.0,0.0,2.692036500289555e11
OneWayTransmissionLink{AluminumScrap},4.5173980786903846e8,0.0,0.0,1.6326271289569326e6,0.0,0.0,0.0,4.533724349979954e8
AluminumSmelting,10.73368098774815,43.1945061030986,1341.4916483010293,1.9718169518233633,3301.080719117454,0.0,0.0,4698.472371461154
ThermalAmmonia{Coal},1.3986212645502579e10,13.985059438685512,3.206314667601457e9,0.0,0.0,0.0,0.0,1.7192527327089096e10
ThermalAmmoniaCCS{Coal},2287.293944612122,45.55116996363056,2031.6376274533543,0.0,0.0,0.0,0.0,4364.482742029107
ThermalAmmonia{CokingOvenGas},375.3424407501806,0.0,7419.03438166177,0.0,0.0,0.0,0.0,7794.37682241195
ThermalAmmonia{NaturalGas},1.3326526255584922e9,8.638567139708034,1.8064220930815318e8,0.0,0.0,0.0,0.0,1.5132948435052125e9
ThermalAmmoniaCCS{NaturalGas},3586.314297578703,66.71842739748321,2169.1656185741126,0.0,0.0,0.0,0.0,5822.198343550299
SyntheticAmmonia,0.0,23.894835060089893,1.1595558051845525e11,0.0,0.0,0.0,0.0,1.1595558054235008e11
OneWayTransmissionLink{Cement},0.0,0.0,0.0,312.61485186386886,0.0,0.0,0.0,312.61485186386886
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,6.95370803457272e9,0.0,0.0,0.0,6.95370803457272e9
OneWayTransmissionLink{DRI},0.0,0.0,0.0,5.961321486983731e9,0.0,0.0,0.0,5.961321486983731e9
DRIMaking,3.644791444980108e10,7.452382373001018e10,1.8486767804340652e10,0.0,0.0,0.0,0.0,1.294585059841519e11
ThermalMethanol{Coal},1.6074790913810486e10,137.04359779935177,2.655240045294237e9,0.0,0.0,0.0,0.0,1.8730031096148323e10
ThermalMethanolCCS{Coal},4133.4586131079495,196.59919934852283,2908.8956995718763,0.0,0.0,0.0,0.0,7238.953512028349
ThermalMethanol{CokingOvenGas},1291.6320596309415,0.0,1114.5166670250933,0.0,0.0,0.0,0.0,2406.148726656035
ThermalMethanol{NaturalGas},7051.145407587582,0.0,2061.488864829811,0.0,0.0,0.0,0.0,9112.634272417392
ThermalMethanolCCS{NaturalGas},4884.674923021315,496.1509889880083,2701.413977414005,0.0,0.0,0.0,0.0,8082.239889423328
SyntheticMethanol,0.0,2.9030847500710697e9,2.1773159346285067e9,0.0,0.0,0.0,0.0,5.080400684699576e9
OneWayTransmissionLink{SteelScrap},1.287933045931877e10,0.0,0.0,8.480084916436125e8,0.0,0.0,0.0,1.3727338950962381e10
CementPlant{Coal},4.422695505767221e10,11.127294982976293,1.4956096767171822e7,2.2123973856325085e10,0.0,0.0,0.0,6.636588502189177e10
ThermalPower{Coal},2.4332791185008865e10,11.924157317675045,1.0922825060657173e10,3.996437223069043e9,1.9436882655098304e8,0.0,0.0,3.944642230721022e10
ThermalPower{NaturalGas},3.1504643181797134e10,10341.107071822107,4.582452644510928e9,2.4221094539181213e9,3.343402319863392e8,0.0,0.0,3.884355585331959e10
ThermalPowerCCS{Coal},7.491886507965304e9,4.317461744700818e9,1.2871063132815387e9,1.6712120960463028e9,1.6989989779722002e8,0.0,0.0,1.4937566559791183e10
ThermalPowerCCS{NaturalGas},23436.17632105465,5495.131631943776,4328.055269173308,2833.426351847205,2781.3505218863183,0.0,0.0,38874.14009590526
ThermalPower{Uranium},7.608641815301491e9,0.0,4.441471034946602e9,1.9035725896735334e9,0.0,0.0,0.0,1.3953685439921627e10
BECCSElectricity,1.9855140516463574e11,7.710160953725191e9,1.446885857158392e10,0.0,0.0,0.0,0.0,2.2073042468994485e11
HydroRes,0.0,0.0,3.450436934760211e10,0.0,0.0,0.0,0.0,3.450436934760211e10
VRE{Generic},0.0,3.3081045405133154e11,1.6136124267828455e11,0.0,0.0,0.0,0.0,4.921716967296161e11
Electrolyzer,0.0,1.9652256263161774e10,5.46228014667354e9,0.0,0.0,0.0,0.0,2.511453640983531e10
ThermalHydrogen{NaturalGas},8.134273756754311e9,2.2515279815254564e9,1.7675314413315156e9,4.82413484493656e8,9.219673214135434e6,0.0,0.0,1.2644966337319075e10
ThermalHydrogenCCS{NaturalGas},25103.49013593084,13344.41715739692,6435.558295194906,4062.8390120766267,50.17412349123911,0.0,0.0,48996.47872409053
ThermalHydrogen{Coal},14869.27648315426,58.02757518591083,17069.022153134043,2982.3685589606807,70.75340983743718,0.0,0.0,35049.44818027234
ThermalHydrogenCCS{Coal},9372.184716768628,12465.231985181044,7097.8984965129275,2444.271008984016,32.82276409804201,0.0,0.0,31412.408971544657
OneWayTransmissionLink{Electricity},0.0,8.608064381672382e8,4.616868338657863e9,0.0,0.0,0.0,0.0,5.477674776825101e9
Battery,0.0,4.907718280746005e10,2.3115899848317184e10,9.952967885232255e7,0.0,0.0,0.0,7.229261233462956e10
GasStorage{Hydrogen},0.0,4.318430852810682e9,8.036275381390643e8,0.0,0.0,0.0,0.0,5.122058390949747e9
TransmissionLink{Electricity},0.0,3.2385949458884823e8,3.524213367834709e9,0.0,0.0,0.0,0.0,3.8480728624235573e9
CO2Injection,0.0,9.26029301220626e9,4.400131904540869e9,0.0,0.0,0.0,0.0,1.366042491674713e10
OneWayTransmissionLink{CO2Captured},0.0,529182.2595459722,920286.5561727054,0.0,0.0,0.0,0.0,1.4494688157186776e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,13397.70211977093,0.0,13397.70211977093
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,3346.371045560493,0.0,3346.371045560493
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,4.100319844795681,4.100319844795681
Total,6.913254509658761e11,5.618394955800463e11,4.368237415359028e11,6.020437923501749e10,7.078348657302161e8,16744.07316533142,4.100319844795681,1.7509009189307466e12
