type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},1.2229597991454797e6,1.1881377063009229e11,5.092018741289658e10,0.0,0.0,0.0,0.0,1.6973518100278802e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.4735544921182055e9,0.0,0.0,0.0,0.0,2.4735544921182055e9
AluminumRefining,2.724378950653815e8,3.770097512657175e9,9.671915876042503e9,0.0,0.0,0.0,0.0,1.371445128376506e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,4.647261677327011e8,0.0,0.0,0.0,0.0,4.647261677327011e8
AluminumSmelting,4.311768551998069e9,3.1508269153758213e10,8.388605339709312e9,0.0,0.0,0.0,0.0,4.420864304546559e10
ThermalAmmonia{Coal},7.597018284942637e6,3.3346792341303772e10,0.0,0.0,0.0,0.0,0.0,3.3354389359588715e10
ThermalAmmoniaCCS{Coal},3.429996186836067e7,3.9341558706590068e6,0.0,0.0,0.0,0.0,0.0,3.823411773901968e7
ThermalAmmonia{CokingOvenGas},0.0,2.4456527384544495e6,0.0,0.0,0.0,0.0,0.0,2.4456527384544495e6
ThermalAmmonia{NaturalGas},4.403848334782655e7,5.491390511108305e9,0.0,0.0,0.0,0.0,0.0,5.535428994456132e9
ThermalAmmoniaCCS{NaturalGas},3.4228329491124645e7,3.926028254156483e6,0.0,0.0,0.0,0.0,0.0,3.815435774528113e7
SyntheticAmmonia,6.450852885959607e9,4.83755459356402e9,0.0,0.0,0.0,0.0,0.0,1.1288407479523628e10
OneWayTransmissionLink{Cement},0.0,0.0,907111.2495829663,0.0,0.0,0.0,0.0,907111.2495829663
OneWayTransmissionLink{CrudeSteel},0.0,0.0,4.451918070842159e10,0.0,0.0,0.0,0.0,4.451918070842159e10
OneWayTransmissionLink{DRI},0.0,0.0,1.7723767084296256e8,0.0,0.0,0.0,0.0,1.7723767084296256e8
DRIMaking,2.038438739743255e7,2.8054200922937775e6,0.0,0.0,0.0,0.0,0.0,2.3189807489726327e7
ThermalMethanol{Coal},1.667149291211562e7,2.947161131057645e10,0.0,0.0,0.0,0.0,0.0,2.9488282803488567e10
ThermalMethanolCCS{Coal},1.716972374012008e7,1.3971147247122342e7,1.2421980896789934e7,0.0,0.0,0.0,0.0,4.3562851884032354e7
ThermalMethanol{CokingOvenGas},0.0,9.864616477685912e6,0.0,0.0,0.0,0.0,0.0,9.864616477685912e6
ThermalMethanol{NaturalGas},0.0,4.017115349790193e9,0.0,0.0,0.0,0.0,0.0,4.017115349790193e9
ThermalMethanolCCS{NaturalGas},2.4893613482287128e7,1.9214251984394193e7,1.3408653593699954e7,0.0,0.0,0.0,0.0,5.751651906038127e7
SyntheticMethanol,1.3300853573281254e10,9.975640179960934e9,0.0,0.0,0.0,0.0,0.0,2.3276493753242188e10
Steelmaking,4.608292343414001e9,7.597776232075386e10,0.0,0.0,0.0,0.0,0.0,8.058605466416786e10
OneWayTransmissionLink{SteelScrap},0.0,0.0,1.7275863594259703e8,0.0,0.0,0.0,0.0,1.7275863594259703e8
CementPlant{Coal},1.676433951547566e9,4.217901940181834e7,6.239378743386663e10,0.0,0.0,0.0,0.0,6.411240040481602e10
ThermalPower{Coal},4.1203415278469986e10,4.974610581259331e10,9.864198734701216e10,2.4837563498703055e7,0.0,0.0,0.0,1.8961634600157416e11
ThermalPower{NaturalGas},2.6726559441072542e7,6.893544462674601e8,2.7525754356171423e8,3.8954121261001654e7,0.0,0.0,0.0,1.0302926705312487e9
ThermalPowerCCS{Coal},9.967030848116542e8,2.971325273852337e8,8.353350758645831e8,1.4150290242233526e7,0.0,0.0,0.0,2.1433209783037045e9
ThermalPowerCCS{NaturalGas},5.670516467930083e7,1.6904679849644396e7,1.3523186567933125e7,1.3319372167614203e7,0.0,0.0,0.0,1.0045240326449256e8
ThermalPower{Uranium},0.0,8.823898029364872e9,3.1740449134724946e9,0.0,0.0,0.0,0.0,1.1997942942837366e10
BECCSElectricity,5.788591409273212e8,1.268858455730784e9,0.0,0.0,0.0,0.0,0.0,1.8477175966581051e9
HydroRes,0.0,5.7533090800820274e10,0.0,0.0,0.0,0.0,0.0,5.7533090800820274e10
VRE,5.2089917842345e11,1.2660955767333325e11,0.0,0.0,0.0,0.0,0.0,6.475087360967832e11
Electrolyzer,1.2069223779570855e7,8.288922530344334e6,0.0,0.0,0.0,0.0,0.0,2.035814630991519e7
ThermalHydrogen{NaturalGas},1.2637206921851618e9,2.041374960268597e9,1.757846391076993e9,1.6691214806253111e6,0.0,0.0,0.0,5.064611165011377e9
ThermalHydrogenCCS{NaturalGas},7.64098020322729e7,2.820699585644783e7,1.9203518102715015e7,365539.96630630956,0.0,0.0,0.0,1.2418585595774207e8
ThermalHydrogen{Coal},5.239808416361294e6,1.366849819710265e10,6.195202118466449e9,648825.9157091648,0.0,0.0,0.0,1.986958894990117e10
ThermalHydrogenCCS{Coal},1.1018344326118034e8,4.742749708039676e7,1.8732619672110245e7,208883.31890620702,0.0,0.0,0.0,1.765524433325936e8
OneWayTransmissionLink{Electricity},2.8802650177117134e10,6.181440478279362e9,0.0,0.0,0.0,0.0,0.0,3.49840906553965e10
Battery,6.482529453853091e8,3.9239758786096115e9,1.260017006837426e7,0.0,0.0,0.0,0.0,4.584828994063295e9
GasStorage{Hydrogen},4.752377007737815e7,1.1960515434312072e7,0.0,0.0,0.0,0.0,0.0,5.9484285511690214e7
TransmissionLink{Electricity},1.8102782626582527e10,4.535401190124752e9,0.0,0.0,0.0,0.0,0.0,2.263818381670728e10
CO2Injection,2.6226655170999546e7,7.724914993999856e6,0.0,0.0,0.0,0.0,0.0,3.39515701649994e7
OneWayTransmissionLink{CO2Captured},1.895235540133911e6,380527.4583603293,0.0,0.0,0.0,0.0,0.0,2.2757629984942405e6
Node{Electricity},0.0,0.0,0.0,0.0,4.336864808964036e7,0.0,0.0,4.336864808964036e7
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,6.651439724198522e10,0.0,6.651439724198522e10
Node{Coal},0.0,0.0,0.0,0.0,0.0,1.0183458789569641e12,0.0,1.0183458789569641e12
Node{Uranium},0.0,0.0,0.0,0.0,0.0,1.2686761189618603e10,0.0,1.2686761189618603e10
Node{Hydrogen},0.0,0.0,0.0,0.0,6.797298199953995e6,0.0,0.0,6.797298199953995e6
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,2.1090514863138744e8,2.1090514863138744e8
Node{Biomass},0.0,0.0,0.0,0.0,0.0,2.108532403065224e10,0.0,2.108532403065224e10
Node{SteelScrap},0.0,0.0,0.0,0.0,0.0,9.468882108538402e10,0.0,9.468882108538402e10
Node{AluminumScrap},0.0,0.0,0.0,0.0,0.0,1.7602428423512888e11,0.0,1.7602428423512888e11
Node{Bauxite},0.0,0.0,0.0,0.0,0.0,4.230292492763724e10,0.0,4.230292492763724e10
Node{Graphite},0.0,0.0,0.0,0.0,0.0,4.5663779066965904e10,0.0,4.5663779066965904e10
Node{MacroEnergy.CokingOvenGas},0.0,0.0,0.0,0.0,0.0,5.864505531488708e6,0.0,5.864505531488708e6
Total,6.436796872029167e11,5.927479266987157e11,2.901524243671786e11,9.415371785109945e7,5.016594628959435e7,1.4773180352398677e12,2.1090514863138744e8,3.0042532983214507e12
