zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,1.3385264752399878e8,3.1538224359792054e8,1.0054174899246569e8,2.476635692420289e6,0.0,0.0,0.0,5.522532758068053e8
Region2Tianjin,4.709081394742722e9,1.913151467332502e9,5.945069140925258e8,2.609070091264759e6,0.0,0.0,0.0,7.219348846259014e9
Region12Anhui,3.3413171336565987e10,8.660202577666723e9,9.467437923589096e8,2.554291793658031e6,0.0,0.0,0.0,4.302267199838528e10
Region9Shanghai,2.4047170379346207e7,2.1897430530937676e9,1.7246682240557878e9,3.7340268731955313e6,0.0,0.0,0.0,3.9421924744020977e9
Region22Chongqing,8.215863712910863e8,1.3809571587684423e10,5.234769666070296e9,2.561890737364363e6,0.0,0.0,0.0,1.9868489515783173e10
Region13Fujian,1.5170330223017095e7,5.861126775916053e9,2.096492663045876e9,2.584059325804659e6,0.0,0.0,0.0,7.975373828510751e9
Region28Gansu,1.082660232208776e10,5.985262755643204e9,5.667186248025475e8,2.589535265964831e6,0.0,0.0,0.0,1.7381173237799477e10
Region19Guangdong,2.1443246641267095e7,1.155813149727535e10,6.0237984994008665e9,3.081218170853835e6,0.0,0.0,0.0,1.760645446148834e10
Region20Guangxi,5.433222124052928e9,2.083373532532131e10,6.763966708989722e9,3.52597823744395e6,0.0,0.0,0.0,3.3034450136601406e10
Region24Guizhou,4.757390101836925e10,2.894517784966555e10,9.506663864350218e9,2.443291476939379e6,0.0,0.0,0.0,8.602818602386195e10
Region21Hainan,9.20087125902513e9,2.878510295194057e9,7.71052362644868e8,1.6027830299468147e7,0.0,0.0,0.0,1.2866461747163525e10
Region3Hebei,1.7310972764077324e10,1.043390072913421e10,5.567963083005801e9,2.5534691667466825e6,0.0,0.0,0.0,3.3315390045384083e10
Region8Heilongjiang,3.307347650245024e9,2.6737797148638988e9,5.84781410415798e8,2.4177936776491203e6,0.0,0.0,0.0,6.568326569202371e9
Region16Henan,9.508097701975572e7,1.8838514786748272e10,6.458486320247634e9,2.677763382490784e6,0.0,0.0,0.0,2.5394759847398155e10
Region17Hubei,1.8151379879393928e7,7.4302511110479145e9,8.448660144840151e8,2.5293510856204038e6,0.0,0.0,0.0,8.295797856496944e9
Region18Hunan,2.6903646502913725e8,3.246890509971259e9,7.607871611832887e8,2.3838015057718987e6,0.0,0.0,0.0,4.279097937689457e9
Region5Innermongolia,3.539630391433257e10,2.4158660429943657e10,4.922123244481454e10,2.6507965035979417e6,0.0,0.0,0.0,1.0877884758559436e11
Region10Jiangsu,2.0216821024838703e10,1.333402211364866e10,4.525059357700064e9,2.8357462178777424e6,0.0,0.0,0.0,3.807873824240531e10
Region14Jiangxi,3.877278660813201e10,8.514600531174177e9,7.285281216205335e8,1.802848954466098e6,0.0,0.0,0.0,4.8017718109881195e10
Region7Jilin,1.5081857707262611e10,4.802538790936636e9,3.8403591416685325e8,2.391301210370744e6,0.0,0.0,0.0,2.0270823713576473e10
Region6Liaoning,2.1182428234374087e7,3.670212031515901e9,8.384880762335534e8,2.8645497772170193e6,0.0,0.0,0.0,4.532747085761045e9
Region30Ningxia,2.6829437559713413e10,8.143571403150319e9,3.7901120669122977e9,2.5682407251385185e6,0.0,0.0,0.0,3.876568927050117e10
Region29Qinghai,3.690622344105644e7,4.208743789358445e9,3.220010424684773e8,2.319932243352869e6,0.0,0.0,0.0,4.569970987511332e9
Region27Shaanxi,4.197698644939452e10,1.209584617296949e10,4.381053601700254e9,2.5296838281171108e6,0.0,0.0,0.0,5.845641590789239e10
Region15Shandong,9.731483271757642e10,5.818526382402794e10,1.5514581602728493e10,2.6221051255926327e6,0.0,0.0,0.0,1.7101730024945844e11
Region4Shanxi,2.936822609120602e9,5.938507417098927e10,3.0259150050235207e10,2.49988373417553e6,0.0,0.0,0.0,9.258354671407927e10
Region23Sichuan,3.8179071555755095e9,1.4307266704977932e10,7.366573377220403e8,2.417847590771685e6,0.0,0.0,0.0,1.8864249045866253e10
Region26Tibet,1.2350354877938837e10,1.663547703194862e9,9.076092089019352e7,2.1988765778898904e6,0.0,0.0,0.0,1.4106862378601784e10
Region31Xinjiang,9.778830274593327e10,2.6206018822865925e10,1.1851405435197163e10,2.5663794166158205e6,0.0,0.0,0.0,1.3584829338341296e11
Region25Yunnan,3.571448922307919e10,2.533273895228058e10,5.25622214223995e9,2.3930890443722242e6,0.0,0.0,0.0,6.63058434066441e10
Region11Zhejiang,9.102711565177156e9,9.231468714676155e9,3.478346339743705e9,2.742430118886938e6,0.0,0.0,0.0,2.18152690497159e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,800.7493893430159,0.0,0.0,0.0,0.0,800.7493893430159
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,460.54845927345133,0.0,0.0,0.0,0.0,460.54845927345133
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,429.12955993118385,0.0,0.0,0.0,0.0,429.12955993118385
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,596.1549291846812,0.0,0.0,0.0,0.0,596.1549291846812
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,21427.833303337306,0.0,0.0,0.0,0.0,21427.833303337306
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,68284.16894882676,0.0,0.0,0.0,0.0,68284.16894882676
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,89930.5496176782,0.0,0.0,0.0,0.0,89930.5496176782
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,1854.9701891694651,0.0,0.0,0.0,0.0,1854.9701891694651
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,1659.5264046440054,0.0,0.0,0.0,0.0,1659.5264046440054
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,1982.4199709238258,0.0,0.0,0.0,0.0,1982.4199709238258
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,1661.7414037335777,0.0,0.0,0.0,0.0,1661.7414037335777
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,2552.6770188523114,0.0,0.0,0.0,0.0,2552.6770188523114
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,1845.8271363330944,0.0,0.0,0.0,0.0,1845.8271363330944
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,668.7185562138951,0.0,0.0,0.0,0.0,668.7185562138951
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,820.8219417007155,0.0,0.0,0.0,0.0,820.8219417007155
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,1429.3974189023681,0.0,0.0,0.0,0.0,1429.3974189023681
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,1679.8304482770943,0.0,0.0,0.0,0.0,1679.8304482770943
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,2261.974941349609,0.0,0.0,0.0,0.0,2261.974941349609
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,1324.28159640145,0.0,0.0,0.0,0.0,1324.28159640145
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,1547.223482334245,0.0,0.0,0.0,0.0,1547.223482334245
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,1198.2085911153947,0.0,0.0,0.0,0.0,1198.2085911153947
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,1594.398790994876,0.0,0.0,0.0,0.0,1594.398790994876
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,1170.9996606045618,0.0,0.0,0.0,0.0,1170.9996606045618
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,1478.1882484690375,0.0,0.0,0.0,0.0,1478.1882484690375
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,954.2900517633599,0.0,0.0,0.0,0.0,954.2900517633599
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,1202.3717197416026,0.0,0.0,0.0,0.0,1202.3717197416026
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,1321.4404981209116,0.0,0.0,0.0,0.0,1321.4404981209116
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,973.2667837641832,0.0,0.0,0.0,0.0,973.2667837641832
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,2387.920704710041,0.0,0.0,0.0,0.0,2387.920704710041
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,660.9511405532113,0.0,0.0,0.0,0.0,660.9511405532113
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,456.99912374944086,0.0,0.0,0.0,0.0,456.99912374944086
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,429.488287797748,0.0,0.0,0.0,0.0,429.488287797748
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,631.4909511461482,0.0,0.0,0.0,0.0,631.4909511461482
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,51239.57400720878,0.0,0.0,0.0,0.0,51239.57400720878
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,65795.7563739268,0.0,0.0,0.0,0.0,65795.7563739268
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,87245.90698430507,0.0,0.0,0.0,0.0,87245.90698430507
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,2062.6972668008943,0.0,0.0,0.0,0.0,2062.6972668008943
